C1486,test_category_labeling_highlight_fordham_aaaa,121,3819,0,Other,"{""Other Type"": {""endIndexInSegment"": 25, ""startIndexInSegment"": 0, ""selectedText"": ""Amazon.com Privacy Notice"", ""value"": ""Introductory/Generic""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
C1487,test_category_labeling_highlight_fordham_aaaa,121,3819,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: March 3, 2014. To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
9608,test_category_labeling_highlight_fordham_aaaa,121,3819,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8993,test_category_labeling_highlight_fordham_bbbb,116,3819,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 29, ""selectedText"": ""To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 12, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated"", ""value"": ""General notice in privacy policy""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
9046,test_category_labeling_highlight_fordham_cccc,117,3819,1,Other,"{""Other Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: March 3, 2014. To see what has changed, click here."", ""value"": ""Introductory/Generic""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
C1488,test_category_labeling_highlight_fordham_aaaa,121,3819,2,Other,"{""Other Type"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 149, ""selectedText"": ""This notice describes our privacy policy."", ""value"": ""Introductory/Generic""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
9607,test_category_labeling_highlight_fordham_aaaa,121,3819,2,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8958,test_category_labeling_highlight_fordham_bbbb,116,3819,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 256, ""startIndexInSegment"": 234, ""selectedText"": ""he practices described"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 56, ""startIndexInSegment"": 35, ""selectedText"": ""information about you"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 124, ""startIndexInSegment"": 111, ""selectedText"": ""we will do so"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 170, ""startIndexInSegment"": 161, ""selectedText"": ""describes"", ""value"": ""Unspecified""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8959,test_category_labeling_highlight_fordham_bbbb,116,3819,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 301, ""selectedText"": ""What"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 725, ""startIndexInSegment"": 702, ""selectedText"": ""What Choices Do I Have?"", ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 358, ""startIndexInSegment"": 348, ""selectedText"": ""Amazon.com"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 326, ""startIndexInSegment"": 306, ""selectedText"": ""Personal Information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 232, ""startIndexInSegment"": 215, ""selectedText"": ""you are accepting"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 342, ""startIndexInSegment"": 327, ""selectedText"": ""About Customers"", ""value"": ""Other""}, ""Purpose"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 359, ""selectedText"": ""Gather"", ""value"": ""Unspecified""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8960,test_category_labeling_highlight_fordham_bbbb,116,3819,2,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 481, ""startIndexInSegment"": 431, ""selectedText"": ""Does Amazon.com Share the Information It Receives?"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 435, ""startIndexInSegment"": 431, ""selectedText"": ""Does"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 468, ""startIndexInSegment"": 457, ""selectedText"": ""Information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 452, ""startIndexInSegment"": 447, ""selectedText"": ""Share"", ""value"": ""Receive/Shared with""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8961,test_category_labeling_highlight_fordham_bbbb,116,3819,2,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 596, ""startIndexInSegment"": 573, ""selectedText"": ""Third-Party Advertisers"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 596, ""startIndexInSegment"": 585, ""selectedText"": ""Advertisers"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 572, ""startIndexInSegment"": 567, ""selectedText"": ""About"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 301, ""selectedText"": ""What"", ""value"": ""Unspecified""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8962,test_category_labeling_highlight_fordham_bbbb,116,3819,2,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 246, ""startIndexInSegment"": 215, ""selectedText"": ""you are accepting the practices"", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 256, ""startIndexInSegment"": 247, ""selectedText"": ""described"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": 56, ""startIndexInSegment"": 47, ""selectedText"": ""about you"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 124, ""startIndexInSegment"": 111, ""selectedText"": ""we will do so"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 35, ""selectedText"": ""information"", ""value"": ""Unspecified""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8963,test_category_labeling_highlight_fordham_bbbb,116,3819,2,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 725, ""startIndexInSegment"": 702, ""selectedText"": ""What Choices Do I Have?"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 714, ""startIndexInSegment"": 707, ""selectedText"": ""Choices"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 301, ""selectedText"": ""What"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 719, ""startIndexInSegment"": 718, ""selectedText"": ""I"", ""value"": ""Unspecified""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8964,test_category_labeling_highlight_fordham_bbbb,116,3819,2,"User Access, Edit and Deletion","{""Access Type"": {""endIndexInSegment"": 679, ""startIndexInSegment"": 648, ""selectedText"": ""Which Information Can I Access?"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": 655, ""startIndexInSegment"": 654, ""selectedText"": ""I"", ""value"": ""Unspecified""}, ""Access Scope"": {""endIndexInSegment"": 653, ""startIndexInSegment"": 648, ""selectedText"": ""Which"", ""value"": ""Unspecified""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8965,test_category_labeling_highlight_fordham_bbbb,116,3819,2,Data Security,"{""Security Measure"": {""endIndexInSegment"": 539, ""startIndexInSegment"": 504, ""selectedText"": ""How Secure Is Information About Me?"", ""value"": ""Unspecified""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8966,test_category_labeling_highlight_fordham_bbbb,116,3819,2,Policy Change,"{""Change Type"": {""endIndexInSegment"": 929, ""startIndexInSegment"": 902, ""selectedText"": ""Use, Notices, and Revisions"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 898, ""startIndexInSegment"": 888, ""selectedText"": ""Conditions"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 914, ""startIndexInSegment"": 907, ""selectedText"": ""Notices"", ""value"": ""Unspecified""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8967,test_category_labeling_highlight_fordham_bbbb,116,3819,2,International and Specific Audiences,"{""Audience Type"": {""endIndexInSegment"": 864, ""startIndexInSegment"": 845, ""selectedText"": ""Safe Harbor Program"", ""value"": ""Europeans""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8969,test_category_labeling_highlight_fordham_bbbb,116,3819,2,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 985, ""startIndexInSegment"": 952, ""selectedText"": ""Examples of Information Collected"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 960, ""startIndexInSegment"": 952, ""selectedText"": ""Examples"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 975, ""startIndexInSegment"": 964, ""selectedText"": ""Information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 985, ""startIndexInSegment"": 976, ""selectedText"": ""Collected"", ""value"": ""Unspecified""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8992,test_category_labeling_highlight_fordham_bbbb,116,3819,2,Other,"{""Other Type"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 149, ""selectedText"": ""This notice describes our privacy policy."", ""value"": ""Introductory/Generic""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
9047,test_category_labeling_highlight_fordham_cccc,117,3819,2,Other,"{""Other Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 11, ""selectedText"": ""knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully and sensibly. This notice describes our privacy policy. By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Introductory/Generic""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
9611,test_category_labeling_highlight_fordham_aaaa,121,3819,3,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 95, ""selectedText"": ""The information we learn from customers helps us personalize and continually improve your Amazon experience."", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 95, ""selectedText"": ""The information we learn from customers helps us personalize and continually improve your Amazon experience."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 95, ""selectedText"": ""The information we learn from customers helps us personalize and continually improve your Amazon experience."", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 95, ""selectedText"": ""The information we learn from customers helps us personalize and continually improve your Amazon experience."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 95, ""selectedText"": ""The information we learn from customers helps us personalize and continually improve your Amazon experience."", ""value"": ""Personalization/Customization""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8970,test_category_labeling_highlight_fordham_bbbb,116,3819,3,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 248, ""startIndexInSegment"": 204, ""selectedText"": ""Here are the types of information we gather."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 56, ""selectedText"": ""Amazon.com"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 73, ""startIndexInSegment"": 67, ""selectedText"": ""Gather"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 50, ""startIndexInSegment"": 35, ""selectedText"": ""About Customers"", ""value"": ""Other""}, ""Purpose"": {""endIndexInSegment"": 155, ""startIndexInSegment"": 144, ""selectedText"": ""personalize"", ""value"": ""Personalization/Customization""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8980,test_category_labeling_highlight_fordham_bbbb,116,3819,3,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 248, ""startIndexInSegment"": 204, ""selectedText"": ""Here are the types of information we gather."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 56, ""selectedText"": ""Amazon.com"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 73, ""startIndexInSegment"": 67, ""selectedText"": ""Gather"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 50, ""startIndexInSegment"": 35, ""selectedText"": ""About Customers"", ""value"": ""Other""}, ""Purpose"": {""endIndexInSegment"": 179, ""startIndexInSegment"": 160, ""selectedText"": ""continually improve"", ""value"": ""Analytics/Research""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
8991,test_category_labeling_highlight_fordham_bbbb,116,3819,3,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 248, ""startIndexInSegment"": 204, ""selectedText"": ""Here are the types of information we gather."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 56, ""selectedText"": ""Amazon.com"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 73, ""startIndexInSegment"": 67, ""selectedText"": ""Gather"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 50, ""startIndexInSegment"": 35, ""selectedText"": ""About Customers"", ""value"": ""Other""}, ""Purpose"": {""endIndexInSegment"": 155, ""startIndexInSegment"": 144, ""selectedText"": ""personalize"", ""value"": ""Personalization/Customization""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
9048,test_category_labeling_highlight_fordham_cccc,117,3819,3,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 248, ""startIndexInSegment"": 226, ""selectedText"": ""information we gather."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 14, ""selectedText"": ""Personal Information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 144, ""selectedText"": ""personalize and continually improve your Amazon experience."", ""value"": ""Personalization/Customization""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
C1489,test_category_labeling_highlight_fordham_cccc,117,3819,4,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 72, ""selectedText"": ""you enter on our Web site or give us in any other way"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 82, ""selectedText"": ""on our Web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 71, ""startIndexInSegment"": 56, ""selectedText"": ""any information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 297, ""startIndexInSegment"": 174, ""selectedText"": ""You can choose not to provide certain information, but then you might not be able to take advantage of many of our features"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 35, ""selectedText"": ""We receive and store"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 424, ""startIndexInSegment"": 389, ""selectedText"": ""customizing future shopping for you"", ""value"": ""Personalization/Customization""}}",3/3/14,http://www.amazon.com/gp/help/customer/display.html/ref=footer_privacy?ie=UTF8&nodeId=468496
