C562,test_category_labeling_highlight_fordham_bbbb,116,3790,0,Other,"{""Other Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Vox Media Privacy Policy"", ""value"": ""Introductory/Generic""}}",5/1/14,http://www.voxmedia.com/privacy-policy
C563,test_category_labeling_highlight_fordham_bbbb,116,3790,1,Other,"{""Other Type"": {""endIndexInSegment"": 230, ""startIndexInSegment"": 52, ""selectedText"": ""Vox Media Policies Terms of Use Privacy Policy Privacy Policy: Advertising Addendum Security"", ""value"": ""Introductory/Generic""}}",5/1/14,http://www.voxmedia.com/privacy-policy
11602,test_category_labeling_highlight_fordham_bbbb,116,3790,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 9, ""selectedText"": ""Updated as of May 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 9, ""selectedText"": ""Updated as of May 2014"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 9, ""selectedText"": ""Updated as of May 2014"", ""value"": ""General notice in privacy policy""}}",5/1/14,http://www.voxmedia.com/privacy-policy
C564,test_category_labeling_highlight_fordham_bbbb,116,3790,2,Other,"{""Other Type"": {""endIndexInSegment"": 248, ""startIndexInSegment"": 9, ""selectedText"": ""Contact Us Privacy Terms of Use Questions Media Press Inquiries National Ad Team International Ad Team Security Reporting"", ""value"": ""Privacy contact information""}}",5/1/14,http://www.voxmedia.com/privacy-policy
C565,test_category_labeling_highlight_fordham_bbbb,116,3790,3,Other,"{""Other Type"": {""endIndexInSegment"": 829, ""startIndexInSegment"": 430, ""selectedText"": ""This Privacy Policy does not govern our use of any information you provide to us when you call us, write to us, or communicate with us in any manner other than through the Services. Because the Internet is global, information about you that we collect or that you submit may be transferred to, processed in, and held in countries (including the United States) other than the one in which you reside."", ""value"": ""Practice not covered""}}",5/1/14,http://www.voxmedia.com/privacy-policy
11605,test_category_labeling_highlight_fordham_bbbb,116,3790,3,Data Security,"{""Security Measure"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 0, ""selectedText"": ""Your privacy is important to us and we have prepared this Privacy Policy to explain to you how we collect, use, and share information we obtain through your use of the Internet sites, applications and services ('services\"") that are operated by, controlled by or are affiliate with Vox Media, Inc., including without limitation SB Nation, The Verge, Polygon, Curbed, Eater, Racked, and Vox.com (collectively, \""we,\"" \""us\"" or \""our\"")."", ""value"": ""Generic""}}",5/1/14,http://www.voxmedia.com/privacy-policy
11607,test_category_labeling_highlight_fordham_bbbb,116,3790,3,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 870, ""startIndexInSegment"": 849, ""selectedText"": ""By using the Services"", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 894, ""startIndexInSegment"": 872, ""selectedText"": ""you explicitly consent"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 973, ""startIndexInSegment"": 849, ""selectedText"": ""By using the Services, you explicitly consent to such use of your information and agree to the terms of this Privacy Policy."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 926, ""startIndexInSegment"": 910, ""selectedText"": ""your information"", ""value"": ""Unspecified""}}",5/1/14,http://www.voxmedia.com/privacy-policy
10632,test_category_labeling_highlight_fordham_dddd,118,3790,3,International and Specific Audiences,"{""Audience Type"": {""endIndexInSegment"": 829, ""startIndexInSegment"": 750, ""selectedText"": ""countries (including the United States) other than the one in which you reside."", ""value"": ""Citizens from other countries""}}",5/1/14,http://www.voxmedia.com/privacy-policy
C566,test_category_labeling_highlight_fordham_bbbb,116,3790,4,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 70, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 67, ""selectedText"": ""We automatically collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 92, ""selectedText"": ""certain information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 164, ""startIndexInSegment"": 112, ""selectedText"": ""to help us understand how our users use the Services"", ""value"": ""Service Operation and Security""}}",5/1/14,http://www.voxmedia.com/privacy-policy
C567,test_category_labeling_highlight_fordham_dddd,118,3790,4,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 297, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 289, ""startIndexInSegment"": 277, ""selectedText"": ""the Services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 482, ""startIndexInSegment"": 363, ""selectedText"": ""access time, the Web page you came from, the URL you go to next, and the Web page(s) that you access during your visit."", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",5/1/14,http://www.voxmedia.com/privacy-policy
