15317,test_category_labeling_highlight_upitt,95,3740,0,Other,"{""Other Type"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 9, ""selectedText"": ""Zacks Investment Research Privacy Policy"", ""value"": ""Introductory/Generic""}}",5/1/14,http://www.zacks.com/privacy.php
24622,test_category_labeling_highlight_fordham_ddddd,118,3740,0,Other,"{""Other Type"": {""selectedText"": ""Zacks Investment Research Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 59, ""value"": ""Introductory/Generic""}}",5/1/14,http://www.zacks.com/privacy.php
C755,test_category_labeling_highlight_fordham_ddddd,118,3740,1,Other,"{""Other Type"": {""selectedText"": ""Since our inception in 1978, we have sought to have long-term relationships with our customers. Thus, we do not wish to profit from the unwanted distribution of your private information or to inundate you with unnecessary e-mails or other material."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 248, ""value"": ""Introductory/Generic""}}",5/1/14,http://www.zacks.com/privacy.php
13759,test_category_labeling_highlight_upitt,103,3740,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 290, ""startIndexInSegment"": 249, ""selectedText"": ""The information you may choose to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 383, ""selectedText"": ""In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",5/1/14,http://www.zacks.com/privacy.php
13760,test_category_labeling_highlight_upitt,103,3740,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 401, ""selectedText"": ""disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Both""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 393, ""selectedText"": ""we only disclose the information you provide us or send you information if you authorize us to do so"", ""value"": ""Receive/Shared with""}}",5/1/14,http://www.zacks.com/privacy.php
15318,test_category_labeling_highlight_upitt,95,3740,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 290, ""startIndexInSegment"": 265, ""selectedText"": ""you may choose to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 464, ""startIndexInSegment"": 444, ""selectedText"": ""send you information"", ""value"": ""Use""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 382, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 290, ""startIndexInSegment"": 249, ""selectedText"": ""The information you may choose to provide"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 594, ""startIndexInSegment"": 497, ""selectedText"": ""choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings"", ""value"": ""Marketing""}}",5/1/14,http://www.zacks.com/privacy.php
15319,test_category_labeling_highlight_upitt,95,3740,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 401, ""selectedText"": ""disclose"", ""value"": ""Use""}, ""Purpose"": {""endIndexInSegment"": 594, ""startIndexInSegment"": 562, ""selectedText"": ""opting into third party mailings"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": 440, ""startIndexInSegment"": 414, ""selectedText"": ""information you provide us"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 440, ""startIndexInSegment"": 410, ""selectedText"": ""the information you provide us"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 384, ""selectedText"": ""In fact, we only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 401, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",5/1/14,http://www.zacks.com/privacy.php
24624,test_category_labeling_highlight_fordham_ddddd,118,3740,1,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""you provide us or send you information if you authorize us to do so"", ""startIndexInSegment"": 426, ""endIndexInSegment"": 493, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""The information you may choose to provide includes any or all of the following: email address, name, postal address, and phone number. In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""startIndexInSegment"": 249, ""endIndexInSegment"": 595, ""value"": ""Both""}, ""Action First-Party"": {""selectedText"": ""on our Zacks.com Web site"", ""startIndexInSegment"": 533, ""endIndexInSegment"": 558, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""email address, name, postal address, and phone number."", ""startIndexInSegment"": 329, ""endIndexInSegment"": 383, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""The information you may choose to provide includes any or all of the following: email address, name, postal address, and phone number. In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""startIndexInSegment"": 249, ""endIndexInSegment"": 595, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""With your approval, we use the information you provide us in the following ways:"", ""startIndexInSegment"": 596, ""endIndexInSegment"": 676, ""value"": ""Unspecified""}}",5/1/14,http://www.zacks.com/privacy.php
13762,test_category_labeling_highlight_upitt,103,3740,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": 738, ""startIndexInSegment"": 725, ""selectedText"": ""these e-mails"", ""value"": ""Use""}, ""Action First-Party"": {""endIndexInSegment"": 146, ""startIndexInSegment"": 69, ""selectedText"": ""Everyone who submits personal information to Zacks Investment Research online"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 90, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 800, ""startIndexInSegment"": 700, ""selectedText"": ""You can unsubscribe from these e-mails at any time by going to http://register.zacks.com/unisub.php."", ""value"": ""Opt-out link""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 69, ""selectedText"": ""Everyone who submits personal information"", ""value"": ""Other""}, ""Purpose"": {""endIndexInSegment"": 698, ""startIndexInSegment"": 147, ""selectedText"": ""will receive, via e-mail, our free weekly newsletters: Profit from the Pros. Through Profit from the Pros, we provide original and exclusive content from Zacks Investment Research and Zacks.com. We also distribute commentary and investment ideas from independent third parties, who produce financial news publications and who compensate Zacks Investment Research for distributing their newsletters. From time-to-time, we will also send or contact you regarding special offers for products and services from Zacks Investment Research and our affiliates"", ""value"": ""Marketing""}}",5/1/14,http://www.zacks.com/privacy.php
15320,test_category_labeling_highlight_upitt,95,3740,2,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 719, ""startIndexInSegment"": 708, ""selectedText"": ""unsubscribe"", ""value"": ""Opt-out link""}, ""Choice Scope"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 177, ""selectedText"": ""free weekly newsletters: Profit from the Pros. Through Profit from the Pros, we provide original and exclusive content from Zacks Investment Research and Zacks.com"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 177, ""selectedText"": ""free weekly newsletters: Profit from the Pros. Through Profit from the Pros, we provide original and exclusive content from Zacks Investment Research and Zacks.com"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": 738, ""startIndexInSegment"": 731, ""selectedText"": ""e-mails"", ""value"": ""Contact""}}",5/1/14,http://www.zacks.com/privacy.php
