C1224,test_category_labeling_highlight,82,3625,0,Other,"{""Other Type"": {""endIndexInSegment"": 73, ""startIndexInSegment"": 44, ""selectedText"": ""Effective Date: April 1, 2015"", ""value"": ""Introductory/Generic""}}",4/1/15,http://www.barnesandnoble.com/h/help/privacy-policy-complete
1806,test_category_labeling_highlight,88,3625,0,Policy Change,"{""Change Type"": {""endIndexInSegment"": 73, ""startIndexInSegment"": 44, ""selectedText"": ""Effective Date: April 1, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 73, ""startIndexInSegment"": 44, ""selectedText"": ""Effective Date: April 1, 2015"", ""value"": ""General notice in privacy policy""}}",4/1/15,http://www.barnesandnoble.com/h/help/privacy-policy-complete
C1225,test_category_labeling_highlight,88,3625,1,Other,"{""Other Type"": {""endIndexInSegment"": 682, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy applies to personal and other information that may be collected when you interact with the Barnes & Noble enterprise, which consists of (a) Barnes & Noble, Inc. and its subsidiaries, including their respective businesses and operations (collectively, \""Barnes & Noble\""); (b) businesses and operations managed or operated by Barnes & Noble; (c) websites owned, operated and managed by Barnes & Noble, including each website that links to this Privacy Policy, and any digital content stores operated by Barnes & Noble (collectively, \""Barnes & Noble Websites\""); and (d) Barnes & Noble and NOOK devices (\""Devices\""), content, software and mobile applications (\""Apps\"")."", ""value"": ""Introductory/Generic""}}",4/1/15,http://www.barnesandnoble.com/h/help/privacy-policy-complete
809,test_category_labeling_highlight,82,3625,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 74, ""selectedText"": ""collected"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 363, ""selectedText"": ""websites owned, operated and managed by Barnes & Noble, including each website that links to this Privacy Policy, and any digital content stores operated by Barnes & Noble (collectively, \""Barnes & Noble Websites\"")"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 137, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information that may be collected when you interact with the Barnes & Noble enterprise,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",4/1/15,http://www.barnesandnoble.com/h/help/privacy-policy-complete
810,test_category_labeling_highlight,82,3625,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 74, ""selectedText"": ""collected"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 682, ""startIndexInSegment"": 586, ""selectedText"": ""Barnes & Noble and NOOK devices (\""Devices\""), content, software and mobile applications (\""Apps\"")."", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 137, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information that may be collected when you interact with the Barnes & Noble enterprise,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",4/1/15,http://www.barnesandnoble.com/h/help/privacy-policy-complete
814,test_category_labeling_highlight,82,3625,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 74, ""selectedText"": ""collected"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 358, ""startIndexInSegment"": 160, ""selectedText"": ""Barnes & Noble, Inc. and its subsidiaries, including their respective businesses and operations (collectively, \""Barnes & Noble\""); (b) businesses and operations managed or operated by Barnes & Noble;"", ""value"": ""Receive from other parts of company/affiliates""}, ""Personal Information Type"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 137, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information that may be collected when you interact with the Barnes & Noble enterprise,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",4/1/15,http://www.barnesandnoble.com/h/help/privacy-policy-complete
C1226,test_category_labeling_highlight,82,3625,2,Data Security,"{""Security Measure"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 0, ""selectedText"": ""Protecting the privacy and security of your personal information is a priority at Barnes & Noble, and we believe that a single, comprehensive privacy policy that is straightforward and clear is in the best interests of our customers and our businesses."", ""value"": ""Generic""}}",4/1/15,http://www.barnesandnoble.com/h/help/privacy-policy-complete
1809,test_category_labeling_highlight,88,3625,2,Other,"{""Other Type"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 0, ""selectedText"": ""Protecting the privacy and security of your personal information is a priority at Barnes & Noble, and we believe that a single, comprehensive privacy policy that is straightforward and clear is in the best interests of our customers and our businesses."", ""value"": ""Introductory/Generic""}}",4/1/15,http://www.barnesandnoble.com/h/help/privacy-policy-complete
C1227,test_category_labeling_highlight,88,3625,3,Policy Change,"{""Change Type"": {""endIndexInSegment"": 82, ""startIndexInSegment"": 0, ""selectedText"": ""To review the prior version of Barnes & Noble's Privacy Policy, please click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 82, ""startIndexInSegment"": 0, ""selectedText"": ""To review the prior version of Barnes & Noble's Privacy Policy, please click here."", ""value"": ""General notice in privacy policy""}}",4/1/15,http://www.barnesandnoble.com/h/help/privacy-policy-complete
471,test_category_labeling_highlight,84,3625,3,Policy Change,"{""Change Type"": {""endIndexInSegment"": 82, ""startIndexInSegment"": 0, ""selectedText"": ""To review the prior version of Barnes & Noble's Privacy Policy, please click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",4/1/15,http://www.barnesandnoble.com/h/help/privacy-policy-complete
