C230,test_category_labeling_highlight_fordham_ddddd,118,3713,0,International and Specific Audiences,"{""Audience Type"": {""selectedText"": ""We provide a safe online environment for children and follow COPPA principles."", ""startIndexInSegment"": 875, ""endIndexInSegment"": 953, ""value"": ""Children""}}",8/11/14,http://www.loc.gov/legal/#privacy_policy
8388,test_category_labeling_highlight_upitt,95,3713,0,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 364, ""startIndexInSegment"": 341, ""selectedText"": ""you voluntarily provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 314, ""startIndexInSegment"": 307, ""selectedText"": ""collect"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 194, ""startIndexInSegment"": 161, ""selectedText"": ""obtained from our online visitors"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 335, ""startIndexInSegment"": 315, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 364, ""startIndexInSegment"": 341, ""selectedText"": ""you voluntarily provide"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 335, ""startIndexInSegment"": 294, ""selectedText"": ""We will only collect personal information"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 454, ""startIndexInSegment"": 438, ""selectedText"": ""intended purpose"", ""value"": ""Unspecified""}}",8/11/14,http://www.loc.gov/legal/#privacy_policy
8390,test_category_labeling_highlight_upitt,95,3713,0,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 531, ""startIndexInSegment"": 514, ""selectedText"": ""government agency"", ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 550, ""startIndexInSegment"": 535, ""selectedText"": ""required by law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 466, ""selectedText"": ""We will only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 479, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",8/11/14,http://www.loc.gov/legal/#privacy_policy
8391,test_category_labeling_highlight_upitt,95,3713,0,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 633, ""startIndexInSegment"": 608, ""selectedText"": ""contractors or associates"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 660, ""startIndexInSegment"": 637, ""selectedText"": ""carry out your requests"", ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 583, ""startIndexInSegment"": 562, ""selectedText"": ""We will only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 479, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",8/11/14,http://www.loc.gov/legal/#privacy_policy
8392,test_category_labeling_highlight_upitt,95,3713,0,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 823, ""startIndexInSegment"": 802, ""selectedText"": ""other outside parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 772, ""startIndexInSegment"": 764, ""selectedText"": ""disclose"", ""value"": ""Use""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 798, ""startIndexInSegment"": 778, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 863, ""startIndexInSegment"": 824, ""selectedText"": ""without first obtaining your permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 763, ""startIndexInSegment"": 755, ""selectedText"": ""will not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 772, ""startIndexInSegment"": 764, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",8/11/14,http://www.loc.gov/legal/#privacy_policy
8394,test_category_labeling_highlight_upitt,95,3713,0,Data Security,"{""Security Measure"": {""endIndexInSegment"": 1032, ""startIndexInSegment"": 964, ""selectedText"": ""We have implemented safeguards to protect any information collected."", ""value"": ""Generic""}}",8/11/14,http://www.loc.gov/legal/#privacy_policy
9776,test_category_labeling_highlight_upitt,103,3713,0,Other,"{""Other Type"": {""endIndexInSegment"": 121, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy Protecting your personal information and privacy is important to the Library."", ""value"": ""Introductory/Generic""}}",8/11/14,http://www.loc.gov/legal/#privacy_policy
9777,test_category_labeling_highlight_upitt,103,3713,0,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 294, ""selectedText"": ""We will only collect personal information that you voluntarily provide."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 194, ""startIndexInSegment"": 122, ""selectedText"": ""We collect, use, and share information obtained from our online visitors"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 149, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 454, ""startIndexInSegment"": 376, ""selectedText"": ""We will only use the personal information you provide for its intended purpose"", ""value"": ""Unspecified""}}",8/11/14,http://www.loc.gov/legal/#privacy_policy
9778,test_category_labeling_highlight_upitt,103,3713,0,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 294, ""selectedText"": ""We will only collect personal information that you voluntarily provide."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 283, ""startIndexInSegment"": 199, ""selectedText"": ""subscribers to Short Message Service (SMS) notifications only in the following ways:"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 149, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 454, ""startIndexInSegment"": 376, ""selectedText"": ""We will only use the personal information you provide for its intended purpose"", ""value"": ""Unspecified""}}",8/11/14,http://www.loc.gov/legal/#privacy_policy
9779,test_category_labeling_highlight_upitt,103,3713,0,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 294, ""selectedText"": ""We will only collect personal information that you voluntarily provide."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 283, ""startIndexInSegment"": 199, ""selectedText"": ""subscribers to Short Message Service (SMS) notifications only in the following ways:"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 551, ""startIndexInSegment"": 466, ""selectedText"": ""We will only disclose personal information to a government agency if required by law."", ""value"": ""Legal requirement""}}",8/11/14,http://www.loc.gov/legal/#privacy_policy
9780,test_category_labeling_highlight_upitt,103,3713,0,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 294, ""selectedText"": ""We will only collect personal information that you voluntarily provide."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 194, ""startIndexInSegment"": 122, ""selectedText"": ""We collect, use, and share information obtained from our online visitors"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 551, ""startIndexInSegment"": 466, ""selectedText"": ""We will only disclose personal information to a government agency if required by law."", ""value"": ""Legal requirement""}}",8/11/14,http://www.loc.gov/legal/#privacy_policy
