C676,test_category_labeling_highlight_fordham_ddddd,118,3739,0,Other,"{""Other Type"": {""selectedText"": ""Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 14, ""value"": ""Introductory/Generic""}}",Not specified,http://www.tangeroutlet.com/privacy
13753,test_category_labeling_highlight_upitt,103,3739,1,Data Security,"{""Security Measure"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 0, ""selectedText"": ""TangerOutlets is committed to keeping your personal information confidential. Any and all personal identifiable information collected from our customers is used by Tanger Outlets only, and is not sold, shared or distributed to any third party."", ""value"": ""Generic""}}",Not specified,http://www.tangeroutlet.com/privacy
13754,test_category_labeling_highlight_upitt,103,3739,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 78, ""selectedText"": ""Any and all personal identifiable information collected from our customers"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 184, ""startIndexInSegment"": 153, ""selectedText"": ""is used by Tanger Outlets only,"", ""value"": ""Unspecified""}}",Not specified,http://www.tangeroutlet.com/privacy
13755,test_category_labeling_highlight_upitt,103,3739,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 227, ""selectedText"": ""any third party."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 185, ""selectedText"": ""and is not sold, shared or distributed to any third party."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 134, ""selectedText"": ""from our customers"", ""value"": ""Other""}, ""Action Third Party"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 193, ""selectedText"": ""ot sold, shared or distributed"", ""value"": ""Receive/Shared with""}}",Not specified,http://www.tangeroutlet.com/privacy
15274,test_category_labeling_highlight_upitt,95,3739,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 152, ""startIndexInSegment"": 124, ""selectedText"": ""collected from our customers"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 183, ""startIndexInSegment"": 156, ""selectedText"": ""used by Tanger Outlets only"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",Not specified,http://www.tangeroutlet.com/privacy
15275,test_category_labeling_highlight_upitt,95,3739,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 242, ""startIndexInSegment"": 227, ""selectedText"": ""any third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 195, ""startIndexInSegment"": 189, ""selectedText"": ""is not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 202, ""selectedText"": ""shared or distributed"", ""value"": ""Receive/Shared with""}}",Not specified,http://www.tangeroutlet.com/privacy
15276,test_category_labeling_highlight_upitt,95,3739,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 242, ""startIndexInSegment"": 227, ""selectedText"": ""any third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 90, ""selectedText"": ""personal identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 195, ""startIndexInSegment"": 189, ""selectedText"": ""is not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 201, ""startIndexInSegment"": 196, ""selectedText"": ""sold,"", ""value"": ""Other""}}",Not specified,http://www.tangeroutlet.com/privacy
24617,test_category_labeling_highlight_fordham_ddddd,118,3739,1,Other,"{""Other Type"": {""selectedText"": ""TangerOutlets is committed to keeping your personal information confidential."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 77, ""value"": ""Introductory/Generic""}}",Not specified,http://www.tangeroutlet.com/privacy
24618,test_category_labeling_highlight_fordham_ddddd,118,3739,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""selectedText"": ""to any third party."", ""startIndexInSegment"": 224, ""endIndexInSegment"": 243, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Any and all personal identifiable information collected from our customers"", ""startIndexInSegment"": 78, ""endIndexInSegment"": 152, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""identifiable"", ""startIndexInSegment"": 99, ""endIndexInSegment"": 111, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""is used by Tanger Outlets only, and is not sold, shared or distributed to any third party."", ""startIndexInSegment"": 153, ""endIndexInSegment"": 243, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""sold"", ""startIndexInSegment"": 196, ""endIndexInSegment"": 200, ""value"": ""Other""}}",Not specified,http://www.tangeroutlet.com/privacy
24619,test_category_labeling_highlight_fordham_ddddd,118,3739,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""selectedText"": ""to any third party."", ""startIndexInSegment"": 224, ""endIndexInSegment"": 243, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Any and all personal identifiable information collected from our customers"", ""startIndexInSegment"": 78, ""endIndexInSegment"": 152, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""identifiable"", ""startIndexInSegment"": 99, ""endIndexInSegment"": 111, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""is used by Tanger Outlets only, and is not sold, shared or distributed to any third party."", ""startIndexInSegment"": 153, ""endIndexInSegment"": 243, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""shared"", ""startIndexInSegment"": 202, ""endIndexInSegment"": 208, ""value"": ""Receive/Shared with""}}",Not specified,http://www.tangeroutlet.com/privacy
