Policy UID,Policy URL,Policy collection date,Policy last updated date,
20,theatlantic.com/privacy-policy/,2015-07-02,2015-01-01,
21,imdb.com/privacy,2015-07-02,2014-12-05,
26,nytimes.com/privacy,2015-07-08,2015-06-10,
32,voxmedia.com/privacy-policy,2015-07-02,2014-05-01,
33,nbcuniversal.com/privacy/full-privacy-policy,2015-07-02,2015-01-14,
58,esquire.com/about/privacy-policy,2015-07-08,2014-12-31,
59,liquor.com/privacy-policy/,2015-07-02,,
70,meredith.com/privacy.html,2015-07-02,2015-01-14,
82,sheknows.com/privacy-policy,2015-07-02,2015-01-14,
93,pbs.org/about/policies/privacy-policy/,2015-07-08,2009-05-11,
98,neworleansonline.com/notmc/privacy.html,2015-07-02,2015-05-22,
105,amazon.com/gp/help/customer/display.html/?nodeId=468496,2015-07-02,2014-03-03,
133,subscription.timeinc.com/storefront/privacy/fortune/generic_privacy_new.html,2015-07-02,2014-01-02,
135,instagram.com/about/legal/privacy/,2015-07-08,2013-01-19,
144,condenast.com/privacy-policy#privacypolicy,2015-07-02,2014-01-02,
164,adweek.com/privacy-policy,2015-07-02,2014-01-01,
175,mlb.mlb.com/mlb/help/mlb_help_about_privacy.jsp,2015-07-02,2014-06-30,
186,disneyprivacycenter.com/privacy-policy-translations/english/,2015-07-02,2015-06-19,
200,washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,2015-07-02,2015-01-01,
202,foodallergy.org/privacy-policy,2015-07-02,,
207,dictionary.reference.com/privacy,2015-07-02,2014-01-07,
228,legal.kinja.com/privacy-policy-90190742,2015-07-02,2015-02-11,
303,reddit.com/help/privacypolicy,2015-07-02,2015-04-14,
320,subscription.timeinc.com/storefront/privacy/essence/generic_privacy_new.html,2015-07-02,2014-01-02,
325,ocregister.com/privacy/,2015-07-02,2009-03-01,
331,tgifridays.com/privacy,2015-07-02,,
348,corporate.walmart.com/privacy-security/walmart-privacy-policy,2015-07-08,2015-03-01,
359,vikings.com/footer/privacy-policy.html,2015-07-08,2013-10-17,
394,newsbusters.org/privacy-policy,2015-07-02,2013-01-01,
414,washingtonian.com/privacy-policy/,2015-07-08,2009-02-06,
453,barnesandnoble.com/h/help/privacy-policy-complete,2015-07-02,2015-04-01,
456,boardgamegeek.com/privacy,2015-07-02,,
481,fredericknewspost.com/site/privacy.html,2015-07-02,2012-05-03,
503,buffalowildwings.com/en/privacy-policy-terms/,2015-07-02,2012-07-23,
517,kaleidahealth.org/general-information/privacy.asp,2015-07-02,,
523,usa.gov/policies,2015-07-02,,
531,archives.gov/global-pages/privacy.html,2015-07-08,,
541,ifsa-butler.org/about-us/about-ifsa-butler/terms-of-use.html,2015-07-02,,
559,loc.gov/legal/#privacy_policy,2015-07-08,2014-08-11,
571,abita.com/sign_up/privacy_policy,2015-07-02,2009-07-01,
581,coffeereview.com/privacy/,2015-07-02,,
584,communitycoffee.com/termsofuse,2015-07-08,,
586,cariboucoffee.com/footer-folder/privacy,2015-07-08,2003-06-03,
