2013,0,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
2261,0,82,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
2014,1,84,The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.
2015,1,84,An unnamed third party does collect on the first party website or app unspecified information about you for an unspecified purpose.
2280,1,82,The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way.
2282,1,82,An unnamed third party does collect on the first party website or app your unspecified personal information for an unspecified purpose.
2801,1,88,The site collects your unspecified information for an unspecified purpose. Collection happens on the website.
2802,1,88,An unnamed third party does collect on the first party website or app unspecified information about you for an unspecified purpose.
2024,2,84,The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.
2025,2,84,The site collects your demographic information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.
2026,2,84,The site collects your location information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.
2027,2,84,An unnamed third party does receive unspecified information about you for marketing purposes. The data is aggregated or anonymized. You can choose not to use the service or feature.
2030,2,84,An unnamed third party does not receive your unspecified personal information for an unspecified purpose.
2032,2,84,An unnamed third party does not receive your contact information for an unspecified purpose.
2035,2,84,The site collects your location information for personalization or customization. Collection happens when you implicitly provide information by some means outside of our label scheme.
2286,2,82,"The site collects your contact information for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized."
2287,2,82,"The site collects your demographic information for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized."
2288,2,82,"The site collects your location information for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized."
2289,2,82,An unnamed third party does not receive your contact information for an unspecified purpose.
2293,2,82,The site collects your unspecified information for analytics or research. Collection happens by some means outside of our label scheme.
2297,2,82,"The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens in an unspecified way, and your data is aggregated or anonymized."
2803,2,88,"The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information on the website, and your data is aggregated or anonymized. You can opt in for data collection for the use of your information."
2804,2,88,"The site collects your demographic information for marketing purposes. Collection happens when you explicitly provide information on the website, and your data is aggregated or anonymized. You can opt in for data collection for the use of your information."
2805,2,88,An unnamed third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.
2806,2,88,"The site collects your website activities for service operations or security. Collection happens when you implicitly provide information on the website, and your data is identifiable."
2300,3,82,The site collects your generic personal information for service operations or security. Collection happens in an unspecified way.
2303,3,82,The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way.
2305,3,82,The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens in an unspecified way.
2310,3,82,The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens by an unnamed service or third party for users with accounts.
2311,3,82,"The site does not collect your generic personal information for an additional (non-basic) service or feature. Collection happens by an unnamed service or third party for users with accounts, and your data is identifiable."
2807,3,88,An unnamed third party does receive information about you not covered by our label scheme for an unspecified purpose. The data is aggregated or anonymized.
2808,3,88,"The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection for the collection of your information."
2809,3,88,"The site collects an information type outside of our label scheme for an additional (non-basic) service or feature. Collection happens when you implicitly provide information by an unnamed service or third party, and your data is identifiable."
2810,3,88,"The site does not collect an information type outside of our label scheme for an unspecified purpose. Collection happens by an unnamed service or third party, and your data is identifiable."
2037,4,84,The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with browser settings.
2038,4,84,The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with browser settings.
2045,4,84,An unnamed third party does track on the first party website or app your cookies or tracking elements for analytics or research. You can configure your privacy with browser settings.
2046,4,84,An unnamed third party does track on the first party website or app your cookies or tracking elements for a basic service or feature. You can configure your privacy with browser settings.
2048,4,84,An unnamed third party does track on the first party website or app your cookies or tracking elements for targeted advertising. You can configure your privacy with browser settings.
2050,4,84,The site collects your cookies or tracking elements for a basic service or feature. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with browser settings.
2312,4,82,The site collects your cookies or tracking elements for analytics or research. Collection happens in an unspecified way. You can configure your privacy with browser settings.
2313,4,82,The site collects your cookies or tracking elements for advertising. Collection happens in an unspecified way. You can configure your privacy with browser settings.
2314,4,82,The site collects your cookies or tracking elements for a basic service or feature. Collection happens in an unspecified way. You can configure your privacy with browser settings.
2315,4,82,An unnamed third party does track on the first party website or app your cookies or tracking elements for analytics or research. You can configure your privacy with browser settings.
2316,4,82,An unnamed third party does track on the first party website or app your cookies or tracking elements for a basic service or feature. You can configure your privacy with browser settings.
2317,4,82,An unnamed third party does track on the first party website or app your cookies or tracking elements for targeted advertising. You can configure your privacy with browser settings.
2811,4,88,"The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information on the website, and your data is identifiable. You can configure your privacy with browser settings."
