"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",14,"[(7902, 0, 96), (7903, 1, 96), (7904, 2, 96), (7905, 3, 96), (9232, 3, 103), (7936, 9, 96), (8121, 33, 96), (8122, 34, 96), (8123, 35, 96), (8124, 36, 96), (8125, 37, 96), (23999, 0, 129), (24005, 2, 129), (24006, 3, 129)]"
The policy makes a statement about how data from children is treated.,10,"[(8112, 25, 96), (9274, 25, 103), (8113, 26, 96), (9275, 26, 103), (8114, 27, 96), (9276, 27, 103), (24001, 1, 129), (24809, 25, 129), (24810, 26, 129), (24811, 27, 129)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",8,"[(8116, 29, 96), (9278, 29, 103), (9284, 32, 103), (9283, 33, 103), (9286, 34, 103), (24813, 29, 129), (24821, 33, 129), (24820, 34, 129)]"
A specific security measure not covered above.,8,"[(9272, 22, 103), (8110, 23, 96), (9271, 23, 103), (8111, 24, 96), (9273, 24, 103), (24806, 22, 129), (24807, 23, 129), (24808, 24, 129)]"
The text does not fit into our label scheme.,7,"[(8120, 32, 96), (9282, 32, 103), (24000, 1, 129), (24822, 32, 129), (24819, 35, 129), (24818, 36, 129), (24817, 37, 129)]"
The text describes a specific data practice that is not covered by our label scheme.,6,"[(8099, 15, 96), (8100, 16, 96), (8102, 18, 96), (8108, 21, 96), (24002, 1, 129), (24805, 21, 129)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,3,"[(7914, 5, 96), (9240, 5, 103), (24020, 5, 129)]"
The website ignores Do Not Track headers and the user's Do Not Track preference.,3,"[(8103, 19, 96), (9265, 19, 103), (24797, 19, 129)]"
The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,3,"[(7912, 5, 96), (9238, 5, 103), (24019, 5, 129)]"
"You can opt out (by contacting the company) from the use of generic personal information by a third party, which collects or receives it for marketing purposes.",3,"[(8117, 30, 96), (9279, 30, 103), (24814, 30, 129)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,3,"[(7915, 5, 96), (9237, 5, 103), (24017, 5, 129)]"
