"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",14,"[(9602, 0, 121), (9605, 2, 121), (8956, 0, 116), (8968, 2, 116), (8992, 2, 116), (9019, 10, 116), (9096, 18, 116), (9099, 18, 116), (9111, 24, 116), (9045, 0, 117), (9046, 1, 117), (9047, 2, 117), (9077, 18, 117), (9791, 30, 117)]"
The text does not fit into our label scheme.,7,"[(9728, 30, 121), (9748, 35, 121), (9023, 11, 116), (9032, 13, 116), (9126, 30, 116), (9152, 33, 116), (9159, 35, 116)]"
"A user can edit their information, within the scope of unspecified user information.",7,"[(9702, 19, 121), (9705, 19, 121), (9710, 21, 121), (9102, 19, 116), (9106, 21, 116), (9078, 19, 117), (9081, 21, 117)]"
The text describes a specific data practice that is not covered by our label scheme.,6,"[(9640, 7, 121), (9721, 25, 121), (9723, 27, 121), (9724, 28, 121), (9043, 15, 116), (9121, 28, 116)]"
A user's unspecified information is retained for an unspecified duration to fulfill an unspecified purpose.,4,"[(9711, 21, 121), (8977, 4, 116), (8984, 5, 116), (9082, 21, 117)]"
"The policy makes a statement about how data from European users is treated (e.g., Safe Harbor provisions).",4,"[(8967, 2, 116), (9115, 26, 116), (9117, 27, 116), (9120, 28, 116)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",4,"[(9603, 1, 121), (9608, 1, 121), (8957, 1, 116), (8993, 1, 116)]"
"A user can access, edit, or delete personal information in an unspecified manner, within the scope of information explicitly provided by the user.",3,"[(9100, 19, 116), (9161, 36, 116), (9808, 36, 117)]"
Another part of the company or institution does receive unspecified information about you for an unspecified purpose.,3,"[(9679, 10, 121), (9680, 10, 121), (9685, 11, 121)]"
A user's information of a type not covered by our label scheme is retained for an unspecified duration to fulfill an unspecified purpose.,3,"[(9632, 4, 121), (9634, 5, 121), (9107, 21, 116)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature.,3,"[(9688, 12, 121), (9028, 12, 116), (9065, 11, 117)]"
A specific security measure not covered above.,3,"[(9699, 17, 121), (9088, 17, 116), (9076, 17, 117)]"
"A user can access, edit, or delete personal information in an unspecified manner, within the scope of information the company has learned about the user.",3,"[(9162, 36, 116), (9163, 36, 116), (9809, 36, 117)]"
"The company/organization has a privacy or security program/organization in place addressing, for example, how to protect data against unauthorized access or privacy training for employees.",3,"[(9722, 26, 121), (9094, 26, 117), (9097, 27, 117)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(9697, 17, 121), (9085, 17, 116), (9075, 17, 117)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(8981, 5, 116), (8990, 5, 116)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information by other websites.,2,"[(9650, 5, 121), (8983, 5, 116)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by the site, which collects it for a basic service or feature.",2,"[(9669, 9, 121), (9719, 24, 121)]"
An unspecified third party does do something unspecified with unspecified information about you for an unspecified purpose.,2,"[(9700, 18, 121), (8969, 2, 116)]"
The site collects your financial information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,2,"[(9132, 31, 116), (9793, 31, 117)]"
"You can make no specified choices about the use of unspecified information by a third party, which collects or receives it for an unspecified purpose.",2,"[(9696, 16, 121), (9044, 16, 116)]"
The site collects your IP address or device IDs for personalization or customization. Collection happens in the mobile app. You can configure your privacy with browser settings.,2,"[(8995, 6, 116), (9056, 6, 117)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,2,"[(8958, 2, 116), (9020, 10, 116)]"
The site collects your generic personal information for personalization or customization. Collection happens on the website for a user type outside of our label scheme.,2,"[(8970, 3, 116), (8991, 3, 116)]"
You can choose not to use a service or feature to avoid the use of unspecified information by an unspecified party for an unspecified purpose.,2,"[(9607, 2, 121), (8962, 2, 116)]"
"Users with accounts can view their information, within the scope of unspecified user information.",2,"[(9703, 19, 121), (9706, 19, 121)]"
The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way.,2,"[(9667, 9, 121), (9048, 3, 117)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",2,"[(9123, 29, 116), (9790, 29, 117)]"
"A user can view their information, within the scope of unspecified user information.",2,"[(9704, 19, 121), (9707, 19, 121)]"
The site collects your location information for an unspecified purpose. Collection happens in the mobile app. You can configure your privacy with browser settings.,2,"[(8986, 6, 116), (9802, 33, 117)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens in an unspecified way. You can configure your privacy with browser settings.,2,"[(9011, 9, 116), (9061, 9, 117)]"
The site collects your location information for advertising. Collection happens in the mobile app. You can configure your privacy with browser settings.,2,"[(8988, 6, 116), (9053, 6, 117)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of location information by an unspecified party for an additional (non-basic) service or feature.,2,"[(8999, 6, 116), (9001, 6, 116)]"
You can choose not to use a service or feature to avoid the use of unspecified information by an unspecified party for an additional (non-basic) service or feature.,2,"[(9105, 20, 116), (9080, 20, 117)]"
"A user can access, edit, or delete personal information in an unspecified manner, within the scope of unspecified user information.",2,"[(8964, 2, 116), (9103, 19, 116)]"
The site collects your cookies or tracking elements for a basic service or feature. Collection happens in an unspecified way. You can configure your privacy with browser settings.,2,"[(9013, 9, 116), (9063, 9, 117)]"
You can choose not to use a service or feature to avoid the use of unspecified information by an unspecified party for a basic service or feature.,2,"[(9104, 20, 116), (9079, 20, 117)]"
The site collects something that uniquely identifies you for an unspecified purpose. Collection happens when you explicitly provide information on the website.,2,"[(9136, 31, 116), (9794, 31, 117)]"
An unnamed third party does do something unspecified with unspecified information about you for an unspecified purpose.,2,"[(9008, 8, 116), (9084, 16, 116)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,2,"[(9648, 5, 121), (9687, 5, 121)]"
The site collects your contact information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,2,"[(9133, 31, 116), (9792, 31, 117)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by the site, which uses it for a basic service or feature.",2,"[(9017, 9, 116), (9113, 24, 116)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(9649, 5, 121), (8982, 5, 116)]"
The policy makes a statement about how data from children is treated.,2,"[(9119, 25, 116), (9091, 25, 117)]"
"User authentication, e.g., login to a user account, is encrypted/secured.",2,"[(9090, 17, 116), (9092, 17, 116)]"
Another part of the company or institution does do something unspecified with unspecified information about you for an unspecified purpose.,1,"[(9064, 10, 117)]"
The site collects your unspecified information for personalization or customization. Collection happens on the website. You can choose not to use the service or feature.,1,"[(8974, 4, 116)]"
The site collects your location information for an additional (non-basic) service or feature. Collection happens when you implicitly provide information in the mobile app. You can configure your privacy with browser settings.,1,"[(9638, 6, 121)]"
The site collects your contact information for a basic service or feature. Collection happens by an unnamed service or third party.,1,"[(9803, 34, 117)]"
An unnamed third party does not receive your contact information for marketing purposes. You can opt out using the provided link.,1,"[(9067, 13, 117)]"
"The site collects your location information for an additional (non-basic) service or feature. Collection happens when you implicitly provide information in the mobile app, and your data is identifiable. You can configure your privacy with browser settings.",1,"[(9655, 6, 121)]"
The site does not collect something that uniquely identifies you for a purpose outside of our label scheme. Collection happens by some means outside of our label scheme for a user type outside of our label scheme. You can configure your privacy with user settings provided by the site.,1,"[(9035, 13, 116)]"
