"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",22,"[(13305, 0, 121), (13307, 2, 121), (13309, 4, 121), (13310, 5, 121), (13320, 6, 121), (13342, 13, 121), (13360, 22, 121), (13369, 28, 121), (13302, 33, 121), (13287, 41, 121), (13487, 0, 116), (13531, 13, 116), (13628, 28, 116), (12192, 0, 118), (12194, 2, 118), (12200, 4, 118), (12201, 5, 118), (12209, 13, 118), (12224, 22, 118), (12229, 28, 118), (12262, 37, 118), (12260, 41, 118)]"
The text does not fit into our label scheme.,20,"[(13367, 26, 121), (13490, 2, 116), (13494, 4, 116), (13519, 9, 116), (13568, 16, 116), (13607, 22, 116), (13608, 23, 116), (13622, 24, 116), (13626, 26, 116), (13636, 31, 116), (13639, 33, 116), (13648, 38, 116), (12346, 9, 118), (12401, 15, 118), (12407, 16, 118), (12365, 23, 118), (12228, 27, 118), (12380, 31, 118), (12237, 33, 118), (12257, 39, 118)]"
The text describes a specific data practice that is not covered by our label scheme.,11,"[(13306, 1, 121), (13365, 24, 121), (13294, 38, 121), (13289, 39, 121), (13489, 1, 116), (13601, 21, 116), (12193, 1, 118), (12333, 6, 118), (12374, 23, 118), (12226, 26, 118), (12376, 30, 118)]"
The policy makes a statement about how data from children is treated.,7,"[(13297, 35, 121), (13296, 36, 121), (13645, 35, 116), (13646, 36, 116), (12256, 35, 118), (12255, 36, 118), (12251, 37, 118)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",7,"[(13295, 37, 121), (13288, 40, 121), (13647, 37, 116), (13650, 40, 116), (12225, 24, 118), (12252, 37, 118), (12259, 40, 118)]"
The site collects your unspecified information for advertising. Collection happens in an unspecified way.,6,"[(13348, 15, 121), (13349, 16, 121), (13493, 3, 116), (12198, 3, 118), (12399, 15, 118), (12406, 16, 118)]"
The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,5,"[(13324, 8, 121), (13335, 9, 121), (13520, 9, 116), (12340, 8, 118), (12347, 9, 118)]"
The site collects your unspecified information for an unspecified purpose. Collection happens by an unnamed service or third party.,5,"[(13496, 5, 116), (13528, 12, 116), (12350, 12, 118), (12418, 25, 118), (12420, 25, 118)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,4,"[(13308, 3, 121), (13347, 15, 121), (13491, 3, 116), (12197, 3, 118)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,4,"[(13325, 8, 121), (13334, 9, 121), (13521, 9, 116), (12342, 8, 118)]"
