The text does not fit into our label scheme.,48,"[(9586, 1, 103), (8325, 7, 96), (8333, 12, 96), (8336, 14, 96), (9629, 14, 103), (8357, 24, 96), (8358, 25, 96), (8359, 26, 96), (8364, 31, 96), (8365, 32, 96), (8366, 33, 96), (8367, 34, 96), (8368, 35, 96), (8370, 37, 96), (8371, 38, 96), (8372, 39, 96), (8373, 40, 96), (9765, 40, 103), (8374, 41, 96), (8375, 42, 96), (8376, 43, 96), (8377, 44, 96), (8378, 45, 96), (8379, 46, 96), (9771, 46, 103), (8380, 47, 96), (9772, 47, 103), (8381, 48, 96), (8382, 49, 96), (25136, 3, 127), (25065, 7, 127), (25082, 18, 127), (25159, 24, 127), (25096, 25, 127), (25097, 26, 127), (25098, 27, 127), (25099, 28, 127), (25107, 32, 127), (25110, 33, 127), (25109, 34, 127), (25161, 38, 127), (25163, 39, 127), (25165, 40, 127), (25116, 43, 127), (25119, 45, 127), (25120, 46, 127), (25123, 49, 127), (25125, 50, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,28,"[(8322, 6, 96), (9673, 25, 103), (9674, 26, 103), (9675, 27, 103), (9682, 31, 103), (9683, 32, 103), (9684, 33, 103), (9717, 36, 103), (9764, 39, 103), (9773, 49, 103), (25060, 4, 127), (25072, 12, 127), (25073, 13, 127), (25078, 14, 127), (25079, 15, 127), (25080, 16, 127), (25101, 29, 127), (25104, 31, 127), (25106, 32, 127), (25111, 35, 127), (25112, 36, 127), (25113, 37, 127), (25162, 39, 127), (25164, 40, 127), (25114, 41, 127), (25115, 42, 127), (25166, 47, 127), (25121, 48, 127)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",19,"[(8304, 0, 96), (8305, 1, 96), (9626, 12, 103), (8337, 15, 96), (9630, 15, 103), (8343, 18, 96), (8344, 19, 96), (8360, 27, 96), (8361, 28, 96), (9677, 28, 103), (8362, 29, 96), (9678, 29, 103), (8363, 30, 96), (8369, 36, 96), (9766, 41, 103), (9769, 44, 103), (25047, 0, 127), (25117, 44, 127), (25118, 45, 127)]"
Data is accessible to employees/third parties on a need-to-know basis.,9,"[(8315, 3, 96), (9604, 3, 103), (8341, 17, 96), (9636, 17, 103), (9652, 19, 103), (25055, 2, 127), (25132, 3, 127), (25147, 17, 127), (25150, 19, 127)]"
A specific security measure not covered above.,8,"[(8318, 4, 96), (9612, 4, 103), (9676, 27, 103), (9715, 34, 103), (9770, 45, 103), (8383, 50, 96), (9774, 50, 103), (8384, 51, 96)]"
"The company/organization has a privacy or security program/organization in place addressing, for example, how to protect data against unauthorized access or privacy training for employees.",7,"[(9637, 17, 103), (9775, 51, 103), (25135, 3, 127), (25146, 17, 127), (25149, 17, 127), (25124, 50, 127), (25126, 51, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",4,"[(9610, 3, 103), (9768, 43, 103), (25138, 3, 127), (25105, 32, 127)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,2,"[(8350, 21, 96), (9661, 21, 103)]"
A named third party does receive your contact information for legal requirements.,2,"[(9614, 5, 103), (25062, 5, 127)]"
A third party outside of our label scheme does not receive unspecified information about you for an unspecified purpose.,2,"[(9618, 7, 103), (25064, 7, 127)]"
The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(8346, 20, 96), (9653, 20, 103)]"
A named third party does receive unspecified information about you for an unspecified purpose. The data is personally identifiable.,2,"[(9666, 21, 103), (25155, 21, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",2,"[(9585, 0, 103), (9606, 3, 103)]"
A user's unspecified information is retained indefinitely to perform analytics or research.,2,"[(9662, 21, 103), (25152, 21, 127)]"
A named third party does receive your unspecified personal information for service operations or security.,2,"[(9599, 2, 103), (25056, 2, 127)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(8349, 20, 96), (9654, 20, 103)]"
A user's user profile is retained indefinitely to fulfill a purpose not covered by our label scheme.,2,"[(8353, 21, 96), (25153, 21, 127)]"
An unnamed third party does not do something outside of our label scheme with your unspecified personal information for an unspecified purpose.,2,"[(8308, 2, 96), (25052, 2, 127)]"
"A user's financial information is retained for a limited (but unspecified) period of time to meet legal or law enforcement requirements, and then it is deleted..",2,"[(9609, 3, 103), (25137, 3, 127)]"
A named third party does receive your unspecified personal information for legal requirements.,2,"[(9600, 2, 103), (25057, 2, 127)]"
A user's unique personal identifier is retained for an unspecified duration to fulfill a purpose not covered by our label scheme.,1,"[(8340, 17, 96)]"
The site does not collect your unspecified information for an additional (non-basic) service or feature. Collection happens by some means outside of our label scheme. You can configure your privacy using a method outside our label scheme for the use of your information.,1,"[(9733, 38, 103)]"
The site collects your computer information for a basic service or feature. Collection happens when you explicitly provide information on the website. You can opt in for data collection for the use of your information.,1,"[(25160, 38, 127)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens on other websites.,1,"[(9617, 6, 103)]"
The site does not collect your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information on other websites.,1,"[(8330, 10, 96)]"
A third party outside of our label scheme does not receive unspecified information about you for an unspecified purpose. You can configure your privacy with browser settings for the use of your information.,1,"[(8332, 11, 96)]"
A named third party does receive your financial information for a basic service or feature.,1,"[(25053, 2, 127)]"
Another part of the company or institution does collect on the first party website or app your financial information for a basic service or feature. You can opt in for data collection for the collection or sharing of your information.,1,"[(25133, 3, 127)]"
"You can choose not to use a service or feature to avoid the use of activities on the website or app by the site, which collects it for service operations or security.",1,"[(25127, 51, 127)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens on the website. You can opt in for data collection for the collection of your information.,1,"[(25067, 8, 127)]"
The site collects your generic personal information for analytics or research. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the use of your information.,1,"[(8314, 3, 96)]"
"A user type outside of our label scheme can opt in for the use of unspecified information by the site, which uses it for advertising.",1,"[(25100, 28, 127)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens when you explicitly provide information by a named service or third party.,1,"[(25141, 6, 127)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.,1,"[(9615, 5, 103)]"
The site collects your contact information for a basic service or feature. Collection happens in an unspecified way for users with accounts.,1,"[(25095, 23, 127)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens on other websites.,1,"[(9616, 6, 103)]"
A named third party does receive your activities on the website or app for service operations or security.,1,"[(25128, 51, 127)]"
"The site does not collect your generic personal information for an unspecified purpose. Collection happens by a named service or third party, and your data is identifiable.",1,"[(9628, 13, 103)]"
The site collects your website activities for a basic service or feature. Collection happens in an unspecified way.,1,"[(25083, 20, 127)]"
An unnamed third party does not receive your unspecified personal information for a basic service or feature.,1,"[(8309, 2, 96)]"
A named third party does receive your unspecified personal information for a basic service or feature. You can configure your privacy using a method outside our label scheme.,1,"[(9594, 2, 103)]"
Another part of the company or institution does collect on the first party website or app your unspecified personal information for analytics or research. You can opt in for data collection for the collection or sharing of your information.,1,"[(25131, 3, 127)]"
The site collects your website activities for a basic service or feature. Collection happens on other websites.,1,"[(25087, 20, 127)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,1,"[(8335, 13, 96)]"
"The site does not collect something that uniquely identifies you for service operations or security. Collection happens when you explicitly provide information by other websites, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(25145, 17, 127)]"
"The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(25089, 22, 127)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information by some means outside of our label scheme. You can opt in for data collection for the collection of your information.,1,"[(25050, 2, 127)]"
"You can use privacy configuration settings (in the website or app) to control the use of unspecified information by the site, which uses it for an unspecified purpose.",1,"[(8326, 7, 96)]"
The site collects your location information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(8348, 20, 96)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information by some means outside of our label scheme.,1,"[(9589, 2, 103)]"
An unnamed third party does not receive your unspecified personal information for an additional (non-basic) service or feature.,1,"[(8311, 2, 96)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the collection of your information.,1,"[(8307, 2, 96)]"
"The site does not collect your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way, and your data is identifiable.",1,"[(8323, 7, 96)]"
Another part of the company or institution does collect on the first party website or app your financial information for analytics or research. You can opt in for data collection for the collection or sharing of your information.,1,"[(25134, 3, 127)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of activities on the website or app by an unspecified party for personalization or customization.,1,"[(9625, 11, 103)]"
A named third party does receive your unspecified personal information for an additional (non-basic) service or feature.,1,"[(9595, 2, 103)]"
"The site collects your user profile for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(25091, 22, 127)]"
"The site does not collect your generic personal information for service operations or security. Collection happens when you explicitly provide information by other websites, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(25144, 17, 127)]"
The site collects your user profile for personalization or customization. Collection happens when you explicitly provide information on the website for users without accounts.,1,"[(9670, 22, 103)]"
A named third party does do something outside of our label scheme with your user profile for an additional (non-basic) service or feature. This applies to users with accounts. You can opt in for data collection for the collection or sharing of your information.,1,"[(25151, 19, 127)]"
The site does not collect your unspecified information for an additional (non-basic) service or feature. Collection happens by some means outside of our label scheme.,1,"[(9734, 38, 103)]"
"The site collects your generic personal information for personalization or customization. Collection happens when you explicitly provide information on the website for users with accounts, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(25094, 22, 127)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens on the website for users without accounts.,1,"[(25142, 9, 127)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(8345, 20, 96)]"
The site collects your cookies or tracking elements for service operations or security. Collection happens in an unspecified way.,1,"[(9622, 9, 103)]"
The site does not collect your unspecified information for an unspecified purpose. Collection happens by some means outside of our label scheme. You can configure your privacy with browser settings for the use of your information.,1,"[(8331, 11, 96)]"
"You can opt in for the use of computer information by a third party, which uses it for service operations or security.",1,"[(25157, 24, 127)]"
"The site collects your generic personal information for service operations or security. Collection happens when you explicitly provide information on the website for users with accounts, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(25093, 22, 127)]"
"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(25090, 22, 127)]"
A named third party does receive your unspecified personal information for a basic service or feature. You can opt in for data collection for the use of your information.,1,"[(25058, 2, 127)]"
An unnamed third party does not receive your user profile for personalization or customization.,1,"[(25071, 11, 127)]"
A named third party does receive something that uniquely identifies you for an unspecified purpose. The data is personally identifiable.,1,"[(25156, 21, 127)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens when you explicitly provide information by a named service or third party.,1,"[(25140, 6, 127)]"
A named third party does receive your activities on the website or app for legal requirements.,1,"[(25129, 51, 127)]"
The site does not collect your user profile for personalization or customization. Collection happens by other websites.,1,"[(25076, 11, 127)]"
"The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information on the website for users with accounts, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(25092, 22, 127)]"
A user's generic personal information is retained indefinitely to fulfill an unspecified purpose.,1,"[(25081, 18, 127)]"
A user's information of a type not covered by our label scheme is retained indefinitely to fulfill an unspecified purpose.,1,"[(8352, 21, 96)]"
An unnamed third party does not collect on the first party website or app your unspecified personal information for an unspecified purpose. The data is personally identifiable.,1,"[(8334, 13, 96)]"
Privacy practices and security measures of the first party or third party are reviewed/audited by internal or external reviewers/auditors.,1,"[(9681, 30, 103)]"
"The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(8355, 22, 96)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of user profile by the site, which collects it for personalization or customization.",1,"[(25069, 11, 127)]"
The site collects an information type outside of our label scheme for a purpose outside of our label scheme. Collection happens when you implicitly provide information on the website.,1,"[(8328, 9, 96)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified in an unspecified manner. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(25103, 30, 127)]"
An unnamed third party does not receive unspecified information about you for an unspecified purpose.,1,"[(8324, 7, 96)]"
The site does not collect your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information by some means outside of our label scheme.,1,"[(8329, 10, 96)]"
The site collects your location information for a basic service or feature. Collection happens on the website.,1,"[(25086, 20, 127)]"
The site collects your IP address or device IDs for a basic service or feature. Collection happens on the website.,1,"[(25084, 20, 127)]"
The site collects your survey data for an unspecified purpose. Collection happens on the website.,1,"[(9624, 9, 103)]"
A named third party does receive your contact information for a basic service or feature.,1,"[(25061, 5, 127)]"
Another part of the company or institution does receive your contact information for legal requirements. You can choose not to use the service or feature for the use of your information.,1,"[(8321, 5, 96)]"
"The site collects your contact information for personalization or customization. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(8354, 22, 96)]"
An unnamed third party does not receive your unspecified personal information for legal requirements.,1,"[(8312, 2, 96)]"
A named third party does track on the first party website or app your computer information for service operations or security. You can opt in for data collection for the use of your information.,1,"[(25158, 24, 127)]"
The site collects your unspecified information for legal requirements. Collection happens by some means outside of our label scheme.,1,"[(9767, 42, 103)]"
The site collects your user profile for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website for users without accounts.,1,"[(9671, 22, 103)]"
The site collects your unspecified information for analytics or research. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the collection of your information.,1,"[(8327, 8, 96)]"
The site collects your contact information for a basic service or feature. Collection happens in an unspecified way.,1,"[(8356, 23, 96)]"
A user's unspecified information is retained for a duration not covered by our label scheme to fulfill a purpose not covered by our label scheme.,1,"[(8317, 3, 96)]"
An unnamed third party does not receive your unspecified personal information for service operations or security.,1,"[(8310, 2, 96)]"
The site collects your contact information for service operations or security. Collection happens in an unspecified way.,1,"[(9672, 23, 103)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens on the website.,1,"[(9621, 8, 103)]"
"The site does not collect your generic personal information for service operations or security. Collection happens by other websites, and your data is identifiable.",1,"[(9635, 17, 103)]"
"The site does not collect your generic personal information for an unspecified purpose. Collection happens by an unnamed service or third party, and your data is identifiable.",1,"[(25077, 13, 127)]"
Another part of the company or institution does receive your unspecified personal information for service operations or security.,1,"[(25054, 2, 127)]"
A named third party does receive your contact information for an additional (non-basic) service or feature.,1,"[(9613, 5, 103)]"
A user's user profile is retained for a duration not covered by our label scheme to fulfill a purpose not covered by our label scheme.,1,"[(9663, 21, 103)]"
"A type of user outside of our label scheme can access, edit, or delete personal information in a manner not covered by our label scheme, within the scope of user information outside of our label scheme.",1,"[(9718, 37, 103)]"
The site collects your survey data for analytics or research. Collection happens on the website. You can opt in for data collection for the collection of your information.,1,"[(25068, 8, 127)]"
An unnamed third party does do something outside of our label scheme with your unspecified personal information for an unspecified purpose. The data is personally identifiable. You can configure your privacy using a method outside our label scheme.,1,"[(9651, 18, 103)]"
Another part of the company or institution does collect on the first party website or app your unspecified personal information for a basic service or feature. You can opt in for data collection for the collection or sharing of your information.,1,"[(25130, 3, 127)]"
"A user's unspecified information is retained for a duration not covered by our label scheme to meet legal or law enforcement requirements, and then it is deleted..",1,"[(8316, 3, 96)]"
"The site does not collect something that uniquely identifies you for an unspecified purpose. Collection happens by an unnamed service or third party, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(8339, 17, 96)]"
"A user can access, edit, or delete personal information in a manner not covered by our label scheme, within the scope of user information outside of our label scheme.",1,"[(9716, 35, 103)]"
"You can opt out (via a link) from the use of cookies and tracking elements by the site, which collects it for an unspecified purpose.",1,"[(9620, 7, 103)]"
The site collects your contact information for analytics or research. Collection happens when you explicitly provide information by some means outside of our label scheme. You can opt in for data collection for the collection of your information.,1,"[(25051, 2, 127)]"
"The site does not collect your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way for users without accounts, and your data is identifiable.",1,"[(25063, 7, 127)]"
"The site collects your unspecified information for analytics or research. Collection happens in an unspecified way, and your data is identifiable.",1,"[(25154, 21, 127)]"
The site does not collect your website activities for an unspecified purpose. Collection happens on the website.,1,"[(9623, 10, 103)]"
The site collects your website activities for a basic service or feature. Collection happens on the website.,1,"[(25088, 20, 127)]"
A named third party does collect on the first party website or app unspecified information about you for an unspecified purpose.,1,"[(9627, 13, 103)]"
"You can make a choice about your privacy not described by our label scheme the use of generic personal information by the site, which collects it for a basic service or feature.",1,"[(25048, 1, 127)]"
The site collects your cookies or tracking elements for service operations or security. Collection happens when you explicitly provide information by a named service or third party.,1,"[(25139, 6, 127)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the collection of your information.,1,"[(8306, 2, 96)]"
An unnamed third party does receive unspecified information about you for an unspecified purpose.,1,"[(8338, 16, 96)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way. You can choose not to use the service or feature for the use of your information.,1,"[(8319, 5, 96)]"
A named third party does receive your financial information for a basic service or feature. You can opt in for data collection for the use of your information.,1,"[(25059, 2, 127)]"
The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the use of your information.,1,"[(8313, 3, 96)]"
The site collects your computer information for a basic service or feature. Collection happens on the website.,1,"[(25085, 20, 127)]"
"You can make no specified choices about the use of cookies and tracking elements by the site, which collects it for an unspecified purpose.",1,"[(25066, 7, 127)]"
"The site does not collect your cookies or tracking elements for analytics or research. Collection happens on other websites for users without accounts, and your data is identifiable.",1,"[(25143, 10, 127)]"
Another part of the company or institution does receive your contact information for a basic service or feature. You can choose not to use the service or feature for the use of your information.,1,"[(8320, 5, 96)]"
Another part of the company or institution does receive unspecified information about you for an unspecified purpose. The data is personally identifiable.,1,"[(8351, 21, 96)]"
The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information by some means outside of our label scheme. You can opt in for data collection for the collection of your information.,1,"[(25049, 2, 127)]"
