"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",14,"[(4568, 0, 96), (7563, 0, 103), (15852, 0, 123), (4569, 1, 96), (4575, 3, 96), (7568, 4, 103), (4577, 5, 96), (4584, 11, 96), (15882, 11, 123), (4587, 13, 96), (4597, 14, 96), (15887, 14, 123), (4603, 17, 96), (15893, 17, 123)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",5,"[(7726, 16, 103), (15892, 16, 123), (4604, 18, 96), (7728, 18, 103), (15894, 18, 123)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",4,"[(15853, 1, 123), (4601, 15, 96), (7727, 15, 103), (15891, 15, 123)]"
"The site collects your cookies or tracking elements for advertising. Collection happens on the website, and your data is aggregated or anonymized.",2,"[(7576, 9, 103), (15879, 9, 123)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,2,"[(4579, 7, 96), (7573, 7, 103)]"
The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(4578, 6, 96), (15873, 6, 123)]"
The site collects your website activities for legal requirements. Collection happens on the website.,2,"[(7565, 1, 103), (15860, 1, 123)]"
The text describes a specific data practice that is not covered by our label scheme.,2,"[(4576, 4, 96), (7569, 5, 103)]"
"The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information on the website, and your data is identifiable.",2,"[(7578, 10, 103), (15881, 10, 123)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,2,"[(15854, 1, 123), (15877, 8, 123)]"
The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information on the website.,2,"[(4585, 12, 96), (15883, 12, 123)]"
The site collects your computer information for an unspecified purpose. Collection happens on the website.,1,"[(7572, 6, 103)]"
An unnamed third party does collect on the first party website or app your activities on the website or app for a purpose outside of our label scheme.,1,"[(15857, 1, 123)]"
The public does receive your unspecified personal information for legal requirements.,1,"[(4573, 1, 96)]"
An unnamed third party does receive unspecified information about you for legal requirements. The identifiability of the data is not covered by our label scheme.,1,"[(4581, 8, 96)]"
The site collects your contact information for a purpose outside of our label scheme. Collection happens on the website.,1,"[(15861, 1, 123)]"
The public does receive your computer information for legal requirements.,1,"[(4571, 1, 96)]"
"The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",1,"[(4593, 13, 96)]"
The text does not fit into our label scheme.,1,"[(15870, 5, 123)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(15872, 6, 123)]"
The site collects your unspecified information for legal requirements. Collection happens in an unspecified way.,1,"[(7575, 8, 103)]"
An unspecified third party does not receive unspecified information about you for an unspecified purpose.,1,"[(4570, 1, 96)]"
"The site does not collect your cookies or tracking elements for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable.",1,"[(15889, 14, 123)]"
The site collects your website activities for a purpose outside of our label scheme. Collection happens on the website.,1,"[(15859, 1, 123)]"
The public does receive your contact information for legal requirements.,1,"[(4572, 1, 96)]"
The site does not collect your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(7577, 10, 103)]"
"A user's generic personal information is retained for a duration not covered by our label scheme to perform a requested service, and then it is deleted..",1,"[(4583, 10, 96)]"
"When a change of a variety outside of our label scheme is made to the privacy policy, users are notified when visiting the website. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(15869, 4, 123)]"
"The site does not collect your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is identifiable.",1,"[(15880, 10, 123)]"
An unnamed third party does not receive your activities on the website or app for an unspecified purpose. The data is aggregated or anonymized.,1,"[(4600, 14, 96)]"
"The site does not collect your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is identifiable.",1,"[(15886, 13, 123)]"
The site collects your computer information for analytics or research. Collection happens when you implicitly provide information in an unspecified way.,1,"[(15876, 7, 123)]"
An unnamed third party does collect on the first party website or app your activities on the website or app for legal requirements.,1,"[(15858, 1, 123)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens on the website.,1,"[(7570, 6, 103)]"
An unnamed third party does collect on the first party website or app your contact information for legal requirements.,1,"[(15856, 1, 123)]"
"The site collects your cookies or tracking elements for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(7722, 13, 103)]"
The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens on the website.,1,"[(7721, 12, 103)]"
"The site collects your contact information for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable.",1,"[(7579, 11, 103)]"
"The site collects your unspecified information for advertising. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme.",1,"[(4582, 9, 96)]"
The site collects your unspecified information for a purpose outside of our label scheme. Collection happens on the website.,1,"[(15863, 1, 123)]"
"The site does not collect your generic personal information for analytics or research. Collection happens when you implicitly provide information on the website, and your data is identifiable.",1,"[(4592, 13, 96)]"
An unnamed third party does receive your cookies or tracking elements for an unspecified purpose. The data is aggregated or anonymized.,1,"[(15888, 14, 123)]"
