The text does not fit into our label scheme.,69,"[(21558, 52, 96), (21559, 53, 96), (21566, 60, 96), (21567, 61, 96), (21576, 70, 96), (21578, 72, 96), (21579, 73, 96), (21585, 79, 96), (21586, 80, 96), (21587, 81, 96), (24827, 1, 129), (24829, 3, 129), (24833, 5, 129), (24848, 17, 129), (25561, 31, 129), (25577, 37, 129), (25581, 41, 129), (25582, 42, 129), (25587, 46, 129), (25588, 47, 129), (25589, 48, 129), (25590, 49, 129), (25591, 50, 129), (25595, 52, 129), (25596, 53, 129), (25603, 60, 129), (25604, 61, 129), (25605, 62, 129), (25608, 65, 129), (25609, 66, 129), (25610, 67, 129), (25611, 68, 129), (25612, 69, 129), (25613, 70, 129), (25614, 71, 129), (25615, 72, 129), (25616, 73, 129), (25617, 74, 129), (25618, 75, 129), (25619, 76, 129), (25620, 77, 129), (25621, 78, 129), (25622, 79, 129), (25623, 80, 129), (24825, 81, 129), (23508, 21, 127), (23613, 25, 127), (23624, 27, 127), (23633, 29, 127), (23644, 31, 127), (23513, 33, 127), (23532, 42, 127), (23677, 47, 127), (23550, 50, 127), (23558, 51, 127), (23562, 52, 127), (23565, 53, 127), (23568, 55, 127), (23571, 57, 127), (23573, 58, 127), (23574, 59, 127), (23575, 60, 127), (23583, 66, 127), (23587, 70, 127), (23588, 71, 127), (23589, 72, 127), (23599, 79, 127), (23601, 80, 127), (23604, 81, 127)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",54,"[(21489, 0, 96), (21490, 1, 96), (21491, 2, 96), (21492, 3, 96), (21494, 5, 96), (21495, 6, 96), (21517, 22, 96), (21526, 27, 96), (21527, 28, 96), (21543, 38, 96), (21544, 39, 96), (21546, 41, 96), (21547, 42, 96), (21552, 46, 96), (21554, 48, 96), (21555, 49, 96), (21556, 50, 96), (21560, 54, 96), (21564, 58, 96), (21565, 59, 96), (21568, 62, 96), (21571, 65, 96), (21572, 66, 96), (21573, 67, 96), (21574, 68, 96), (21575, 69, 96), (21577, 71, 96), (21580, 74, 96), (21581, 75, 96), (21582, 76, 96), (21583, 77, 96), (24826, 0, 129), (24828, 2, 129), (24837, 7, 129), (25524, 21, 129), (25579, 39, 129), (25601, 58, 129), (25602, 59, 129), (23467, 0, 127), (23605, 1, 127), (23468, 2, 127), (23469, 3, 127), (23470, 5, 127), (23471, 6, 127), (23472, 7, 127), (23509, 22, 127), (23510, 23, 127), (23545, 48, 127), (23576, 61, 127), (23577, 62, 127), (23584, 67, 127), (23585, 68, 127), (23586, 69, 127), (23590, 73, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,20,"[(21516, 21, 96), (21562, 56, 96), (25578, 38, 129), (23489, 14, 127), (23497, 17, 127), (23627, 28, 127), (23673, 37, 127), (23530, 42, 127), (23536, 44, 127), (23543, 46, 127), (23676, 47, 127), (23546, 48, 127), (23547, 49, 127), (23551, 50, 127), (23563, 52, 127), (23580, 64, 127), (23582, 65, 127), (23678, 77, 127), (23679, 78, 127), (23600, 79, 127)]"
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way.,7,"[(21499, 10, 96), (21506, 14, 96), (21508, 16, 96), (21511, 18, 96), (24840, 10, 129), (24847, 16, 129), (23668, 34, 127)]"
The site collects your unspecified information for advertising. Collection happens in an unspecified way.,6,"[(21500, 10, 96), (21537, 33, 96), (21538, 34, 96), (24841, 10, 129), (25572, 34, 129), (23511, 33, 127)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,6,"[(21497, 8, 96), (21498, 9, 96), (21502, 12, 96), (21503, 13, 96), (24838, 8, 129), (24839, 9, 129)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,4,"[(21505, 14, 96), (21510, 18, 96), (24849, 18, 129), (23667, 34, 127)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens in an unspecified way.,4,"[(21507, 15, 96), (24843, 12, 129), (24845, 14, 129), (24846, 15, 129)]"
The site collects your generic personal information for service operations or security. Collection happens in an unspecified way.,4,"[(23474, 9, 127), (23488, 14, 127), (23500, 18, 127), (23503, 19, 127)]"
The site collects your website activities for advertising. Collection happens when you implicitly provide information on the website.,4,"[(21534, 32, 96), (23658, 32, 127), (23516, 36, 127), (23578, 63, 127)]"
