"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",18,"[(7594, 0, 96), (8385, 0, 103), (22190, 0, 123), (7595, 1, 96), (8386, 1, 103), (7596, 2, 96), (22192, 2, 123), (7598, 4, 96), (7599, 5, 96), (8408, 5, 103), (22201, 6, 123), (7618, 17, 96), (22226, 17, 123), (22229, 19, 123), (7631, 29, 96), (7632, 30, 96), (8634, 32, 103), (22248, 32, 123)]"
The policy makes a statement about how data from children is treated.,6,"[(7627, 25, 96), (8625, 25, 103), (22238, 25, 123), (7636, 33, 96), (8635, 33, 103), (22249, 33, 123)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",5,"[(8387, 2, 103), (8426, 9, 103), (22233, 21, 123), (8622, 22, 103), (7635, 32, 96)]"
The text describes a specific data practice that is not covered by our label scheme.,5,"[(7603, 8, 96), (7623, 22, 96), (8624, 24, 103), (8628, 27, 103), (8630, 29, 103)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",5,"[(7629, 27, 96), (8627, 27, 103), (22240, 27, 123), (8631, 30, 103), (22244, 30, 123)]"
The text does not fit into our label scheme.,4,"[(22191, 1, 123), (22235, 23, 123), (22241, 27, 123), (22243, 29, 123)]"
Data is accessible to employees/third parties on a need-to-know basis.,4,"[(8419, 8, 103), (22206, 8, 123), (7604, 9, 96), (22205, 9, 123)]"
The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,3,"[(7615, 15, 96), (8475, 15, 103), (22218, 15, 123)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.,3,"[(7616, 15, 96), (8473, 15, 103), (22217, 15, 123)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(7622, 21, 96), (8621, 21, 103), (22232, 21, 123)]"
A specific security measure not covered above.,2,"[(7605, 9, 96), (22234, 22, 123)]"
"When a change of an unspecified nature is made to the privacy policy, users are notified in an unspecified manner. Users have no options regarding the change.",2,"[(8405, 4, 103), (22197, 4, 123)]"
"You can opt out (by contacting the company) from the use of contact information by the site, which uses it for marketing purposes.",2,"[(7634, 31, 96), (8632, 31, 103)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",2,"[(7628, 26, 96), (22239, 26, 123)]"
A named third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,2,"[(8418, 7, 103), (22202, 7, 123)]"
"The site collects your cookies or tracking elements for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized.",2,"[(8501, 20, 103), (22230, 20, 123)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens on the website.,2,"[(8485, 17, 103), (22224, 17, 123)]"
A named third party does receive your financial information for a basic service or feature.,2,"[(8436, 10, 103), (22210, 10, 123)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,2,"[(7617, 16, 96), (8482, 16, 103)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(8477, 15, 103), (22219, 15, 123)]"
You can choose not to use a service or feature to avoid the use of unspecified information by an unspecified party for an unspecified purpose.,1,"[(22198, 4, 123)]"
An unnamed third party does receive unspecified information about you for service operations or security. The data is personally identifiable.,1,"[(22216, 14, 123)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the use of your information.,1,"[(7630, 28, 96)]"
"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(7606, 10, 96)]"
The site collects your cookies or tracking elements for service operations or security. Collection happens on the website.,1,"[(22225, 17, 123)]"
The site collects your cookies or tracking elements for advertising. Collection happens by a named service or third party.,1,"[(22228, 19, 123)]"
"When a minor change is made to the privacy policy that does not significantly affect data practices, users are notified when visiting the website. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(22195, 3, 123)]"
An unspecified third party does receive your contact information for an unspecified purpose.,1,"[(8633, 32, 103)]"
The site collects your unspecified information for personalization or customization. Collection happens on the website.,1,"[(22221, 16, 123)]"
"When a change of an unspecified nature is made to the privacy policy, users are notified when visiting the website. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(8396, 3, 103)]"
An unspecified third party does not do something outside of our label scheme with your unspecified personal information for an unspecified purpose. The data is personally identifiable.,1,"[(7600, 6, 96)]"
"A user type outside of our label scheme can opt in for the use of contact information by the site, which uses it for marketing purposes.",1,"[(8623, 23, 103)]"
"You can opt out (by contacting the company) from the use of contact information by the site, which uses it for advertising.",1,"[(22246, 31, 123)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,1,"[(22242, 28, 123)]"
The site collects your user profile for a purpose outside of our label scheme. Collection happens when you explicitly provide information on the website.,1,"[(8629, 28, 103)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by the site, which collects it for service operations or security.",1,"[(8492, 18, 103)]"
"You can opt in for the use of unspecified information by the site, which collects it for an additional (non-basic) service or feature.",1,"[(7612, 13, 96)]"
"A user's information of a type not covered by our label scheme is retained for an unspecified duration to perform a requested service, and then it is deleted..",1,"[(8462, 13, 103)]"
The site collects your cookies or tracking elements for advertising. Collection happens in an unspecified way.,1,"[(8495, 19, 103)]"
The site collects your website activities for a basic service or feature. Collection happens when you explicitly provide information on the website.,1,"[(22237, 24, 123)]"
"You can opt in for the use of contact information by the site, which uses it for advertising.",1,"[(22245, 31, 123)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website for a user type outside of our label scheme.,1,"[(8437, 11, 103)]"
The site collects your unspecified information for service operations or security. Collection happens on the website.,1,"[(22220, 16, 123)]"
"You can opt out (via a link) from the use of cookies and tracking elements by a third party, which collects or receives it for an unspecified purpose.",1,"[(22231, 20, 123)]"
"A type of user outside of our label scheme can edit their information, within the scope of information explicitly provided by the user.",1,"[(8626, 26, 103)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website.,1,"[(8435, 10, 103)]"
An unspecified third party does receive unspecified information about you for an unspecified purpose. The data is aggregated or anonymized. You can opt out using the provided link.,1,"[(8515, 20, 103)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts.,1,"[(22211, 11, 123)]"
The site collects your unspecified information for a purpose outside of our label scheme. Collection happens on the website.,1,"[(8456, 12, 103)]"
The site collects your unspecified information for an unspecified purpose. Collection happens on the website.,1,"[(8389, 2, 103)]"
"You can opt in for the use of unspecified information by the site, which uses it for marketing purposes.",1,"[(7625, 23, 96)]"
The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.,1,"[(22209, 10, 123)]"
The site collects your unspecified information for a basic service or feature. Collection happens on the website.,1,"[(22199, 5, 123)]"
An unnamed third party does not receive unspecified information about you for a purpose outside of our label scheme.,1,"[(22213, 12, 123)]"
An unspecified third party does receive unspecified information about you for an unspecified purpose. The identifiability of the data is not covered by our label scheme. You can opt out using the provided link for the collection or sharing of your information.,1,"[(7621, 20, 96)]"
Security measures are not mentioned or unclear.,1,"[(22247, 32, 123)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.,1,"[(22208, 10, 123)]"
An unspecified third party does receive your unspecified personal information for legal requirements. The data is personally identifiable.,1,"[(8470, 14, 103)]"
An unspecified third party does receive unspecified information about you for service operations or security.,1,"[(7614, 14, 96)]"
"You can choose not to use a service or feature to avoid the use of unspecified information by the site, which uses it for a basic service or feature.",1,"[(7626, 24, 96)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(8407, 3, 103)]"
"The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(7607, 10, 96)]"
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website for users with accounts, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(7609, 11, 96)]"
"You can opt in for the use of demographic information by the site, which uses it for marketing purposes.",1,"[(7624, 23, 96)]"
An unspecified third party does receive unspecified information about you for legal requirements.,1,"[(7613, 14, 96)]"
Another part of the company or institution does receive unspecified information about you for a purpose outside of our label scheme.,1,"[(22214, 13, 123)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by the site, which uses it for a basic service or feature.",1,"[(22227, 18, 123)]"
"You can opt out (via a link) from the use of unspecified information by a third party, which collects or receives it for an unspecified purpose.",1,"[(8509, 20, 103)]"
An unnamed third party does receive your financial information for a basic service or feature. The data is personally identifiable. You can choose not to use the service or feature for the collection or sharing of your information.,1,"[(7608, 10, 96)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of unspecified information by the site, which uses it for a basic service or feature.",1,"[(7619, 18, 96)]"
"You can choose not to use a service or feature to avoid the use of unspecified information by the site, which collects it for an unspecified purpose.",1,"[(22193, 3, 123)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified when visiting the website. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(7597, 3, 96)]"
"When a minor change is made to the privacy policy that does not significantly affect data practices, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(22196, 3, 123)]"
An unnamed third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,1,"[(7602, 7, 96)]"
"The site does not collect your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information by some means outside of our label scheme, and your data is identifiable.",1,"[(8417, 6, 103)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the collection of your information.,1,"[(7610, 12, 96)]"
"You can opt in for the use of contact information by the site, which uses it for marketing purposes.",1,"[(7633, 31, 96)]"
An unnamed third party does receive unspecified information about you for legal requirements. The data is personally identifiable.,1,"[(22215, 14, 123)]"
An unnamed third party does not receive unspecified information about you for an additional (non-basic) service or feature. You can choose not to use the service or feature for the collection or sharing of your information.,1,"[(7611, 12, 96)]"
The site collects your unspecified information for a purpose outside of our label scheme. Collection happens when you explicitly provide information in an unspecified way.,1,"[(22212, 12, 123)]"
A named third party does track on the first party website or app unspecified information about you for targeted advertising.,1,"[(7620, 19, 96)]"
The site collects your unspecified information for analytics or research. Collection happens on the website.,1,"[(22222, 16, 123)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,1,"[(22200, 6, 123)]"
An unspecified third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,1,"[(7601, 6, 96)]"
"You can choose not to use a service or feature to avoid the use of unspecified information by the site, which uses it for an unspecified purpose.",1,"[(22194, 3, 123)]"
