"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",14,"[(8820, 0, 96), (12475, 0, 103), (8821, 1, 96), (8826, 3, 96), (9580, 12, 96), (12700, 12, 103), (9587, 13, 96), (11420, 18, 96), (11428, 25, 96), (24160, 0, 127), (24161, 1, 127), (24186, 2, 127), (24162, 3, 127), (24256, 16, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",8,"[(12467, 0, 103), (12476, 1, 103), (8825, 2, 96), (12555, 2, 103), (9571, 9, 96), (13181, 16, 103), (24190, 2, 127), (24269, 9, 127)]"
The text does not fit into our label scheme.,7,"[(13184, 18, 103), (24205, 4, 127), (24278, 9, 127), (24251, 16, 127), (24259, 17, 127), (24181, 22, 127), (24185, 25, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",6,"[(13197, 21, 103), (13201, 22, 103), (11427, 24, 96), (13203, 24, 103), (24180, 21, 127), (24184, 24, 127)]"
Privacy practices and security measures of the first party or third party are reviewed/audited by internal or external reviewers/auditors.,5,"[(12677, 7, 103), (9575, 9, 96), (12681, 9, 103), (24272, 9, 127), (24168, 10, 127)]"
The site collects your cookies or tracking elements for service operations or security. Collection happens on the website.,4,"[(12961, 14, 103), (12963, 15, 103), (24174, 14, 127), (24243, 15, 127)]"
The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens on the website.,4,"[(24266, 13, 127), (24175, 14, 127), (24244, 15, 127), (24248, 16, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,4,"[(9576, 10, 96), (12694, 10, 103), (24187, 2, 127), (24177, 18, 127)]"
"The policy makes a statement about how data from European users is treated (e.g., Safe Harbor provisions).",4,"[(11424, 21, 96), (13196, 21, 103), (11425, 22, 96), (13199, 22, 103)]"
A specific security measure not covered above.,3,"[(9573, 9, 96), (24271, 9, 127), (24167, 10, 127)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(9572, 9, 96), (12683, 9, 103), (24274, 9, 127)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by an unspecified party for a basic service or feature.,2,"[(13182, 17, 103), (24261, 17, 127)]"
The site collects your IP address or device IDs for analytics or research. Collection happens on the website.,2,"[(8840, 4, 96), (12567, 4, 103)]"
An unnamed third party does receive your cookies or tracking elements for an unspecified purpose.,2,"[(12975, 16, 103), (24249, 16, 127)]"
The policy makes a statement about how data from children is treated.,2,"[(11423, 20, 96), (24178, 20, 127)]"
The site collects your computer information for legal requirements. Collection happens on the website.,2,"[(8843, 4, 96), (12565, 4, 103)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens on the website.,2,"[(12964, 15, 103), (24245, 15, 127)]"
The site collects your IP address or device IDs for legal requirements. Collection happens on the website.,2,"[(8844, 4, 96), (12570, 4, 103)]"
The site collects your IP address or device IDs for service operations or security. Collection happens on the website.,2,"[(8836, 4, 96), (12569, 4, 103)]"
An unnamed third party does receive unspecified information about you for service operations or security.,2,"[(9548, 6, 96), (12650, 6, 103)]"
An unnamed third party does receive unspecified information about you for a basic service or feature.,2,"[(9547, 6, 96), (9563, 7, 96)]"
The site collects your IP address or device IDs for a basic service or feature. Collection happens on the website.,2,"[(8832, 4, 96), (12566, 4, 103)]"
Data is accessible to employees/third parties on a need-to-know basis.,2,"[(12688, 9, 103), (24275, 9, 127)]"
"Data is stored securely, e.g. in an encrypted format or database.",2,"[(12682, 9, 103), (24273, 9, 127)]"
"User authentication, e.g., login to a user account, is encrypted/secured.",2,"[(12690, 9, 103), (24276, 9, 127)]"
The site collects your cookies or tracking elements for advertising. Collection happens on the website.,2,"[(12966, 15, 103), (24247, 15, 127)]"
