The text describes a specific data practice that is not covered by our label scheme.,14,"[(20512, 6, 129), (20518, 10, 129), (20532, 17, 129), (20534, 18, 129), (20535, 19, 129), (20536, 20, 129), (20391, 6, 131), (20397, 10, 131), (20413, 18, 131), (20261, 2, 127), (20307, 6, 127), (20272, 10, 127), (20288, 17, 127), (20290, 18, 127)]"
The text does not fit into our label scheme.,10,"[(20515, 7, 129), (20495, 23, 129), (20496, 24, 129), (20394, 7, 131), (20411, 17, 131), (20420, 24, 131), (20257, 0, 127), (20274, 11, 127), (20293, 23, 127), (20294, 24, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",9,"[(20537, 20, 129), (20493, 21, 129), (20494, 22, 129), (20416, 20, 131), (20417, 21, 131), (20418, 22, 131), (20321, 20, 127), (20291, 21, 127), (20292, 22, 127)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",8,"[(20489, 0, 129), (20490, 1, 129), (20491, 2, 129), (20376, 0, 131), (20377, 1, 131), (20378, 2, 131), (20258, 1, 127), (20259, 2, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",6,"[(20528, 15, 129), (20529, 16, 129), (20379, 2, 131), (20408, 15, 131), (20283, 15, 127), (20284, 16, 127)]"
The policy makes a statement about how data from children is treated.,3,"[(20504, 5, 129), (20390, 5, 131), (20304, 5, 127)]"
"Data is stored securely, e.g. in an encrypted format or database.",3,"[(20531, 16, 129), (20410, 16, 131), (20286, 16, 127)]"
An unnamed third party does receive your unspecified personal information for mergers or acquisitions.,3,"[(20520, 12, 129), (20399, 12, 131), (20275, 12, 127)]"
An unspecified third party does not receive your contact information for an unspecified purpose.,3,"[(20492, 8, 129), (20395, 8, 131), (20267, 8, 127)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(20530, 16, 129), (20409, 16, 131), (20285, 16, 127)]"
A named third party does receive your unspecified personal information for a basic service or feature.,2,"[(20516, 9, 129), (20268, 9, 127)]"
The site collects your financial information for a basic service or feature. Collection happens in an unspecified way.,2,"[(20388, 5, 131), (20314, 13, 127)]"
"A user can not access, edit or delete their information, within the scope of transactional data (e.g., online activity, purchases).",2,"[(20414, 19, 131), (20415, 20, 131)]"
An unnamed third party does receive your demographic information for targeted advertising. The data is aggregated or anonymized.,2,"[(20527, 14, 129), (20279, 14, 127)]"
A named third party does receive your financial information for a basic service or feature. You can choose not to use the service or feature.,2,"[(20525, 13, 129), (20403, 13, 131)]"
An unnamed third party does receive your financial information for a basic service or feature. You can choose not to use the service or feature.,2,"[(20524, 13, 129), (20404, 13, 131)]"
The site collects your IP address or device IDs for service operations or security. Collection happens when you implicitly provide information on the website.,2,"[(20381, 3, 131), (20265, 3, 127)]"
The site collects your contact information for a basic service or feature. Collection happens in an unspecified way.,2,"[(20387, 5, 131), (20311, 7, 127)]"
The site collects your contact information for marketing purposes. Collection happens in an unspecified way.,2,"[(20510, 5, 129), (20312, 7, 127)]"
A named third party does receive your demographic information for targeted advertising. The data is aggregated or anonymized.,2,"[(20407, 14, 131), (20281, 14, 127)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(20419, 23, 131), (20260, 2, 127)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",2,"[(20533, 18, 129), (20289, 18, 127)]"
The site collects your website activities for personalization or customization. Collection happens by some means outside of our label scheme. You can configure your privacy with browser settings.,1,"[(20385, 4, 131)]"
The site collects your demographic information for personalization or customization. Collection happens in an unspecified way.,1,"[(20278, 14, 127)]"
An unnamed third party does receive unspecified information about you for an unspecified purpose.,1,"[(20323, 20, 127)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users can participate in a process to influence the change.",1,"[(20380, 2, 131)]"
The site collects your unspecified information for a basic service or feature. Collection happens by some means outside of our label scheme.,1,"[(20392, 7, 131)]"
The site collects your location information for service operations or security. Collection happens in an unspecified way.,1,"[(20508, 5, 129)]"
The site collects your demographic information for personalization or customization. Collection happens by some means outside of our label scheme.,1,"[(20526, 14, 129)]"
An unspecified third party does receive unspecified information about you for service operations or security.,1,"[(20277, 12, 127)]"
The site collects your demographic information for service operations or security. Collection happens in an unspecified way.,1,"[(20507, 5, 129)]"
The site collects your website activities for personalization or customization. Collection happens when you implicitly provide information on the website.,1,"[(20502, 3, 129)]"
The site collects your contact information for service operations or security. Collection happens on the website.,1,"[(20300, 5, 127)]"
The site collects your unspecified information for marketing purposes. Collection happens by some means outside of our label scheme.,1,"[(20393, 7, 131)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens when you implicitly provide information on the website. You can configure your privacy with browser settings for the collection of your information.,1,"[(20298, 4, 127)]"
Another part of the company or institution does receive unspecified information about you for a basic service or feature.,1,"[(20396, 9, 131)]"
The site collects your financial information for a basic service or feature. Collection happens on the website.,1,"[(20402, 13, 131)]"
The site collects your generic personal information for marketing purposes. Collection happens by some means outside of our label scheme.,1,"[(20514, 7, 129)]"
The site collects your website activities for service operations or security. Collection happens when you implicitly provide information on the website.,1,"[(20266, 3, 127)]"
The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens when you implicitly provide information on the website. You can configure your privacy with browser settings for the collection of your information.,1,"[(20297, 4, 127)]"
The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on the website.,1,"[(20501, 3, 129)]"
An unspecified third party does receive information about you not covered by our label scheme for service operations or security.,1,"[(20522, 12, 129)]"
The site collects your financial information for marketing purposes. Collection happens in an unspecified way.,1,"[(20511, 5, 129)]"
The site collects your demographic information for a basic service or feature. Collection happens in an unspecified way.,1,"[(20389, 5, 131)]"
An unnamed third party does receive your demographic information for personalization or customization. The data is aggregated or anonymized.,1,"[(20280, 14, 127)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",1,"[(20412, 18, 131)]"
The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way.,1,"[(20313, 7, 127)]"
A named third party does receive your contact information for an additional (non-basic) service or feature. You can choose not to use the service or feature.,1,"[(20519, 11, 129)]"
A named third party does receive your financial information for an unspecified purpose. You can opt in for data collection for the collection or sharing of your information.,1,"[(20317, 13, 127)]"
A third party outside of our label scheme does receive information about you not covered by our label scheme for legal requirements.,1,"[(20521, 12, 129)]"
A named third party does receive your location information for a basic service or feature. You can opt in for data collection.,1,"[(20398, 11, 131)]"
The site collects your contact information for service operations or security. Collection happens in an unspecified way.,1,"[(20505, 5, 129)]"
An unnamed third party does receive your financial information for an unspecified purpose. You can opt in for data collection for the collection or sharing of your information.,1,"[(20319, 13, 127)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information on the website. You can configure your privacy with browser settings for the collection of your information.,1,"[(20295, 4, 127)]"
A named third party does receive unspecified information about you for a basic service or feature.,1,"[(20320, 19, 127)]"
An unspecified third party does receive unspecified information about you for legal requirements.,1,"[(20276, 12, 127)]"
An unnamed third party does receive your financial information for a basic service or feature. You can opt in for data collection for the collection or sharing of your information.,1,"[(20318, 13, 127)]"
A named third party does receive your demographic information for personalization or customization. The data is aggregated or anonymized.,1,"[(20282, 14, 127)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens in an unspecified way. You can configure your privacy with browser settings.,1,"[(20503, 4, 129)]"
The site collects your website activities for a purpose outside of our label scheme. Collection happens by some means outside of our label scheme. You can configure your privacy with browser settings.,1,"[(20386, 4, 131)]"
An unspecified third party does receive your unspecified personal information for legal requirements.,1,"[(20401, 12, 131)]"
The site collects your IP address or device IDs for a purpose outside of our label scheme. Collection happens when you implicitly provide information on the website.,1,"[(20499, 3, 129)]"
A specific security measure not covered above.,1,"[(20270, 9, 127)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(20382, 3, 131)]"
An unnamed third party does do something outside of our label scheme with unspecified information about you for an unspecified purpose.,1,"[(20308, 6, 127)]"
The site collects your generic personal information for service operations or security. Collection happens in an unspecified way.,1,"[(20309, 7, 127)]"
A named third party does do something unspecified with unspecified information about you for a basic service or feature.,1,"[(20517, 10, 129)]"
The site collects your website activities for a purpose outside of our label scheme. Collection happens by some means outside of our label scheme.,1,"[(20384, 4, 131)]"
A named third party does receive unspecified information about you for an unspecified purpose.,1,"[(20322, 20, 127)]"
The site collects your location information for marketing purposes. Collection happens in an unspecified way.,1,"[(20509, 5, 129)]"
A named third party does receive your financial information for a basic service or feature. You can opt in for data collection for the collection or sharing of your information.,1,"[(20316, 13, 127)]"
The site collects your financial information for service operations or security. Collection happens in an unspecified way.,1,"[(20506, 5, 129)]"
The site collects your generic personal information for service operations or security. Collection happens on the website.,1,"[(20299, 5, 127)]"
The site collects your financial information for service operations or security. Collection happens on the website.,1,"[(20301, 5, 127)]"
A named third party does receive your financial information for a purpose outside of our label scheme. You can choose not to use the service or feature.,1,"[(20405, 13, 131)]"
The site collects your demographic information for service operations or security. Collection happens on the website.,1,"[(20302, 5, 127)]"
The site collects your demographic information for personalization or customization. Collection happens on the website.,1,"[(20406, 14, 131)]"
The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information on the website.,1,"[(20498, 3, 129)]"
The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens in an unspecified way.,1,"[(20310, 7, 127)]"
The site collects your website activities for a purpose outside of our label scheme. Collection happens when you implicitly provide information on the website.,1,"[(20500, 3, 129)]"
The site collects your location information for service operations or security. Collection happens on the website.,1,"[(20303, 5, 127)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",1,"[(20287, 17, 127)]"
The site collects your generic personal information for a basic service or feature. Collection happens by some means outside of our label scheme.,1,"[(20513, 7, 129)]"
The site collects your financial information for an additional (non-basic) service or feature. Collection happens in an unspecified way.,1,"[(20315, 13, 127)]"
An unnamed third party does receive your unspecified personal information for a purpose outside of our label scheme.,1,"[(20400, 12, 131)]"
The site collects your IP address or device IDs for personalization or customization. Collection happens when you implicitly provide information on the website.,1,"[(20497, 3, 129)]"
A named third party does receive your contact information for an additional (non-basic) service or feature. You can opt in for data collection for the collection or sharing of your information.,1,"[(20273, 11, 127)]"
A named third party does do something unspecified with your financial information for a basic service or feature.,1,"[(20271, 10, 127)]"
The site collects your financial information for a purpose outside of our label scheme. Collection happens by some means outside of our label scheme.,1,"[(20523, 13, 129)]"
