A specific security measure not covered above.,3,"[(11152, 8, 116), (12315, 8, 117), (9208, 8, 118)]"
A user's unspecified information is retained for a duration not covered by our label scheme to fulfill an unspecified purpose.,3,"[(9218, 2, 118), (9205, 4, 118), (9191, 7, 118)]"
A named third party does receive unspecified information about you for an unspecified purpose.,3,"[(11145, 4, 116), (11151, 7, 116), (9214, 2, 118)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",3,"[(11166, 13, 116), (12325, 13, 117), (9201, 13, 118)]"
A named third party does receive your contact information for an unspecified purpose. The data is personally identifiable.,2,"[(9212, 2, 118), (9187, 6, 118)]"
An unnamed third party does receive unspecified information about you for an additional (non-basic) service or feature.,2,"[(12300, 2, 117), (12305, 4, 117)]"
An unnamed third party does receive your financial information for an additional (non-basic) service or feature.,2,"[(12306, 5, 117), (12314, 7, 117)]"
Privacy practices and security measures of the first party or third party are reviewed/audited by internal or external reviewers/auditors.,2,"[(11154, 8, 116), (9209, 8, 118)]"
The site collects your IP address or device IDs for service operations or security. Collection happens on the website.,2,"[(11163, 11, 116), (12323, 11, 117)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",2,"[(11129, 0, 116), (11153, 8, 116)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",2,"[(11131, 0, 116), (9202, 12, 118)]"
The text describes a specific data practice that is not covered by our label scheme.,2,"[(11140, 2, 116), (11146, 4, 116)]"
Data is accessible to employees/third parties on a need-to-know basis.,2,"[(11155, 8, 116), (9210, 8, 118)]"
An unnamed third party does not receive unspecified information about you for an unspecified purpose. You can opt in for data collection.,2,"[(9170, 1, 118), (9171, 1, 118)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens on the website.,2,"[(11161, 10, 116), (12321, 10, 117)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",2,"[(11156, 8, 116), (9211, 8, 118)]"
An unspecified third party does not do something unspecified with information about you not covered by our label scheme for an unspecified purpose.,1,"[(11144, 4, 116)]"
A third party outside of our label scheme does do something outside of our label scheme with unspecified information about you for a purpose outside of our label scheme.,1,"[(11141, 2, 116)]"
An unnamed third party does receive unspecified information about you for an unspecified purpose.,1,"[(9215, 2, 118)]"
A named third party does receive your contact information for a purpose outside of our label scheme.,1,"[(11136, 2, 116)]"
An unnamed third party does receive your contact information for legal requirements. The data is personally identifiable.,1,"[(9194, 9, 118)]"
The site collects your cookies or tracking elements for a basic service or feature. Collection happens in an unspecified way.,1,"[(9195, 10, 118)]"
The site collects your contact information for a purpose outside of our label scheme. Collection happens when you explicitly provide information on the website.,1,"[(11132, 1, 116)]"
An unnamed third party does receive your contact information for an additional (non-basic) service or feature. You can opt out by contacting the company.,1,"[(12308, 6, 117)]"
"When a change of an unspecified nature is made to the privacy policy, users are notified in an unspecified manner. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(12324, 12, 117)]"
An unspecified third party does not receive unspecified information about you for an unspecified purpose.,1,"[(11157, 9, 116)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens in an unspecified way.,1,"[(9197, 10, 118)]"
A named third party does receive information about you not covered by our label scheme for a purpose outside of our label scheme.,1,"[(11138, 2, 116)]"
The site collects your unspecified information for marketing purposes. Collection happens on the website. You can opt out using the provided link for the use of your information.,1,"[(12303, 3, 117)]"
The site collects your cookies or tracking elements for marketing purposes. Collection happens on the website.,1,"[(12322, 10, 117)]"
"You can make no specified choices about the use of unspecified information by the site, which uses it for a purpose outside of our label scheme.",1,"[(11142, 2, 116)]"
An unspecified third party does receive unspecified information about you for an unspecified purpose. You can opt in for data collection.,1,"[(11158, 9, 116)]"
The site collects your unspecified information for a purpose outside of our label scheme. Collection happens when you explicitly provide information on the website.,1,"[(11133, 1, 116)]"
An unnamed third party does not receive unspecified information about you for an unspecified purpose.,1,"[(11134, 1, 116)]"
