"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",4,"[(5566, 0, 84), (6508, 0, 88), (7240, 0, 82), (6524, 8, 88)]"
The policy makes a statement about how data from children is treated.,3,"[(5603, 15, 84), (6534, 15, 88), (7243, 15, 82)]"
An unspecified third party does receive unspecified information about you for an unspecified purpose. The data is aggregated or anonymized.,2,"[(5602, 14, 84), (7277, 14, 82)]"
"You can make no specified choices about the use of unspecified information by the site, which uses it for an unspecified purpose.",2,"[(5588, 6, 84), (7259, 6, 82)]"
"The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",2,"[(5596, 12, 84), (6531, 12, 88)]"
An unspecified third party does receive your unspecified personal information for a purpose outside of our label scheme.,2,"[(5593, 10, 84), (7269, 10, 82)]"
"The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",2,"[(5598, 12, 84), (6529, 12, 88)]"
The site collects your demographic information for analytics or research. Collection happens in an unspecified way.,2,"[(7255, 5, 82), (7257, 6, 82)]"
"The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",2,"[(5599, 12, 84), (6530, 12, 88)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website. You can configure your privacy with browser settings.,2,"[(6512, 2, 88), (6514, 4, 88)]"
An unspecified third party does receive your unspecified personal information for legal requirements.,2,"[(5591, 9, 84), (7267, 9, 82)]"
An unspecified third party does receive your unspecified personal information for service operations or security.,2,"[(5592, 9, 84), (7268, 9, 82)]"
An unnamed third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,2,"[(6526, 9, 88), (6527, 10, 88)]"
An unnamed third party does receive unspecified information about you for mergers or acquisitions.,2,"[(5594, 11, 84), (6528, 11, 88)]"
"The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized.",2,"[(5601, 14, 84), (7279, 14, 82)]"
