The policy makes a statement about how data from children is treated.,15,"[(1664, 27, 84), (1799, 27, 82), (2546, 27, 88), (1665, 28, 84), (1800, 28, 82), (2549, 28, 88), (1666, 29, 84), (1801, 29, 82), (2550, 29, 88), (1667, 30, 84), (1802, 30, 82), (2553, 30, 88), (1671, 31, 84), (1803, 31, 82), (2554, 31, 88)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",13,"[(1862, 19, 82), (2694, 19, 88), (1856, 20, 82), (2707, 20, 88), (1851, 22, 82), (2564, 22, 88), (2542, 24, 88), (1663, 26, 84), (1797, 26, 82), (2545, 26, 88), (1672, 32, 84), (1804, 32, 82), (2558, 32, 88)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",8,"[(1527, 0, 84), (1873, 0, 82), (2525, 0, 88), (1570, 6, 84), (1925, 10, 82), (1589, 12, 84), (1866, 18, 82), (1825, 27, 82)]"
"When a change of an unspecified nature is made to the privacy policy, users are notified when visiting the website. Users' choices regarding policy changes are not mentioned or are unclear.",5,"[(1875, 1, 82), (2527, 1, 88), (1673, 32, 84), (1805, 32, 82), (2562, 32, 88)]"
"The site collects your financial information for a basic service or feature. Collection happens on the website, and your data is identifiable.",4,"[(1535, 2, 84), (1881, 2, 82), (2531, 2, 88), (2582, 4, 88)]"
The text describes a specific data practice that is not covered by our label scheme.,4,"[(2523, 0, 88), (1929, 12, 82), (1656, 21, 84), (1855, 21, 82)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",3,"[(1659, 23, 84), (2563, 23, 88), (1813, 29, 82)]"
The website ignores Do Not Track headers and the user's Do Not Track preference.,3,"[(1661, 25, 84), (1845, 25, 82), (2543, 25, 88)]"
"The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable.",3,"[(2002, 14, 82), (1628, 15, 84), (1932, 17, 82)]"
"You can opt out (by contacting the company) from the use of unspecified information by the site, which uses it for marketing purposes.",3,"[(1652, 19, 84), (1655, 20, 84), (2714, 20, 88)]"
"The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way, and your data is identifiable.",3,"[(1592, 13, 84), (1971, 13, 82), (2000, 14, 82)]"
Another part of the company or institution does receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,2,"[(1596, 13, 84), (1981, 13, 82)]"
"The site collects your generic personal information for a basic service or feature. Collection happens on the website, and your data is identifiable.",2,"[(2580, 4, 88), (2611, 14, 88)]"
An unnamed third party does receive your computer information for a basic service or feature. The data is personally identifiable.,2,"[(2031, 16, 82), (2621, 16, 88)]"
"A user with an account can use privacy configuration settings (in the website or app) to control the use of unspecified information by the site, which uses it for marketing purposes.",2,"[(1653, 19, 84), (1654, 20, 84)]"
"The site collects your generic personal information for advertising. Collection happens in an unspecified way, and your data is identifiable.",2,"[(1627, 15, 84), (2019, 15, 82)]"
"A user with an account can opt in for the use of unspecified information by a third party, which uses it for advertising.",2,"[(1540, 3, 84), (1886, 3, 82)]"
"The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way, and your data is identifiable.",2,"[(1626, 15, 84), (2018, 15, 82)]"
"The site collects your computer information for a basic service or feature. Collection happens in an unspecified way, and your data is identifiable.",2,"[(1972, 13, 82), (2003, 14, 82)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(2590, 9, 88), (1588, 11, 84)]"
"The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens in an unspecified way, and your data is identifiable.",2,"[(1893, 4, 82), (1894, 5, 82)]"
"The site collects your contact information for a basic service or feature. Collection happens on the website, and your data is identifiable.",2,"[(1878, 2, 82), (2581, 4, 88)]"
An unnamed third party does receive unspecified information about you for mergers or acquisitions.,2,"[(2539, 8, 88), (2673, 17, 88)]"
"The site collects your computer information for analytics or research. Collection happens in an unspecified way, and your data is identifiable.",2,"[(1993, 13, 82), (2023, 15, 82)]"
"The site collects your contact information for an unspecified purpose. Collection happens on the website, and your data is identifiable.",2,"[(1531, 2, 84), (2530, 2, 88)]"
An unnamed third party does receive your unspecified personal information for targeted advertising. The data is personally identifiable.,2,"[(1984, 13, 82), (2619, 15, 88)]"
A named third party does receive your activities on the website or app for targeted advertising.,2,"[(1639, 16, 84), (2034, 16, 82)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",2,"[(1660, 24, 84), (2541, 24, 88)]"
"The site collects your generic personal information for analytics or research. Collection happens in an unspecified way, and your data is identifiable.",2,"[(1991, 13, 82), (2020, 15, 82)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",2,"[(1888, 3, 82), (1854, 22, 82)]"
"The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information on the website, and your data is identifiable.",2,"[(1582, 10, 84), (2594, 10, 88)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature. The data is personally identifiable.,2,"[(2028, 16, 82), (2620, 16, 88)]"
"The site collects your demographic information for an unspecified purpose. Collection happens on the website, and your data is identifiable.",2,"[(1534, 2, 84), (2533, 2, 88)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on other websites.,1,"[(2593, 9, 88)]"
"The site collects your generic personal information for analytics or research. Collection happens on the website, and your data is identifiable. You can choose not to use the service or feature.",1,"[(2605, 13, 88)]"
A named third party does receive your unspecified personal information for a basic service or feature. The data is personally identifiable.,1,"[(1636, 16, 84)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(2589, 9, 88)]"
A named third party does receive unspecified information about you for an unspecified purpose. The data is aggregated or anonymized.,1,"[(1602, 13, 84)]"
"The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature.",1,"[(2691, 18, 88)]"
"The site collects your location information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way, and your data's identifiability is not covered by our label scheme.",1,"[(1919, 9, 82)]"
"The site collects your demographic information for an unspecified purpose. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection.",1,"[(2584, 6, 88)]"
A named third party does receive your activities on the website or app for targeted advertising. You can configure your privacy with third-party user settings.,1,"[(1641, 16, 84)]"
"A type of user outside of our label scheme can delete their account (although the company or organization may continue to keep some data), within the scope of unspecified user information.",1,"[(1670, 30, 84)]"
"The site collects your location information for an unspecified purpose. Collection happens on the website, and your data is identifiable.",1,"[(1532, 2, 84)]"
A named third party does receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,1,"[(1943, 17, 82)]"
The site collects your IP address or device IDs for advertising. Collection happens in an unspecified way.,1,"[(1631, 15, 84)]"
The site collects your unspecified information for an unspecified purpose. Collection happens by other parts of the company or affiliates.,1,"[(2678, 17, 88)]"
"A user with an account can opt in for the use of unspecified information by a third party, which uses it for marketing purposes.",1,"[(1541, 3, 84)]"
"A type of user outside of our label scheme can edit their information, within the scope of unspecified user information.",1,"[(1669, 30, 84)]"
The site collects your IP address or device IDs for analytics or research. Collection happens on the website.,1,"[(1928, 11, 82)]"
An unspecified third party does receive unspecified information about you for mergers or acquisitions.,1,"[(1576, 8, 84)]"
"The site collects your survey data for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(1900, 6, 82)]"
An unnamed third party does receive your unspecified personal information for legal requirements.,1,"[(1908, 8, 82)]"
The public does see your unspecified personal information for an additional (non-basic) service or feature. This applies to users with accounts.,1,"[(1897, 6, 82)]"
An unspecified third party does receive unspecified information about you for service operations or security.,1,"[(1575, 8, 84)]"
"The site collects your website activities for an additional (non-basic) service or feature. Collection happens in an unspecified way, and your data is identifiable.",1,"[(1905, 6, 82)]"
Another part of the company or institution does receive unspecified information about you for mergers or acquisitions.,1,"[(1643, 17, 84)]"
An unnamed third party does receive unspecified information about you for an unspecified purpose. The data is aggregated or anonymized. You can choose not to use the service or feature.,1,"[(2604, 13, 88)]"
"The site collects your user profile for an additional (non-basic) service or feature. Collection happens in an unspecified way for a user type outside of our label scheme, and your data is aggregated or anonymized.",1,"[(1836, 28, 82)]"
The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information by a named service or third party. You can configure your privacy with third-party user settings.,1,"[(2595, 10, 88)]"
An unnamed third party does receive your computer information for service operations or security. The data is personally identifiable.,1,"[(2033, 16, 82)]"
"You can use privacy configuration settings (in the website or app) to control the use of unspecified information by the site, which uses it for marketing purposes.",1,"[(2711, 20, 88)]"
Another part of the company or institution does receive unspecified information about you for an unspecified purpose.,1,"[(1642, 17, 84)]"
"The site collects your generic personal information for marketing purposes. Collection happens when you implicitly provide information on the website, and your data is identifiable.",1,"[(1612, 14, 84)]"
"A user can access, edit, or delete personal information in a manner not covered by our label scheme, within the scope of unspecified user information.",1,"[(1811, 30, 82)]"
An unnamed third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,1,"[(2029, 16, 82)]"
The site collects your financial information for advertising. Collection happens when you implicitly provide information on the website.,1,"[(1546, 4, 84)]"
The site collects your financial information for a basic service or feature. Collection happens on the website.,1,"[(1890, 4, 82)]"
"The site collects your IP address or device IDs for marketing purposes. Collection happens when you implicitly provide information on the website, and your data is identifiable.",1,"[(1615, 14, 84)]"
"The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens when you implicitly provide information on the website, and your data is identifiable.",1,"[(1583, 10, 84)]"
You can opt out (by contacting the company) from the use of generic personal information by an unspecified party for marketing purposes.,1,"[(1859, 20, 82)]"
