"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",4,"[(14226, 0, 131), (16022, 0, 132), (14042, 0, 127), (14045, 1, 127)]"
The text does not fit into our label scheme.,3,"[(14233, 2, 131), (14237, 3, 131), (14047, 2, 127)]"
The site does not collect your cookies or tracking elements for a basic service or feature. Collection happens when you explicitly provide information by some means outside of our label scheme.,1,"[(14231, 1, 131)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(14228, 1, 131)]"
An unnamed third party does not receive your cookies or tracking elements for an unspecified purpose.,1,"[(16034, 1, 132)]"
The site collects your contact information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the use of your information.,1,"[(14043, 1, 127)]"
A named third party does not do something unspecified with your contact information for targeted advertising. You can make a choice about the use of your information.,1,"[(14049, 3, 127)]"
A named third party does track on the first party website or app your unspecified personal information for targeted advertising.,1,"[(16036, 3, 132)]"
The site does not collect your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,1,"[(14044, 1, 127)]"
A named third party does do something unspecified with unspecified information about you for targeted advertising.,1,"[(14234, 3, 131)]"
A named third party does not do something unspecified with your activities on the website or app for targeted advertising.,1,"[(14236, 3, 131)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way.,1,"[(14229, 1, 131)]"
An unnamed third party does do something outside of our label scheme with unspecified information about you for targeted advertising.,1,"[(14046, 2, 127)]"
A named third party does not collect on the first party website or app your contact information for targeted advertising.,1,"[(14235, 3, 131)]"
The site does not collect your generic personal information for a basic service or feature. Collection happens on the website.,1,"[(16029, 1, 132)]"
A named third party does track on the first party website or app unspecified information about you for targeted advertising.,1,"[(16035, 2, 132)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens on the website.,1,"[(16033, 1, 132)]"
A named third party does see unspecified information about you for targeted advertising.,1,"[(14232, 2, 131)]"
The site does not collect your unspecified information for a basic service or feature. Collection happens in an unspecified way.,1,"[(14227, 1, 131)]"
An unnamed third party does do something unspecified with unspecified information about you for targeted advertising.,1,"[(14050, 3, 127)]"
An unnamed third party does not receive your contact information for an unspecified purpose. You can opt in for data collection.,1,"[(14230, 1, 131)]"
A named third party does not track on the first party website or app your contact information for targeted advertising.,1,"[(16037, 3, 132)]"
