"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",15,"[(15647, 0, 129), (16248, 5, 129), (16270, 16, 129), (16285, 21, 129), (14462, 0, 131), (15136, 3, 131), (15148, 5, 131), (15177, 16, 131), (15192, 18, 131), (15193, 19, 131), (15208, 21, 131), (16117, 0, 132), (16129, 5, 132), (16152, 21, 132), (16170, 38, 132)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",13,"[(16288, 23, 129), (16299, 26, 129), (16301, 27, 129), (16320, 36, 129), (16321, 37, 129), (15211, 23, 131), (15217, 26, 131), (15219, 27, 131), (15234, 36, 131), (15235, 37, 131), (16158, 27, 132), (16168, 36, 132), (16169, 37, 132)]"
The text does not fit into our label scheme.,9,"[(16265, 13, 129), (16322, 38, 129), (15145, 4, 131), (15170, 13, 131), (15207, 20, 131), (15220, 28, 131), (15227, 29, 131), (16159, 28, 132), (16163, 31, 132)]"
The text describes a specific data practice that is not covered by our label scheme.,6,"[(16263, 11, 129), (16302, 28, 129), (16315, 31, 129), (15164, 11, 131), (15200, 20, 131), (15229, 31, 131)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",4,"[(16309, 29, 129), (14461, 0, 131), (15222, 29, 131), (16161, 29, 132)]"
A named third party does receive your unspecified personal information for a basic service or feature.,3,"[(16253, 7, 129), (16258, 10, 129), (15152, 8, 131)]"
An unnamed third party does collect on the first party website or app your cookies or tracking elements for targeted advertising.,3,"[(15184, 17, 131), (15203, 20, 131), (16151, 20, 132)]"
An unnamed third party does receive your financial information for an additional (non-basic) service or feature.,3,"[(15163, 11, 131), (16134, 9, 132), (16136, 11, 132)]"
Another part of the company or institution does receive your unspecified personal information for an unspecified purpose.,3,"[(16251, 6, 129), (15149, 6, 131), (16130, 6, 132)]"
The policy makes a statement about how data from children is treated.,3,"[(16314, 30, 129), (15228, 30, 131), (16162, 30, 132)]"
"A type of user outside of our label scheme can edit their information, within the scope of information explicitly provided by the user.",3,"[(16287, 23, 129), (15210, 23, 131), (16154, 23, 132)]"
A named third party does receive your financial information for an additional (non-basic) service or feature.,3,"[(15153, 9, 131), (15159, 10, 131), (16135, 10, 132)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",3,"[(16316, 32, 129), (15230, 32, 131), (16164, 32, 132)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",3,"[(16317, 33, 129), (15231, 33, 131), (16165, 33, 132)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(16303, 29, 129), (15221, 29, 131), (16160, 29, 132)]"
A named third party does receive your financial information for a basic service or feature.,2,"[(16259, 10, 129), (16262, 11, 129)]"
A named third party does receive information about you not covered by our label scheme for a basic service or feature.,2,"[(16256, 9, 129), (15156, 10, 131)]"
The site collects your financial information for a basic service or feature. Collection happens in an unspecified way.,2,"[(16235, 2, 129), (15129, 2, 131)]"
A named third party does receive your unspecified personal information for an additional (non-basic) service or feature.,2,"[(15158, 10, 131), (16133, 8, 132)]"
A named third party does receive unspecified information about you for a basic service or feature.,2,"[(16261, 11, 129), (15154, 9, 131)]"
An unnamed third party does receive your unspecified personal information for marketing purposes.,2,"[(15160, 10, 131), (16131, 7, 132)]"
The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way.,2,"[(16241, 4, 129), (15125, 1, 131)]"
The company/organization trains its employees/third parties in applicable privacy and security practices to protect user data.,2,"[(16311, 29, 129), (15224, 29, 131)]"
An unnamed third party does receive your financial information for marketing purposes.,2,"[(16260, 10, 129), (15161, 10, 131)]"
"You can opt out (by contacting the company) from the use of generic personal information by a third party, which collects or receives it for an unspecified purpose.",2,"[(16293, 26, 129), (15215, 26, 131)]"
Data is accessible to employees/third parties on a need-to-know basis.,2,"[(16312, 29, 129), (15225, 29, 131)]"
"Data is stored securely, e.g. in an encrypted format or database.",2,"[(16313, 29, 129), (15226, 29, 131)]"
