The text describes a specific data practice that is not covered by our label scheme.,15,"[(9338, 2, 103), (9339, 3, 103), (9342, 5, 103), (8251, 17, 96), (8260, 20, 96), (9565, 40, 103), (24854, 3, 127), (24891, 9, 127), (24968, 18, 127), (24984, 19, 127), (25035, 32, 127), (25007, 34, 127), (24925, 40, 127), (25046, 42, 127), (24935, 46, 127)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",15,"[(8191, 0, 96), (8192, 1, 96), (8197, 2, 96), (8198, 3, 96), (8200, 5, 96), (9370, 21, 103), (24851, 0, 127), (24852, 1, 127), (24853, 2, 127), (24856, 4, 127), (24857, 5, 127), (24887, 8, 127), (24899, 13, 127), (24988, 23, 127), (24914, 31, 127)]"
The text does not fit into our label scheme.,7,"[(8252, 18, 96), (8259, 19, 96), (8295, 40, 96), (24902, 14, 127), (25019, 36, 127), (24921, 38, 127), (25042, 42, 127)]"
The website ignores Do Not Track headers and the user's Do Not Track preference.,6,"[(8242, 14, 96), (9360, 14, 103), (8243, 15, 96), (9361, 15, 103), (24901, 14, 127), (24903, 15, 127)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",6,"[(8288, 36, 96), (9554, 36, 103), (8302, 45, 96), (9583, 45, 103), (25018, 36, 127), (24932, 45, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",5,"[(25014, 35, 127), (25021, 36, 127), (24923, 38, 127), (25025, 39, 127), (24930, 44, 127)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",4,"[(8287, 36, 96), (9553, 36, 103), (25017, 36, 127), (24929, 44, 127)]"
"You can opt out (by contacting the company) from the use of unspecified information by the site, which uses it for marketing purposes.",4,"[(8289, 37, 96), (9557, 37, 103), (8292, 38, 96), (9559, 38, 103)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",3,"[(8299, 43, 96), (9581, 43, 103), (24927, 43, 127)]"
Another part of the company or institution does receive unspecified information about you for an unspecified purpose.,3,"[(8264, 24, 96), (8265, 25, 96), (24992, 25, 127)]"
The policy makes a statement about how data from children is treated.,3,"[(8301, 44, 96), (9582, 44, 103), (24928, 44, 127)]"
"The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information in an unspecified way, and your data is identifiable.",2,"[(24877, 7, 127), (24880, 7, 127)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,2,"[(24863, 6, 127), (24958, 16, 127)]"
"The site collects your generic personal information for analytics or research. Collection happens when you implicitly provide information on other websites, and your data is identifiable.",2,"[(8230, 10, 96), (24944, 10, 127)]"
"You can make no specified choices about the use of contact information by the site, which uses it for marketing purposes.",2,"[(24918, 37, 127), (24919, 38, 127)]"
The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on the website.,2,"[(8232, 11, 96), (24941, 10, 127)]"
"You can opt out (by contacting the company) from the use of contact information by the site, which uses it for marketing purposes.",2,"[(8294, 39, 96), (24922, 38, 127)]"
"The site collects your cookies or tracking elements for service operations or security. Collection happens when you implicitly provide information in an unspecified way, and your data is identifiable.",2,"[(24878, 7, 127), (24881, 7, 127)]"
An unspecified third party does receive unspecified information about you for legal requirements.,2,"[(9374, 29, 103), (25000, 29, 127)]"
An unnamed third party does receive your contact information for marketing purposes. You can opt in for data collection for the use of your information.,2,"[(24855, 4, 127), (24995, 26, 127)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,2,"[(24869, 6, 127), (24982, 19, 127)]"
An unnamed third party does receive unspecified information about you for marketing purposes. You can opt in for data collection for the use of your information.,2,"[(8263, 23, 96), (8285, 35, 96)]"
The site collects your unspecified information for an unspecified purpose. Collection happens by an unnamed service or third party.,2,"[(8241, 13, 96), (24896, 13, 127)]"
The site collects your demographic information for an unspecified purpose. Collection happens by an unnamed service or third party.,2,"[(8240, 13, 96), (9359, 13, 103)]"
Data is accessible to employees/third parties on a need-to-know basis.,2,"[(8300, 43, 96), (24911, 22, 127)]"
"The site collects your cookies or tracking elements for personalization or customization. Collection happens when you implicitly provide information in an unspecified way, and your data is identifiable.",2,"[(24879, 7, 127), (24882, 7, 127)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",2,"[(8253, 18, 96), (24969, 18, 127)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information by some means outside of our label scheme for users without accounts. You can opt in for data collection for the collection of your information.,1,"[(24966, 18, 127)]"
A named third party does receive your contact information for marketing purposes. You can opt out by contacting the company for the collection or sharing of your information.,1,"[(9564, 39, 103)]"
The site collects your cookies or tracking elements for a basic service or feature. Collection happens by some means outside of our label scheme.,1,"[(9353, 10, 103)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way. You can choose not to use the service or feature for the use of your information.,1,"[(8244, 16, 96)]"
"You can opt in for the use of user profile by the site, which uses it for an unspecified purpose.",1,"[(25043, 42, 127)]"
An unnamed third party does receive your user profile for an additional (non-basic) service or feature. This applies to users with accounts. You can opt in for data collection for the use of your information.,1,"[(25034, 32, 127)]"
"The site collects your generic personal information for service operations or security. Collection happens when you implicitly provide information on the website, and your data is identifiable.",1,"[(8237, 11, 96)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified when visiting the website. Users have no options regarding the change.",1,"[(8303, 46, 96)]"
"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(8202, 6, 96)]"
The site collects your contact information for marketing purposes. Collection happens in an unspecified way. You can choose not to use the service or feature for the use of your information.,1,"[(8248, 16, 96)]"
"The site collects your cookies or tracking elements for a purpose outside of our label scheme. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(9349, 7, 103)]"
"When a minor change is made to the privacy policy that does not significantly affect data practices, users are notified in an unspecified manner. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(24934, 46, 127)]"
An unnamed third party does receive your contact information for an unspecified purpose. The data is aggregated or anonymized.,1,"[(24908, 20, 127)]"
"Users with accounts can delete their account (although the company or organization may continue to keep some data), within the scope of information the company has learned about the user.",1,"[(24931, 44, 127)]"
The site collects your computer information for service operations or security. Collection happens in an unspecified way.,1,"[(9356, 11, 103)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way for users with accounts. You can opt in for data collection for the collection of your information.,1,"[(24865, 6, 127)]"
An unnamed third party does receive your contact information for marketing purposes. This applies to users with accounts. You can opt out by contacting the company for the collection or sharing of your information.,1,"[(25023, 39, 127)]"
"The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information by some means outside of our label scheme, and your data is identifiable.",1,"[(8216, 7, 96)]"
The site collects your user profile for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,1,"[(24983, 19, 127)]"
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way.,1,"[(24964, 17, 127)]"
A named third party does collect on the first party website or app your unspecified personal information for marketing purposes. The data is personally identifiable. You can opt in for data collection for the collection or sharing of your information.,1,"[(25027, 32, 127)]"
"You can opt out (by contacting the company) from the use of contact information by a third party, which collects or receives it for marketing purposes.",1,"[(9561, 39, 103)]"
An unnamed third party does track on the first party website or app unspecified information about you for analytics or research. The data is personally identifiable.,1,"[(8220, 7, 96)]"
"The site collects your generic personal information for marketing purposes. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(8275, 32, 96)]"
"The site collects your demographic information for analytics or research. Collection happens when you implicitly provide information on other websites, and your data is identifiable.",1,"[(24950, 11, 127)]"
"The site collects your website activities for service operations or security. Collection happens when you implicitly provide information on the website, and your data is identifiable.",1,"[(24945, 11, 127)]"
An unnamed third party does track on the first party website or app unspecified information about you for an unspecified purpose.,1,"[(8226, 8, 96)]"
"You can use privacy configuration settings (in the website or app) to control the use of unspecified information by the site, which uses it for marketing purposes.",1,"[(8291, 38, 96)]"
"You can choose not to use a service or feature to avoid the use of unspecified information by a third party, which collects or receives it for an unspecified purpose.",1,"[(24990, 23, 127)]"
The site collects your location information for an unspecified purpose. Collection happens when you explicitly provide information in the mobile app. You can choose not to use the service or feature for the collection and use of your information.,1,"[(24893, 12, 127)]"
An unnamed third party does receive your unspecified personal information for marketing purposes. The data is personally identifiable. You can configure your privacy with third-party user settings for the use of your information.,1,"[(8283, 34, 96)]"
A named third party does receive your unspecified personal information for marketing purposes. The identifiability of the data is not covered by our label scheme. You can opt out using the provided link.,1,"[(9379, 34, 103)]"
The site collects your demographic information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,1,"[(9345, 6, 103)]"
