"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",15,"[(10124, 0, 121), (10123, 1, 121), (10127, 2, 121), (10194, 55, 121), (10787, 0, 116), (10789, 1, 116), (10802, 2, 116), (10822, 5, 116), (10862, 14, 116), (11084, 51, 116), (12135, 0, 117), (12143, 2, 117), (12208, 21, 117), (12289, 51, 117), (12293, 55, 117)]"
The text describes a specific data practice that is not covered by our label scheme.,11,"[(10219, 48, 121), (10200, 50, 121), (10197, 53, 121), (10833, 8, 116), (10839, 9, 116), (10928, 20, 116), (10972, 24, 116), (11006, 31, 116), (11014, 32, 116), (11021, 33, 116), (11093, 53, 116)]"
The text does not fit into our label scheme.,10,"[(10210, 42, 121), (10198, 52, 121), (10799, 2, 116), (10868, 16, 116), (10988, 28, 116), (11052, 42, 116), (11080, 50, 116), (12275, 42, 117), (12288, 50, 117), (12291, 53, 117)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",6,"[(10136, 6, 121), (10201, 36, 121), (10826, 6, 116), (11028, 36, 116), (12161, 6, 117), (12266, 36, 117)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",5,"[(10788, 1, 116), (10794, 2, 116), (11026, 36, 116), (11088, 52, 116), (12290, 52, 117)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",5,"[(10212, 43, 121), (10215, 44, 121), (11064, 44, 116), (11065, 44, 116), (12278, 44, 117)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",4,"[(10126, 1, 121), (10196, 54, 121), (12142, 1, 117), (12292, 54, 117)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",4,"[(10155, 16, 121), (11043, 41, 116), (11061, 43, 116), (11066, 44, 116)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens on the website.,4,"[(10820, 5, 116), (10852, 12, 116), (12154, 5, 117), (12174, 12, 117)]"
"The policy makes a statement about how data from European users is treated (e.g., Safe Harbor provisions).",3,"[(10800, 2, 116), (11073, 48, 116), (11087, 51, 116)]"
The site collects your generic personal information for advertising. Collection happens in an unspecified way.,3,"[(10157, 17, 121), (10874, 17, 116), (12191, 17, 117)]"
The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way.,3,"[(10156, 17, 121), (10873, 17, 116), (12190, 17, 117)]"
The policy makes a statement about how data from children is treated.,3,"[(10218, 47, 121), (10798, 2, 116), (11072, 47, 116)]"
An unnamed third party does receive your contact information for marketing purposes.,3,"[(11041, 40, 116), (11042, 40, 116), (12271, 40, 117)]"
"A user can edit their information, within the scope of unspecified user information.",3,"[(10797, 2, 116), (11059, 43, 116), (12277, 43, 117)]"
A named third party does receive your contact information for a purpose outside of our label scheme.,2,"[(10182, 30, 121), (10966, 23, 116)]"
A named third party does collect on the first party website or app your cookies or tracking elements for an unspecified purpose.,2,"[(10836, 9, 116), (12167, 9, 117)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way.,2,"[(10815, 4, 116), (12149, 4, 117)]"
A named third party does receive your unspecified personal information for a basic service or feature.,2,"[(10987, 27, 116), (12230, 27, 117)]"
The site collects your IP address or device IDs for analytics or research. Collection happens on the website.,2,"[(10819, 5, 116), (12152, 5, 117)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website.,2,"[(12146, 3, 117), (12172, 11, 117)]"
An unnamed third party does receive your unspecified personal information for legal requirements.,2,"[(10993, 29, 116), (12236, 29, 117)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.,2,"[(10131, 4, 121), (10805, 3, 116)]"
Another part of the company or institution does receive unspecified information about you for a basic service or feature.,2,"[(11023, 34, 116), (12263, 34, 117)]"
The site collects your financial information for a basic service or feature. Collection happens on the website.,2,"[(10823, 6, 116), (12160, 6, 117)]"
The site collects your contact information for a basic service or feature. Collection happens on the website.,2,"[(10824, 6, 116), (12159, 6, 117)]"
The site collects your generic personal information for analytics or research. Collection happens in an unspecified way.,2,"[(10872, 17, 116), (10881, 18, 116)]"
"A user can delete their account (although the company or organization may continue to keep some data), within the scope of information explicitly provided by the user.",2,"[(11034, 38, 116), (11049, 41, 116)]"
The site collects your contact information for an unspecified purpose. Collection happens in the mobile app.,2,"[(10831, 8, 116), (12165, 8, 117)]"
The site collects your unspecified information for advertising. Collection happens in an unspecified way.,2,"[(10804, 3, 116), (10876, 17, 116)]"
An unspecified third party does receive your unspecified personal information for an unspecified purpose.,2,"[(10793, 2, 116), (11005, 31, 116)]"
The site collects your IP address or device IDs for service operations or security. Collection happens on the website.,2,"[(10818, 5, 116), (12151, 5, 117)]"
An unnamed third party does receive unspecified information about you for personalization or customization.,2,"[(11011, 32, 116), (12249, 32, 117)]"
Data is accessible to employees/third parties on a need-to-know basis.,2,"[(11029, 37, 116), (11090, 52, 116)]"
"Data is stored securely, e.g. in an encrypted format or database.",2,"[(10202, 36, 121), (11027, 36, 116)]"
"User authentication, e.g., login to a user account, is encrypted/secured.",2,"[(10203, 37, 121), (12267, 37, 117)]"
A named third party does collect on the first party website or app your IP address or device IDs for an unspecified purpose.,2,"[(10834, 9, 116), (12166, 9, 117)]"
A named third party does do something unspecified with your activities on the website or app for targeted advertising. You can opt out using the provided link.,2,"[(10187, 33, 121), (10188, 33, 121)]"
An unnamed third party does receive your unspecified personal information for marketing purposes. You can opt out using the provided link.,2,"[(10171, 25, 121), (12217, 25, 117)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",2,"[(10199, 51, 121), (11086, 51, 116)]"
A named third party does track on the first party website or app your cookies or tracking elements for targeted advertising.,2,"[(10861, 14, 116), (12178, 14, 117)]"
An unnamed third party does receive your activities on the website or app for analytics or research. The data is aggregated or anonymized.,2,"[(10864, 15, 116), (12182, 15, 117)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(11096, 54, 116), (11097, 55, 116)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature. You can configure your privacy using a method outside our label scheme.,2,"[(10169, 24, 121), (10971, 24, 116)]"
A named third party does receive your contact information for a basic service or feature.,2,"[(10165, 23, 121), (10984, 27, 116)]"
Another part of the company or institution does receive your unspecified personal information for marketing purposes.,2,"[(10190, 34, 121), (10206, 39, 121)]"
An unspecified third party does receive unspecified information about you for a purpose outside of our label scheme. The data is personally identifiable.,1,"[(10952, 21, 116)]"
The public does see your unspecified personal information for an additional (non-basic) service or feature.,1,"[(11078, 49, 116)]"
The site collects your generic personal information for advertising. Collection happens when you explicitly provide information by some means outside of our label scheme.,1,"[(10130, 3, 121)]"
A named third party does do something unspecified with your contact information for marketing purposes.,1,"[(11040, 39, 116)]"
The site collects your unspecified information for an unspecified purpose. Collection happens by some means outside of our label scheme.,1,"[(10830, 8, 116)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens on the website.,1,"[(10846, 11, 116)]"
"When a change of an unspecified nature is made to the privacy policy, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(11095, 54, 116)]"
The site collects your generic personal information for advertising. Collection happens by some means outside of our label scheme.,1,"[(10207, 39, 121)]"
An unspecified third party does receive your unspecified personal information for a basic service or feature.,1,"[(10980, 27, 116)]"
"You can opt in for the use of contact information by the site, which collects it for an additional (non-basic) service or feature.",1,"[(10147, 10, 121)]"
A user's information of a type not covered by our label scheme is retained for an unspecified duration to perform analytics or research.,1,"[(10137, 7, 121)]"
The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens on the website. You can choose not to use the service or feature.,1,"[(12199, 19, 117)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of unspecified information by the site, which collects it for an unspecified purpose.",1,"[(10860, 13, 116)]"
"A user's unspecified information is retained for a limited (but unspecified) period of time to meet legal or law enforcement requirements, and then it is deleted..",1,"[(11030, 38, 116)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,1,"[(10803, 3, 116)]"
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way.,1,"[(12270, 39, 117)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way.,1,"[(10810, 3, 116)]"
An unnamed third party does not receive your contact information for an unspecified purpose.,1,"[(10867, 15, 116)]"
The site collects an information type outside of our label scheme for personalization or customization. Collection happens when you explicitly provide information on the website.,1,"[(10827, 7, 116)]"
"You can make a choice about your privacy not described by our label scheme the use of contact information by a third party, which uses it for marketing purposes.",1,"[(11045, 41, 116)]"
The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information by some means outside of our label scheme.,1,"[(11037, 39, 116)]"
A specific security measure not covered above.,1,"[(11089, 52, 116)]"
A named third party does receive your activities on the website or app for a purpose outside of our label scheme.,1,"[(10843, 10, 116)]"
You can opt out (via a link) from the use of contact information by an unspecified party for a basic service or feature.,1,"[(12281, 46, 117)]"
"When a change is made to the privacy policy as a result of a merger or acquisition, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(10192, 35, 121)]"
A named third party does not receive your contact information for targeted advertising.,1,"[(10917, 20, 116)]"
An unnamed third party does receive your unspecified personal information for mergers or acquisitions.,1,"[(10191, 35, 121)]"
The site collects an information type outside of our label scheme for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature.,1,"[(10912, 19, 116)]"
The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information in an unspecified way.,1,"[(10132, 4, 121)]"
A named third party does collect on the first party website or app your contact information for an additional (non-basic) service or feature. You can opt in for data collection.,1,"[(12171, 10, 117)]"
An unnamed third party does receive unspecified information about you for analytics or research.,1,"[(11012, 32, 116)]"
The site collects your website activities for a basic service or feature. Collection happens when you implicitly provide information on the website.,1,"[(10142, 9, 121)]"
"A user's generic personal information is retained for an unspecified duration to meet legal or law enforcement requirements, and then it is deleted..",1,"[(12268, 38, 117)]"
An unnamed third party does receive unspecified information about you for marketing purposes. You can configure your privacy using a method outside our label scheme.,1,"[(10977, 25, 116)]"
The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.,1,"[(10806, 3, 116)]"
A user's contact information is retained for an unspecified duration to fulfill a purpose not covered by our label scheme.,1,"[(10817, 4, 116)]"
The site collects your unspecified information for marketing purposes. Collection happens by some means outside of our label scheme.,1,"[(10795, 2, 116)]"
The site collects your demographic information for marketing purposes. Collection happens when you explicitly provide information in an unspecified way.,1,"[(12195, 18, 117)]"
The site does not collect your generic personal information for advertising. Collection happens by other websites.,1,"[(11018, 33, 116)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(10792, 2, 116)]"
The site does not collect your generic personal information for an unspecified purpose. Collection happens by some means outside of our label scheme. You can configure your privacy with browser settings.,1,"[(12177, 13, 117)]"
A named third party does do something unspecified with your unspecified personal information for a basic service or feature.,1,"[(10176, 27, 121)]"
A named third party does collect on the first party website or app unspecified information about you for an unspecified purpose.,1,"[(10838, 9, 116)]"
An unnamed third party does receive your unspecified personal information for targeted advertising.,1,"[(10186, 32, 121)]"
The site collects your contact information for a basic service or feature. Collection happens by some means outside of our label scheme.,1,"[(10825, 6, 116)]"
The site collects your contact information for a basic service or feature. Collection happens on the website. You can opt out using the provided link.,1,"[(12280, 45, 117)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified in a manner outside of our label scheme. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(10125, 1, 121)]"
The site collects your unspecified information for a basic service or feature. Collection happens by a named service or third party.,1,"[(10840, 10, 116)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature.,1,"[(10184, 32, 121)]"
The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way. You can configure your privacy using a method outside our label scheme for the collection of your information.,1,"[(10161, 19, 121)]"
The site collects your contact information for a purpose outside of our label scheme. Collection happens in an unspecified way.,1,"[(10816, 4, 116)]"
A named third party does do something unspecified with your activities on the website or app for targeted advertising.,1,"[(12261, 33, 117)]"
The site collects your generic personal information for analytics or research. Collection happens when you explicitly provide information by some means outside of our label scheme.,1,"[(10129, 3, 121)]"
The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.,1,"[(10135, 6, 121)]"
The site does not collect your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way. You can choose not to use the service or feature for the collection of your information.,1,"[(10911, 19, 116)]"
A named third party does receive unspecified information about you for targeted advertising. The data is aggregated or anonymized.,1,"[(10915, 20, 116)]"
The site collects your contact information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(10150, 11, 121)]"
An unnamed third party does receive your unspecified personal information for an additional (non-basic) service or feature.,1,"[(12213, 24, 117)]"
A named third party does receive your activities on the website or app for a basic service or feature.,1,"[(10982, 27, 116)]"
"When a change of an unspecified nature is made to the privacy policy, users are notified in an unspecified manner. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(10801, 2, 116)]"
"The site collects your demographic information for analytics or research. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(10856, 12, 116)]"
The site collects your demographic information for analytics or research. Collection happens when you explicitly provide information in an unspecified way.,1,"[(12196, 18, 117)]"
The site collects an information type outside of our label scheme for analytics or research. Collection happens when you explicitly provide information by some means outside of our label scheme.,1,"[(10879, 18, 116)]"
The site collects your website activities for advertising. Collection happens by other websites.,1,"[(11019, 33, 116)]"
"You can opt out (via a link) from the use of contact information by a third party, which uses it for advertising.",1,"[(10209, 41, 121)]"
An unnamed third party does collect on the first party website or app your IP address or device IDs for a basic service or feature.,1,"[(10141, 9, 121)]"
"A user's generic personal information is retained for a limited (but unspecified) period of time to meet legal or law enforcement requirements, and then it is deleted..",1,"[(10205, 38, 121)]"
A named third party does receive information about you not covered by our label scheme for a purpose outside of our label scheme.,1,"[(11003, 30, 116)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in the mobile app.,1,"[(10829, 8, 116)]"
"You can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.",1,"[(12273, 41, 117)]"
An unnamed third party does receive unspecified information about you for legal requirements. The data is aggregated or anonymized.,1,"[(10936, 20, 116)]"
"A user can access, edit, or delete personal information in a manner not covered by our label scheme, within the scope of information explicitly provided by the user.",1,"[(10214, 44, 121)]"
A named third party does receive unspecified information about you for service operations or security. The data is aggregated or anonymized.,1,"[(10933, 20, 116)]"
A named third party does receive your unspecified personal information for an additional (non-basic) service or feature. You can choose not to use the service or feature for the collection or sharing of your information.,1,"[(11007, 31, 116)]"
"You can opt out (via a link) from the use of contact information by the site, which uses it for an unspecified purpose.",1,"[(11070, 46, 116)]"
Other users does see unspecified information about you for an additional (non-basic) service or feature.,1,"[(12285, 49, 117)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens in an unspecified way.,1,"[(10149, 12, 121)]"
An unnamed third party does collect on the first party website or app your cookies or tracking elements for a basic service or feature.,1,"[(10145, 9, 121)]"
The site collects your unspecified information for marketing purposes. Collection happens on the website. You can make a choice about the collection of your information.,1,"[(10884, 18, 116)]"
An unnamed third party does receive your contact information for marketing purposes. You can opt out using the provided link.,1,"[(12221, 26, 117)]"
You can choose not to use a service or feature to avoid the use of generic personal information by an unspecified party for a purpose outside of our label scheme.,1,"[(11085, 51, 116)]"
A third party outside of our label scheme does receive your contact information for an additional (non-basic) service or feature.,1,"[(10990, 28, 116)]"
An unnamed third party does receive unspecified information about you for targeted advertising. The data is aggregated or anonymized.,1,"[(12205, 20, 117)]"
The site collects your IP address or device IDs for a basic service or feature. Collection happens when you implicitly provide information on the website.,1,"[(10140, 9, 121)]"
An unnamed third party does receive your unspecified personal information for marketing purposes.,1,"[(10976, 25, 116)]"
A named third party does receive your demographic information for targeted advertising.,1,"[(10921, 20, 116)]"
An unspecified third party does see your contact information for an additional (non-basic) service or feature.,1,"[(10991, 28, 116)]"
The site collects your generic personal information for personalization or customization. Collection happens when you explicitly provide information in an unspecified way.,1,"[(10807, 3, 116)]"
A third party outside of our label scheme does receive unspecified information about you for a purpose outside of our label scheme.,1,"[(11079, 49, 116)]"
A named third party does receive your contact information for personalization or customization.,1,"[(12240, 30, 117)]"
"You can opt in for the use of information of a type not covered by our label scheme by the site, which collects it for an additional (non-basic) service or feature.",1,"[(10146, 10, 121)]"
A named third party does do something outside of our label scheme with unspecified information about you for an unspecified purpose.,1,"[(10837, 9, 116)]"
"The site collects your unspecified information for analytics or research. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(10855, 12, 116)]"
A named third party does receive your unspecified personal information for targeted advertising. The data is personally identifiable. You can choose not to use the service or feature.,1,"[(10969, 23, 116)]"
A named third party does receive information about you not covered by our label scheme for targeted advertising. The data is aggregated or anonymized.,1,"[(10162, 20, 121)]"
