"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",12,"[(2623, 0, 84), (3549, 0, 82), (4054, 0, 88), (2624, 1, 84), (3550, 1, 82), (3994, 1, 88), (2626, 2, 84), (3552, 2, 82), (2689, 19, 84), (3544, 19, 82), (4049, 19, 88), (2732, 31, 84)]"
The text describes a specific data practice that is not covered by our label scheme.,9,"[(4036, 16, 88), (4045, 18, 88), (2696, 22, 84), (3540, 22, 82), (4060, 26, 88), (2726, 27, 84), (4055, 27, 88), (3520, 31, 82), (4000, 31, 88)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",5,"[(3553, 3, 82), (3997, 3, 88), (2733, 32, 84), (3521, 32, 82), (4001, 32, 88)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information on the website.,4,"[(4014, 6, 88), (2647, 8, 84), (4018, 8, 88), (2699, 23, 84)]"
An unnamed third party does receive your activities on the website or app for targeted advertising. The data is aggregated or anonymized.,3,"[(2674, 17, 84), (4039, 17, 88), (4064, 24, 88)]"
"You can opt out (by contacting the company) from the use of unspecified information by a third party, which collects or receives it for an unspecified purpose.",3,"[(2669, 15, 84), (3603, 15, 82), (4035, 15, 88)]"
The policy makes a statement about how data from children is treated.,3,"[(2727, 28, 84), (3524, 28, 82), (3998, 28, 88)]"
The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information on the website.,3,"[(2646, 8, 84), (4017, 8, 88), (2698, 23, 84)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",3,"[(2729, 29, 84), (3523, 29, 82), (4053, 29, 88)]"
The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information in an unspecified way.,2,"[(2637, 6, 84), (3538, 23, 82)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of unspecified information by the site, which collects it for an unspecified purpose.",2,"[(3601, 13, 82), (4031, 13, 88)]"
A named third party does receive your financial information for a basic service or feature.,2,"[(2668, 14, 84), (3607, 14, 82)]"
A named third party does receive your unspecified personal information for a basic service or feature.,2,"[(2667, 14, 84), (3606, 14, 82)]"
The site collects your unspecified information for advertising. Collection happens when you implicitly provide information on the website.,2,"[(2651, 9, 84), (4021, 9, 88)]"
Another part of the company or institution does receive unspecified information about you for an unspecified purpose.,2,"[(2665, 14, 84), (4037, 16, 88)]"
"You can choose not to use a service or feature to avoid the use of unspecified information by the site, which collects it for an unspecified purpose.",2,"[(2660, 12, 84), (3600, 12, 82)]"
Data is accessible to employees/third parties on a need-to-know basis.,2,"[(2730, 30, 84), (3522, 30, 82)]"
The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information on the website.,2,"[(2652, 9, 84), (4022, 9, 88)]"
A named third party does receive your cookies or tracking elements for targeted advertising. The data is aggregated or anonymized.,2,"[(3611, 17, 82), (3536, 24, 82)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",2,"[(2731, 30, 84), (3999, 30, 88)]"
The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way.,2,"[(3585, 9, 82), (3596, 11, 82)]"
A named third party does receive your activities on the website or app for targeted advertising. The data is aggregated or anonymized.,2,"[(3614, 17, 82), (3534, 24, 82)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you implicitly provide information on the website.,2,"[(2648, 9, 84), (4019, 9, 88)]"
The site collects your location information for advertising. Collection happens when you implicitly provide information on the website.,2,"[(4027, 10, 88), (4048, 18, 88)]"
An unnamed third party does receive unspecified information about you for service operations or security.,2,"[(4034, 14, 88), (2693, 20, 84)]"
"You can use third party privacy settings to control the use of unspecified information by a third party, which collects or receives it for an unspecified purpose.",2,"[(4032, 13, 88), (4058, 26, 88)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",2,"[(2627, 3, 84), (3554, 3, 82)]"
An unnamed third party does receive unspecified information about you for legal requirements.,2,"[(2692, 20, 84), (4050, 20, 88)]"
The site collects your social media data for analytics or research. Collection happens when you implicitly provide information in an unspecified way.,2,"[(2642, 6, 84), (3576, 6, 82)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information in an unspecified way.,2,"[(3572, 6, 82), (3539, 23, 82)]"
The site collects your unspecified information for personalization or customization. Collection happens when you implicitly provide information on the website.,2,"[(2650, 9, 84), (4020, 9, 88)]"
The site collects your location information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,2,"[(2630, 4, 84), (4004, 5, 88)]"
A named third party does receive your computer information for targeted advertising. The data is aggregated or anonymized.,1,"[(3613, 17, 82)]"
"The company/organization has a privacy or security program/organization in place addressing, for example, how to protect data against unauthorized access or privacy training for employees.",1,"[(4052, 22, 88)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users can participate in a process to influence the change.",1,"[(3996, 2, 88)]"
An unnamed third party does collect on the first party website or app your unspecified personal information for an unspecified purpose.,1,"[(3581, 7, 82)]"
The site collects your generic personal information for advertising. Collection happens by some means outside of our label scheme.,1,"[(3594, 10, 82)]"
The site collects your IP address or device IDs for advertising. Collection happens when you implicitly provide information in an unspecified way.,1,"[(2638, 6, 84)]"
An unnamed third party does do something outside of our label scheme with your cookies or tracking elements for targeted advertising.,1,"[(4066, 24, 88)]"
A named third party does receive your activities on the website or app for analytics or research. The data is aggregated or anonymized.,1,"[(3535, 24, 82)]"
"You can opt out (via a link) from the use of cookies and tracking elements by a third party, which collects or receives it for advertising.",1,"[(3602, 13, 82)]"
"You can use third party privacy settings to control the use of cookies and tracking elements by a third party, which uses it for advertising.",1,"[(2725, 26, 84)]"
The site collects your cookies or tracking elements for service operations or security. Collection happens when you implicitly provide information on the website.,1,"[(4008, 6, 88)]"
An unnamed third party does collect on the first party website or app your activities on the website or app for an unspecified purpose.,1,"[(4057, 27, 88)]"
A user's unspecified information is retained for an unspecified duration to fulfill an unspecified purpose.,1,"[(3558, 4, 82)]"
The site collects your location information for advertising. Collection happens when you explicitly provide information on the website.,1,"[(4025, 10, 88)]"
The site collects your IP address or device IDs for advertising. Collection happens in an unspecified way.,1,"[(3545, 18, 82)]"
The site collects your location information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,1,"[(3566, 5, 82)]"
The site collects your financial information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,1,"[(2632, 4, 84)]"
An unnamed third party does track on the first party website or app your activities on the website or app for targeted advertising. The data is aggregated or anonymized.,1,"[(2679, 17, 84)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information by an unnamed service or third party.,1,"[(2700, 23, 84)]"
An unspecified third party does receive unspecified information about you for mergers or acquisitions.,1,"[(2695, 21, 84)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website.,1,"[(3556, 4, 82)]"
An unnamed third party does track on the first party website or app your cookies or tracking elements for targeted advertising. The data is aggregated or anonymized.,1,"[(2675, 17, 84)]"
An unspecified third party does receive your unspecified personal information for service operations or security.,1,"[(3543, 20, 82)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by the site, which collects it for an unspecified purpose.",1,"[(2661, 13, 84)]"
The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information in an unspecified way.,1,"[(3573, 6, 82)]"
The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.,1,"[(3595, 11, 82)]"
The site collects your generic personal information for an unspecified purpose. Collection happens by a named service or third party.,1,"[(3578, 7, 82)]"
The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information on the website.,1,"[(3557, 4, 82)]"
Another part of the company or institution does receive unspecified information about you for a basic service or feature.,1,"[(2663, 14, 84)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(2643, 7, 84)]"
"When a change of an unspecified nature is made to the privacy policy, users are notified when visiting the website. Users have no options regarding the change.",1,"[(2625, 2, 84)]"
The site collects your unspecified information for marketing purposes. Collection happens when you implicitly provide information on the website.,1,"[(2649, 9, 84)]"
You can opt out (via a link) from the use of cookies and tracking elements by an unspecified party for an unspecified purpose.,1,"[(3529, 26, 82)]"
The site collects your generic personal information for marketing purposes. Collection happens when you explicitly provide information in an unspecified way.,1,"[(3597, 11, 82)]"
The site collects your location information for advertising. Collection happens by an unnamed service or third party.,1,"[(2656, 10, 84)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,1,"[(2634, 5, 84)]"
The site collects your website activities for service operations or security. Collection happens when you implicitly provide information on the website.,1,"[(4011, 6, 88)]"
An unnamed third party does collect on the first party website or app your computer information for targeted advertising.,1,"[(4041, 17, 88)]"
"You can opt out (via a link) from the use of unspecified information by a third party, which uses it for advertising.",1,"[(3531, 26, 82)]"
"The site collects your IP address or device IDs for advertising. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(3532, 25, 82)]"
You can choose not to use a service or feature to avoid the use of unspecified information by an unspecified party for an unspecified purpose.,1,"[(4030, 12, 88)]"
A named third party does receive your location information for targeted advertising.,1,"[(2687, 18, 84)]"
An unnamed third party does track on the first party website or app your location information for targeted advertising. The data is aggregated or anonymized.,1,"[(2680, 17, 84)]"
A named third party does do something unspecified with your unspecified personal information for an unspecified purpose.,1,"[(3609, 16, 82)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(2697, 23, 84)]"
The site collects your location information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(3564, 5, 82)]"
Another part of the company or institution does collect on the first party website or app unspecified information about you for an unspecified purpose.,1,"[(4038, 16, 88)]"
An unnamed third party does receive your unspecified personal information for an unspecified purpose.,1,"[(2671, 16, 84)]"
The site collects your computer information for service operations or security. Collection happens when you implicitly provide information on the website.,1,"[(4010, 6, 88)]"
An unnamed third party does receive your cookies or tracking elements for an unspecified purpose.,1,"[(2708, 24, 84)]"
"You can opt out (via a link) from the use of unspecified information by a third party, which collects or receives it for advertising.",1,"[(3530, 26, 82)]"
The site collects your location information for an unspecified purpose. Collection happens on the website.,1,"[(2653, 10, 84)]"
An unnamed third party does collect on the first party website or app your location information for targeted advertising.,1,"[(4043, 17, 88)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,1,"[(2628, 4, 84)]"
The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way.,1,"[(3587, 9, 82)]"
The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way.,1,"[(3598, 11, 82)]"
"You can use third party privacy settings to control the use of cookies and tracking elements by a third party, which collects or receives it for advertising.",1,"[(2724, 26, 84)]"
The site collects your computer information for analytics or research. Collection happens when you implicitly provide information in an unspecified way.,1,"[(3574, 6, 82)]"
The site collects your unspecified information for marketing purposes. Collection happens on the website.,1,"[(2659, 11, 84)]"
An unspecified third party does not collect on the first party website or app your contact information for targeted advertising. The data is aggregated or anonymized. You can opt in for data collection.,1,"[(2719, 25, 84)]"
An unspecified third party does not collect on the first party website or app your location information for targeted advertising. The data is aggregated or anonymized. You can opt in for data collection.,1,"[(2720, 25, 84)]"
"The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",1,"[(4063, 25, 88)]"
The site collects your location information for advertising. Collection happens on the website.,1,"[(2654, 10, 84)]"
The site collects your unspecified information for a basic service or feature. Collection happens on the website.,1,"[(2658, 11, 84)]"
An unnamed third party does not collect on the first party website or app your unspecified personal information for targeted advertising. The data is personally identifiable.,1,"[(4061, 25, 88)]"
The site collects your computer information for advertising. Collection happens in an unspecified way.,1,"[(3547, 18, 82)]"
The site collects your location information for personalization or customization. Collection happens when you implicitly provide information on the website.,1,"[(4026, 10, 88)]"
A named third party does receive your location information for targeted advertising. The data is aggregated or anonymized.,1,"[(3615, 17, 82)]"
The site collects your website activities for an unspecified purpose. Collection happens when you explicitly provide information on the website.,1,"[(2631, 4, 84)]"
The site collects your location information for a basic service or feature. Collection happens when you implicitly provide information in the mobile app. You can opt in for data collection.,1,"[(2635, 5, 84)]"
An unspecified third party does collect on the first party website or app your user profile for targeted advertising. The data is aggregated or anonymized.,1,"[(2723, 25, 84)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(4005, 5, 88)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens when you implicitly provide information in an unspecified way.,1,"[(2636, 6, 84)]"
The site collects your website activities for advertising. Collection happens when you implicitly provide information in an unspecified way.,1,"[(2640, 6, 84)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens on the website.,1,"[(3584, 8, 82)]"
"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1,"[(4002, 4, 88)]"
A named third party does not receive your contact information for targeted advertising. You can opt in for data collection.,1,"[(2683, 18, 84)]"
The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information by an unnamed service or third party.,1,"[(4067, 24, 88)]"
The site collects your location information for advertising. Collection happens in an unspecified way.,1,"[(3546, 18, 82)]"
An unspecified third party does receive your unspecified personal information for legal requirements.,1,"[(3542, 20, 82)]"
"The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1,"[(4003, 4, 88)]"
"You can use third party privacy settings to control the use of unspecified information by a third party, which collects or receives it for advertising.",1,"[(4059, 26, 88)]"
The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(3577, 7, 82)]"
A named third party does receive your unspecified personal information for service operations or security.,1,"[(3605, 14, 82)]"
An unnamed third party does receive your cookies or tracking elements for analytics or research.,1,"[(2706, 24, 84)]"
A named third party does receive your computer information for targeted advertising.,1,"[(2688, 18, 84)]"
The site collects your unspecified information for an unspecified purpose. Collection happens by an unnamed service or third party.,1,"[(2644, 7, 84)]"
The site collects your generic personal information for an unspecified purpose. Collection happens by an unnamed service or third party.,1,"[(3579, 7, 82)]"
"When a change of an unspecified nature is made to the privacy policy, users are notified when visiting the website. Users can participate in a process to influence the change.",1,"[(3995, 2, 88)]"
The site collects your location information for personalization or customization. Collection happens by an unnamed service or third party.,1,"[(2655, 10, 84)]"
An unnamed third party does track on the first party website or app your IP address or device IDs for targeted advertising. The data is aggregated or anonymized.,1,"[(2676, 17, 84)]"
An unnamed third party does collect on the first party website or app your IP address or device IDs for targeted advertising.,1,"[(4040, 17, 88)]"
"The site collects your cookies or tracking elements for advertising. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(3533, 25, 82)]"
An unnamed third party does collect on the first party website or app your user profile for an additional (non-basic) service or feature.,1,"[(3528, 27, 82)]"
An unnamed third party does see your user profile for an additional (non-basic) service or feature.,1,"[(3527, 27, 82)]"
An unnamed third party does receive unspecified information about you for a basic service or feature.,1,"[(2664, 14, 84)]"
The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,1,"[(3599, 12, 82)]"
An unnamed third party does see your activities on the website or app for an unspecified purpose.,1,"[(4056, 27, 88)]"
The site collects your unspecified information for an unspecified purpose. Collection happens on the website.,1,"[(2657, 11, 84)]"
"The site collects your IP address or device IDs for advertising. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",1,"[(4062, 25, 88)]"
The site collects your location information for advertising. Collection happens when you explicitly provide information in an unspecified way.,1,"[(3591, 10, 82)]"
The site collects your unspecified information for advertising. Collection happens by an unnamed service or third party.,1,"[(2701, 24, 84)]"
The site collects your social media data for service operations or security. Collection happens when you implicitly provide information on the website.,1,"[(4012, 6, 88)]"
The site collects your location information for a basic service or feature. Collection happens when you implicitly provide information in an unspecified way.,1,"[(3590, 10, 82)]"
The site collects your unspecified information for a purpose outside of our label scheme. Collection happens when you implicitly provide information on the website.,1,"[(4029, 11, 88)]"
"You can use third party privacy settings to control the use of cookies and tracking elements by the site, which collects it for an unspecified purpose.",1,"[(2662, 13, 84)]"
The site collects your location information for a basic service or feature. Collection happens in the mobile app.,1,"[(3567, 5, 82)]"
The site collects your cookies or tracking elements for advertising. Collection happens on the website.,1,"[(3582, 8, 82)]"
A named third party does receive your cookies or tracking elements for analytics or research. The data is aggregated or anonymized.,1,"[(3537, 24, 82)]"
An unspecified third party does collect on the first party website or app your computer information for targeted advertising. The data is aggregated or anonymized.,1,"[(2721, 25, 84)]"
A named third party does receive your IP address or device IDs for targeted advertising.,1,"[(2686, 18, 84)]"
The site collects your website activities for service operations or security. Collection happens when you implicitly provide information in the mobile app.,1,"[(4013, 6, 88)]"
An unnamed third party does receive unspecified information about you for mergers or acquisitions.,1,"[(4051, 21, 88)]"
Another part of the company or institution does receive unspecified information about you for service operations or security.,1,"[(4033, 14, 88)]"
An unnamed third party does receive your cookies or tracking elements for targeted advertising.,1,"[(2705, 24, 84)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens on the website.,1,"[(3583, 8, 82)]"
An unnamed third party does receive your activities on the website or app for targeted advertising.,1,"[(2702, 24, 84)]"
A named third party does collect on the first party website or app your unspecified personal information for an unspecified purpose.,1,"[(3580, 7, 82)]"
A named third party does not receive your location information for targeted advertising. You can opt in for data collection.,1,"[(2684, 18, 84)]"
Another part of the company or institution does receive your unspecified personal information for service operations or security.,1,"[(3604, 14, 82)]"
The site collects your location information for an unspecified purpose. Collection happens when you explicitly provide information in the mobile app.,1,"[(4007, 5, 88)]"
The site collects your generic personal information for personalization or customization. Collection happens by some means outside of our label scheme.,1,"[(3593, 10, 82)]"
