"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",11,"[(15596, 1, 131), (15597, 2, 131), (15640, 9, 131), (17860, 0, 132), (17861, 1, 132), (17862, 2, 132), (17863, 3, 132), (17902, 24, 132), (14703, 1, 127), (14704, 2, 127), (14705, 3, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,8,"[(15646, 12, 131), (15678, 24, 131), (15679, 25, 131), (14797, 9, 127), (14729, 12, 127), (14808, 14, 127), (14802, 20, 127), (14756, 24, 127)]"
The text does not fit into our label scheme.,5,"[(15651, 13, 131), (15671, 20, 131), (14702, 0, 127), (14809, 14, 127), (14759, 25, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",3,"[(15595, 1, 131), (15648, 13, 131), (14730, 13, 127)]"
A named third party does track on the first party website or app your cookies or tracking elements for analytics or research.,3,"[(15669, 18, 131), (17896, 18, 132), (14749, 18, 127)]"
The policy makes a statement about how data from children is treated.,3,"[(15676, 22, 131), (17900, 22, 132), (14754, 22, 127)]"
"User authentication, e.g., login to a user account, is encrypted/secured.",3,"[(15649, 13, 131), (17885, 13, 132), (14731, 13, 127)]"
"A user can edit their information, within the scope of unspecified user information.",3,"[(15673, 21, 131), (17888, 14, 132), (17899, 21, 132)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",3,"[(15677, 23, 131), (17901, 23, 132), (14755, 23, 127)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",3,"[(15594, 0, 131), (15680, 26, 131), (14760, 26, 127)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(15650, 13, 131), (17884, 13, 132), (14732, 13, 127)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(15618, 5, 131), (17870, 5, 132)]"
An unnamed third party does collect on the first party website or app your unspecified personal information for an unspecified purpose.,2,"[(17903, 25, 132), (14757, 25, 127)]"
The site collects your location information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(15611, 5, 131), (17867, 5, 132)]"
"Users with accounts can edit their information, within the scope of unspecified user information.",2,"[(15657, 14, 131), (14753, 21, 127)]"
The site collects your website activities for service operations or security. Collection happens on the website.,2,"[(15661, 16, 131), (17892, 16, 132)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",2,"[(15675, 21, 131), (14752, 21, 127)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(15613, 5, 131), (17868, 5, 132)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens on the website.,2,"[(17871, 6, 132), (17894, 17, 132)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(15614, 5, 131), (17869, 5, 132)]"
The site collects your IP address or device IDs for service operations or security. Collection happens on the website.,2,"[(15662, 16, 131), (17893, 16, 132)]"
The site collects your computer information for service operations or security. Collection happens on the website.,2,"[(15660, 16, 131), (17890, 16, 132)]"
"You can opt out (via a link) from the use of contact information by the site, which uses it for marketing purposes.",2,"[(15653, 14, 131), (17887, 14, 132)]"
The site collects your cookies or tracking elements for a basic service or feature. Collection happens by some means outside of our label scheme.,1,"[(15658, 15, 131)]"
The site collects your website activities for service operations or security. Collection happens when you implicitly provide information in an unspecified way for users without accounts.,1,"[(14737, 16, 127)]"
The site collects an information type outside of our label scheme for an additional (non-basic) service or feature. Collection happens by some means outside of our label scheme for users with accounts.,1,"[(15608, 4, 131)]"
"A user with an account can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by a third party, which collects or receives it for a basic service or feature.",1,"[(14751, 19, 127)]"
