"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",20,"[(20842, 0, 96), (15695, 1, 103), (20843, 1, 96), (20844, 2, 96), (20845, 3, 96), (20846, 4, 96), (20878, 16, 96), (16306, 18, 103), (20880, 18, 96), (20894, 30, 96), (20901, 38, 96), (20929, 58, 96), (20932, 61, 96), (20933, 62, 96), (20953, 71, 96), (23046, 0, 129), (23048, 1, 129), (23049, 2, 129), (23228, 61, 129), (23267, 62, 129)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature.,13,"[(23103, 20, 129), (23117, 23, 129), (23128, 25, 129), (23130, 26, 129), (23136, 27, 129), (23149, 29, 129), (23155, 31, 129), (23167, 36, 129), (23178, 40, 129), (23199, 44, 129), (23203, 46, 129), (23221, 69, 129), (23215, 70, 129)]"
The text describes a specific data practice that is not covered by our label scheme.,10,"[(15697, 2, 103), (20851, 6, 96), (16480, 30, 103), (16491, 38, 103), (16834, 61, 103), (23090, 13, 129), (23095, 16, 129), (23147, 28, 129), (23154, 30, 129), (23175, 38, 129)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",9,"[(16551, 42, 103), (20907, 42, 96), (20914, 47, 96), (16580, 49, 103), (20918, 49, 96), (20928, 54, 96), (23191, 42, 129), (23208, 47, 129), (23257, 50, 129)]"
The text does not fit into our label scheme.,9,"[(15696, 2, 103), (20881, 19, 96), (20896, 33, 96), (16831, 58, 103), (23097, 18, 129), (23060, 19, 129), (23116, 22, 129), (23279, 59, 129), (23085, 71, 129)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",6,"[(16298, 14, 103), (16835, 62, 103), (20934, 63, 96), (23091, 14, 129), (23258, 51, 129), (23229, 63, 129)]"
"The site collects something that uniquely identifies you for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",6,"[(16590, 53, 103), (16600, 56, 103), (23271, 53, 129), (23275, 54, 129), (23283, 56, 129), (23287, 57, 129)]"
"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",4,"[(15710, 5, 103), (20847, 5, 96), (20849, 6, 96), (20852, 7, 96)]"
"The site collects your demographic information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",4,"[(16591, 53, 103), (16601, 56, 103), (23272, 53, 129), (23284, 56, 129)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way for a user type outside of our label scheme. You can opt in for data collection for the collection and use of your information.,4,"[(16559, 44, 103), (16562, 45, 103), (16566, 46, 103), (16574, 47, 103)]"
The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the collection of your information.,4,"[(20889, 23, 96), (20892, 24, 96), (20893, 25, 96), (20895, 32, 96)]"
"The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",4,"[(23269, 53, 129), (23273, 54, 129), (23281, 56, 129), (23285, 57, 129)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website.,4,"[(16587, 52, 103), (16596, 55, 103), (23266, 52, 129), (23278, 55, 129)]"
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",4,"[(16589, 53, 103), (16597, 56, 103), (23270, 53, 129), (23282, 56, 129)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",3,"[(16848, 68, 103), (20947, 68, 96), (23226, 68, 129)]"
The site collects your demographic information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature.,3,"[(23142, 27, 129), (23222, 69, 129), (23217, 70, 129)]"
"When a change is made to the privacy policy that significantly affects data practices, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",3,"[(20879, 17, 96), (16847, 68, 103), (23225, 68, 129)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way. You can configure your privacy using a method outside our label scheme for the collection and use of your information.,3,"[(16482, 32, 103), (16486, 35, 103), (16487, 36, 103)]"
"Users with accounts can view their information, within the scope of information explicitly provided by the user.",3,"[(20906, 42, 96), (20917, 49, 96), (23189, 42, 129)]"
"A user with an account can opt in for the use of contact information by the site, which uses it for marketing purposes.",3,"[(20898, 34, 96), (20904, 40, 96), (20912, 47, 96)]"
"You can opt in for the use of contact information by the site, which uses it for marketing purposes.",3,"[(16485, 34, 103), (20900, 36, 96), (20930, 59, 96)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way.,3,"[(16447, 25, 103), (16449, 26, 103), (16477, 29, 103)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website for users without accounts. You can choose not to use the service or feature for the collection of your information.,3,"[(20897, 34, 96), (20903, 40, 96), (20911, 47, 96)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(16292, 14, 103), (20875, 14, 96), (23092, 14, 129)]"
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature.",2,"[(23113, 21, 129), (23169, 37, 129)]"
A named third party does receive information about you not covered by our label scheme for an additional (non-basic) service or feature. You can opt in for data collection.,2,"[(23106, 20, 129), (23133, 26, 129)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website for users with accounts. You can choose not to use the service or feature.,2,"[(23176, 39, 129), (23186, 41, 129)]"
An unnamed third party does receive unspecified information about you for analytics or research.,2,"[(15799, 11, 103), (20864, 11, 96)]"
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",2,"[(20866, 12, 96), (20885, 21, 96)]"
"The site collects an information type outside of our label scheme for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",2,"[(23274, 54, 129), (23286, 57, 129)]"
An unnamed third party does receive unspecified information about you for legal requirements.,2,"[(20945, 67, 96), (23252, 67, 129)]"
The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature.,2,"[(23127, 24, 129), (23156, 32, 129)]"
"The site collects your computer information for analytics or research. Collection happens on the website, and your data is aggregated or anonymized.",2,"[(15727, 8, 103), (23061, 8, 129)]"
"The site collects your demographic information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",2,"[(20867, 12, 96), (20887, 21, 96)]"
