"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",16,"[(15391, 0, 96), (15392, 1, 96), (13798, 2, 103), (15393, 2, 96), (15394, 3, 96), (16180, 10, 96), (16202, 23, 96), (16216, 33, 96), (16218, 34, 96), (24664, 0, 127), (24665, 1, 127), (24666, 2, 127), (24667, 3, 127), (24668, 4, 127), (24745, 33, 127), (24749, 35, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,9,"[(13866, 33, 103), (24684, 7, 127), (24699, 14, 127), (24713, 19, 127), (24715, 19, 127), (24718, 20, 127), (24754, 21, 127), (24729, 25, 127), (24731, 26, 127)]"
The text does not fit into our label scheme.,7,"[(24682, 5, 127), (24681, 6, 127), (24688, 8, 127), (24689, 9, 127), (24752, 21, 127), (24725, 23, 127), (24740, 30, 127)]"
"The policy makes a statement about how data from European users is treated (e.g., Safe Harbor provisions).",6,"[(13860, 30, 103), (16211, 30, 96), (13862, 31, 103), (16213, 31, 96), (13865, 32, 103), (16214, 32, 96)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",5,"[(13864, 31, 103), (24719, 20, 127), (24742, 31, 127), (24744, 32, 127), (24746, 34, 127)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",5,"[(13861, 30, 103), (13863, 31, 103), (24739, 30, 127), (24741, 31, 127), (24743, 32, 127)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by the site, which collects it for a basic service or feature.",3,"[(16209, 28, 96), (24692, 11, 127), (24736, 28, 127)]"
An unspecified third party does receive unspecified information about you for mergers or acquisitions.,3,"[(13842, 17, 103), (16190, 17, 96), (24706, 17, 127)]"
The policy makes a statement about how data from children is treated.,3,"[(13858, 29, 103), (16210, 29, 96), (24738, 29, 127)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(13850, 22, 103), (16201, 22, 96), (24724, 22, 127)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by the site, which collects it for an additional (non-basic) service or feature.",2,"[(13835, 11, 103), (13857, 28, 103)]"
Another part of the company or institution does receive unspecified information about you for an unspecified purpose.,2,"[(16184, 13, 96), (24697, 13, 127)]"
Another part of the company or institution does receive unspecified information about you for targeted advertising.,2,"[(13839, 14, 103), (24700, 14, 127)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",2,"[(16204, 25, 96), (24728, 25, 127)]"
An unnamed third party does not receive your contact information for targeted advertising. You can configure your privacy with user settings provided by the site for the use of your information.,1,"[(13841, 16, 103)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(24679, 6, 127)]"
An unnamed third party does not do something outside of our label scheme with unspecified information about you for an unspecified purpose.,1,"[(24696, 13, 127)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(16221, 35, 96)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information by an unnamed service or third party for users with accounts.,1,"[(24690, 9, 127)]"
A named third party does do something unspecified with your cookies or tracking elements for analytics or research.,1,"[(24722, 20, 127)]"
"When a change of an unspecified nature is made to the privacy policy, users are personally notified. Users have a choice not covered by our label scheme.",1,"[(13867, 35, 103)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",1,"[(13851, 23, 103)]"
The site collects your location information for a basic service or feature. Collection happens when you implicitly provide information in the mobile app. You can configure your privacy with browser settings for the collection and use of your information.,1,"[(16174, 8, 96)]"
The site collects an information type outside of our label scheme for advertising. Collection happens when you explicitly provide information on the website. You can configure your privacy with user settings provided by the site for the use of your information.,1,"[(16200, 21, 96)]"
An unnamed third party does see your unspecified personal information for analytics or research.,1,"[(16187, 15, 96)]"
The site collects your location information for an additional (non-basic) service or feature. Collection happens when you implicitly provide information in the mobile app. You can configure your privacy with browser settings for the collection of your information.,1,"[(24685, 8, 127)]"
The site collects your generic personal information for advertising. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,1,"[(24750, 21, 127)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website.,1,"[(13799, 5, 103)]"
The site collects your user profile for advertising. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,1,"[(24751, 21, 127)]"
"You can make no specified choices about the use of unspecified information by a third party, which collects or receives it for an unspecified purpose.",1,"[(24714, 19, 127)]"
An unnamed third party does receive your unspecified personal information for service operations or security. This applies to users with accounts.,1,"[(24710, 18, 127)]"
An unnamed third party does not receive your unspecified personal information for targeted advertising. The data is personally identifiable.,1,"[(16195, 19, 96)]"
The site collects your IP address or device IDs for a basic service or feature. Collection happens when you implicitly provide information in the mobile app. You can configure your privacy with browser settings for the collection and use of your information.,1,"[(16177, 8, 96)]"
The site collects your location information for an additional (non-basic) service or feature. Collection happens in the mobile app. You can configure your privacy with browser settings.,1,"[(13829, 8, 103)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information by an unnamed service or third party.,1,"[(16179, 9, 96)]"
The site collects your location information for advertising. Collection happens when you implicitly provide information in the mobile app. You can configure your privacy with browser settings for the collection and use of your information.,1,"[(16173, 8, 96)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(24678, 6, 127)]"
An unspecified third party does receive unspecified information about you for an unspecified purpose.,1,"[(24698, 13, 127)]"
The site collects your unspecified information for analytics or research. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,1,"[(24676, 5, 127)]"
The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens when you implicitly provide information in an unspecified way.,1,"[(24691, 10, 127)]"
The site collects your IP address or device IDs for advertising. Collection happens in the mobile app. You can configure your privacy with browser settings.,1,"[(13832, 8, 103)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website. You can opt in for data collection for the collection of your information.,1,"[(24670, 5, 127)]"
An unnamed third party does track on the first party website or app your IP address or device IDs for targeted advertising. You can configure your privacy with third-party user settings for the collection or sharing of your information.,1,"[(16199, 20, 96)]"
"Users with accounts can edit their information, within the scope of unspecified user information.",1,"[(24727, 25, 127)]"
"You can choose not to use a service or feature to avoid the use of unspecified information by the site, which collects it for a basic service or feature.",1,"[(16203, 24, 96)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",1,"[(13852, 25, 103)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,1,"[(24674, 5, 127)]"
The site collects your unspecified information for personalization or customization. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the collection of your information.,1,"[(15397, 5, 96)]"
"You can use privacy configuration settings (in the website or app) to control the use of contact information by the site, which uses it for legal requirements.",1,"[(13854, 26, 103)]"
An unnamed third party does track on the first party website or app your cookies or tracking elements for analytics or research.,1,"[(24694, 12, 127)]"
The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way.,1,"[(15395, 4, 96)]"
"A user with an account can use privacy configuration settings (in the website or app) to control the use of generic personal information by a third party, which collects or receives it for personalization or customization.",1,"[(24734, 27, 127)]"
The site collects your unspecified information for analytics or research. Collection happens when you explicitly provide information on the website. You can opt in for data collection for the collection of your information.,1,"[(24672, 5, 127)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information on other websites.,1,"[(24680, 6, 127)]"
"You can use privacy configuration settings (in the website or app) to control the use of contact information by the site, which uses it for personalization or customization.",1,"[(24683, 7, 127)]"
"A user with an account can use privacy configuration settings (in the website or app) to control the use of generic personal information by a third party, which uses it for personalization or customization.",1,"[(24735, 27, 127)]"
An unnamed third party does receive your unspecified personal information for service operations or security.,1,"[(24701, 15, 127)]"
The site collects your computer information for an additional (non-basic) service or feature. Collection happens when you implicitly provide information in the mobile app. You can configure your privacy with browser settings for the collection of your information.,1,"[(24687, 8, 127)]"
An unspecified third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,1,"[(16193, 18, 96)]"
An unnamed third party does receive your unspecified personal information for marketing purposes.,1,"[(24703, 15, 127)]"
An unnamed third party does receive your unspecified personal information for legal requirements. This applies to users with accounts.,1,"[(24709, 18, 127)]"
The site collects your unspecified information for analytics or research. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the collection of your information.,1,"[(15398, 5, 96)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with user settings provided by the site for the use of your information.,1,"[(16172, 7, 96)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of unspecified information by the site, which collects it for a basic service or feature.",1,"[(16181, 11, 96)]"
"You can use privacy configuration settings (in the website or app) to control the use of contact information by the site, which uses it for marketing purposes.",1,"[(16206, 26, 96)]"
"When a change of an unspecified nature is made to the privacy policy, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(13855, 26, 103)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the collection of your information.,1,"[(15396, 5, 96)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users must agree before their data is treated according to the new privacy policy.",1,"[(24747, 35, 127)]"
An unnamed third party does receive your user profile for legal requirements. This applies to users with accounts.,1,"[(24707, 18, 127)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,1,"[(24677, 5, 127)]"
An unnamed third party does not receive your unspecified personal information for analytics or research.,1,"[(16182, 12, 96)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose. This applies to a user type outside of our label scheme. The data is personally identifiable.,1,"[(24716, 19, 127)]"
The site collects your unspecified information for an unspecified purpose. Collection happens by an unnamed service or third party.,1,"[(13833, 9, 103)]"
An unnamed third party does see your unspecified personal information for a basic service or feature.,1,"[(13840, 15, 103)]"
An unnamed third party does see your unspecified personal information for marketing purposes.,1,"[(16188, 15, 96)]"
The site collects your IP address or device IDs for advertising. Collection happens when you implicitly provide information in the mobile app. You can configure your privacy with browser settings for the collection and use of your information.,1,"[(16176, 8, 96)]"
A named third party does collect on the first party website or app your cookies or tracking elements for analytics or research. You can configure your privacy with third-party user settings.,1,"[(13848, 20, 103)]"
