The text does not fit into our label scheme.,54,"[(15056, 57, 129), (15065, 64, 129), (15083, 66, 129), (15086, 69, 129), (15090, 71, 129), (15101, 75, 129), (15102, 76, 129), (15103, 77, 129), (15104, 78, 129), (15105, 79, 129), (15106, 80, 129), (15107, 81, 129), (15108, 82, 129), (15109, 83, 129), (15110, 84, 129), (15111, 85, 129), (15066, 103, 129), (14317, 17, 131), (14378, 52, 131), (14381, 54, 131), (14383, 55, 131), (14405, 69, 131), (14406, 70, 131), (14411, 71, 131), (14421, 74, 131), (14448, 88, 131), (14456, 91, 131), (14458, 93, 131), (14460, 94, 131), (14072, 0, 127), (14076, 2, 127), (15446, 37, 127), (15472, 52, 127), (15475, 54, 127), (15477, 55, 127), (15479, 56, 127), (14640, 64, 127), (15485, 66, 127), (15486, 69, 127), (15488, 71, 127), (14668, 76, 127), (14669, 77, 127), (14670, 78, 127), (14671, 79, 127), (14672, 80, 127), (14673, 81, 127), (14674, 82, 127), (14675, 83, 127), (14676, 84, 127), (15428, 85, 127), (14677, 91, 127), (14678, 92, 127), (15424, 93, 127), (15502, 103, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,31,"[(14874, 2, 129), (14893, 14, 129), (14916, 35, 129), (15050, 54, 129), (15084, 67, 129), (15112, 86, 129), (15113, 87, 129), (15114, 88, 129), (15115, 89, 129), (15116, 90, 129), (15117, 91, 129), (15118, 92, 129), (15119, 93, 129), (15120, 94, 129), (14311, 14, 131), (14362, 48, 131), (14388, 57, 131), (14401, 66, 131), (14402, 67, 131), (14432, 85, 131), (14434, 86, 131), (14453, 89, 131), (14454, 90, 131), (15448, 48, 127), (14642, 67, 127), (15493, 75, 127), (15430, 87, 127), (15500, 89, 127), (15501, 90, 127), (14686, 95, 127), (15420, 96, 127)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",18,"[(14872, 0, 129), (14873, 1, 129), (14878, 4, 129), (14880, 5, 129), (14881, 6, 129), (14883, 8, 129), (14884, 9, 129), (14896, 17, 129), (15064, 63, 129), (14238, 0, 131), (14239, 1, 131), (14240, 2, 131), (14241, 3, 131), (14247, 4, 131), (14073, 1, 127), (14077, 3, 127), (15432, 4, 127), (15494, 75, 127)]"
A specific security measure not covered above.,12,"[(15097, 73, 129), (14422, 75, 131), (14423, 76, 131), (14424, 77, 131), (14425, 78, 131), (14427, 80, 131), (14428, 81, 131), (14429, 82, 131), (14430, 83, 131), (14431, 84, 131), (14663, 73, 127), (15425, 94, 127)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",11,"[(15072, 98, 129), (15071, 99, 129), (15070, 100, 129), (14438, 96, 131), (14440, 98, 131), (14441, 99, 131), (14442, 100, 131), (15418, 96, 127), (14689, 98, 127), (14696, 99, 127), (14697, 100, 127)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens in an unspecified way.,9,"[(15043, 21, 129), (14912, 31, 129), (14913, 32, 129), (14914, 33, 129), (14327, 21, 131), (14338, 31, 131), (14339, 32, 131), (14340, 33, 131), (14592, 21, 127)]"
The site collects your unspecified information for service operations or security. Collection happens in an unspecified way.,8,"[(14902, 23, 129), (14909, 29, 129), (14928, 42, 129), (14930, 44, 129), (14333, 26, 131), (14598, 26, 127), (14599, 27, 127), (14601, 29, 127)]"
The site collects your unspecified information for legal requirements. Collection happens in an unspecified way.,7,"[(14910, 29, 129), (14924, 40, 129), (14927, 41, 129), (14929, 43, 129), (14329, 23, 131), (14336, 29, 131), (14602, 29, 127)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,7,"[(14897, 18, 129), (14899, 19, 129), (14901, 22, 129), (14903, 24, 129), (14906, 26, 129), (14907, 27, 129), (14334, 27, 131)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,6,"[(14898, 18, 129), (14900, 20, 129), (14911, 30, 129), (14325, 20, 131), (14337, 30, 131), (14603, 30, 127)]"
