"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",16,"[(11167, 0, 116), (11168, 1, 116), (11170, 3, 116), (11229, 15, 116), (12579, 0, 117), (12580, 1, 117), (12581, 2, 117), (12582, 3, 117), (12583, 4, 117), (9936, 0, 118), (9946, 1, 118), (9944, 2, 118), (9947, 3, 118), (9222, 4, 118), (10456, 37, 118), (10454, 39, 118)]"
The policy makes a statement about how data from children is treated.,13,"[(11262, 20, 116), (11283, 33, 116), (11301, 39, 116), (11302, 40, 116), (11305, 41, 116), (12629, 39, 117), (12630, 40, 117), (12631, 41, 117), (10502, 20, 118), (10460, 33, 118), (10453, 39, 118), (10450, 40, 118), (10448, 41, 118)]"
The text describes a specific data practice that is not covered by our label scheme.,11,"[(11228, 14, 116), (11263, 21, 116), (11264, 22, 116), (11265, 23, 116), (11279, 30, 116), (11280, 31, 116), (11282, 32, 116), (11291, 36, 116), (10478, 21, 118), (10525, 31, 118), (10451, 40, 118)]"
The text does not fit into our label scheme.,11,"[(11171, 3, 116), (11220, 14, 116), (11238, 15, 116), (9994, 7, 118), (9998, 8, 118), (10419, 14, 118), (10440, 15, 118), (10467, 26, 118), (10523, 30, 118), (10526, 31, 118), (10462, 32, 118)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",6,"[(11185, 8, 116), (11292, 36, 116), (11309, 43, 116), (12633, 43, 117), (10521, 36, 118), (10443, 43, 118)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",5,"[(11183, 7, 116), (11184, 8, 116), (12587, 7, 117), (12588, 8, 117), (12619, 33, 117)]"
A specific security measure not covered above.,4,"[(10477, 21, 118), (10504, 22, 118), (10461, 32, 118), (10519, 36, 118)]"
Data is accessible to employees/third parties on a need-to-know basis.,4,"[(11290, 36, 116), (12623, 36, 117), (10509, 27, 118), (10520, 36, 118)]"
"User authentication, e.g., login to a user account, is encrypted/secured.",4,"[(11287, 36, 116), (11293, 37, 116), (12622, 36, 117), (12624, 37, 117)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",3,"[(11172, 4, 116), (11288, 36, 116), (10518, 36, 118)]"
An unnamed third party does receive your unspecified personal information for targeted advertising.,3,"[(11221, 14, 116), (12594, 11, 117), (12598, 14, 117)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",3,"[(11284, 34, 116), (11303, 41, 116), (12585, 5, 117)]"
The website ignores Do Not Track headers and the user's Do Not Track preference.,3,"[(11186, 9, 116), (12589, 9, 117), (10002, 9, 118)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",3,"[(11179, 5, 116), (10459, 34, 118), (10449, 41, 118)]"
The site collects your cookies or tracking elements for advertising. Collection happens on the website.,3,"[(11232, 15, 116), (11243, 17, 116), (11254, 19, 116)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens on the website.,3,"[(11231, 15, 116), (11253, 19, 116), (12605, 19, 117)]"
An unnamed third party does receive your unspecified personal information for service operations or security.,3,"[(12626, 38, 117), (10513, 38, 118), (10515, 38, 118)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(12628, 38, 117), (10517, 38, 118)]"
The website handles Do Not Track headers in a different way not covered above.,2,"[(11187, 9, 116), (10004, 9, 118)]"
