"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",23,"[(7120, 1, 82), (5421, 2, 84), (6420, 2, 88), (7121, 2, 82), (6427, 5, 88), (7123, 5, 82), (5444, 13, 84), (6439, 13, 88), (7130, 13, 82), (7132, 14, 82), (6442, 15, 88), (7135, 15, 82), (6457, 24, 88), (7181, 24, 82), (6487, 55, 88), (7204, 55, 82), (5558, 59, 84), (6489, 59, 88), (7208, 59, 82), (7142, 62, 82), (5565, 65, 84), (6493, 65, 88), (7139, 65, 82)]"
The text describes a specific data practice that is not covered by our label scheme.,23,"[(7136, 11, 82), (6438, 12, 88), (7129, 12, 82), (7131, 13, 82), (7183, 24, 82), (7189, 28, 82), (7192, 30, 82), (7203, 54, 82), (7206, 56, 82), (5556, 57, 84), (7207, 57, 82), (5557, 58, 84), (7212, 58, 82), (5559, 60, 84), (7209, 60, 82), (5560, 61, 84), (7210, 61, 82), (5561, 62, 84), (5562, 63, 84), (7141, 63, 82), (5563, 64, 84), (7140, 64, 82), (5564, 65, 84)]"
A named third party does receive your health information for a purpose outside of our label scheme.,18,"[(5433, 8, 84), (7182, 24, 82), (7188, 27, 82), (5509, 29, 84), (5522, 34, 84), (7218, 34, 82), (7219, 35, 82), (7220, 36, 82), (7221, 37, 82), (5531, 40, 84), (7229, 41, 82), (5534, 42, 84), (7230, 42, 82), (5536, 43, 84), (7232, 43, 82), (5538, 45, 84), (7234, 45, 82), (7235, 46, 82)]"
The site collects your health information for a purpose outside of our label scheme. Collection happens in an unspecified way.,11,"[(7149, 8, 82), (7161, 17, 82), (7170, 20, 82), (7173, 21, 82), (5507, 29, 84), (7190, 29, 82), (7194, 31, 82), (7196, 32, 82), (5532, 40, 84), (7227, 40, 82), (7238, 47, 82)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",11,"[(5419, 0, 84), (6419, 0, 88), (7118, 0, 82), (7119, 1, 82), (5422, 3, 84), (6422, 3, 88), (7122, 3, 82), (7214, 49, 82), (5550, 51, 84), (7200, 51, 82), (7202, 53, 82)]"
The text does not fit into our label scheme.,10,"[(5420, 1, 84), (6437, 11, 88), (5442, 12, 84), (5443, 13, 84), (5446, 15, 84), (6443, 15, 88), (5548, 49, 84), (5552, 53, 84), (5553, 54, 84), (5555, 56, 84)]"
The site collects your health information for a basic service or feature. Collection happens in an unspecified way.,8,"[(7144, 6, 82), (5453, 17, 84), (5475, 19, 84), (7166, 19, 82), (7168, 20, 82), (5483, 21, 84), (7174, 21, 82), (5506, 29, 84)]"
An unspecified third party does receive your health information for a purpose outside of our label scheme.,6,"[(7148, 8, 82), (7171, 20, 82), (7193, 31, 82), (7195, 32, 82), (5537, 44, 84), (7233, 44, 82)]"
A third party outside of our label scheme does receive your health information for a purpose outside of our label scheme.,6,"[(7162, 17, 82), (7165, 18, 82), (7167, 19, 82), (7187, 27, 82), (7191, 29, 82), (7236, 47, 82)]"
The site collects your health information for an unspecified purpose. Collection happens in an unspecified way.,6,"[(5429, 6, 84), (7147, 7, 82), (5447, 16, 84), (7157, 16, 82), (5476, 20, 84), (7184, 25, 82)]"
A named third party does receive your health information for legal requirements.,6,"[(5482, 20, 84), (5523, 34, 84), (5526, 36, 84), (5527, 37, 84), (5530, 39, 84), (5533, 41, 84)]"
