"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",36,"[(21360, 0, 96), (20756, 1, 103), (21361, 1, 96), (21362, 2, 96), (21363, 3, 96), (21366, 6, 96), (21391, 12, 96), (21392, 13, 96), (21416, 29, 96), (21420, 32, 96), (21421, 33, 96), (21422, 34, 96), (21427, 39, 96), (21428, 40, 96), (21432, 44, 96), (21433, 45, 96), (21437, 47, 96), (21438, 48, 96), (21443, 53, 96), (21445, 55, 96), (21483, 83, 96), (21484, 84, 96), (21486, 86, 96), (22089, 86, 103), (21487, 87, 96), (22090, 87, 103), (21488, 88, 96), (22792, 0, 127), (22793, 1, 127), (22794, 2, 127), (22797, 3, 127), (22798, 4, 127), (22801, 6, 127), (23334, 86, 127), (23335, 87, 127), (23336, 88, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,25,"[(21601, 30, 103), (21864, 48, 103), (21476, 77, 96), (22085, 82, 103), (22795, 2, 127), (22796, 3, 127), (23384, 11, 127), (23421, 29, 127), (23124, 30, 127), (23125, 31, 127), (23430, 38, 127), (23181, 42, 127), (23183, 43, 127), (23432, 44, 127), (23192, 48, 127), (23202, 50, 127), (23464, 51, 127), (23466, 52, 127), (23455, 60, 127), (23265, 66, 127), (23460, 75, 127), (23315, 78, 127), (23327, 82, 127), (23328, 83, 127), (23332, 84, 127)]"
The text does not fit into our label scheme.,14,"[(21442, 52, 96), (21452, 59, 96), (21482, 82, 96), (23355, 9, 127), (23126, 31, 127), (23152, 36, 127), (23431, 38, 127), (23174, 41, 127), (23177, 42, 127), (23188, 45, 127), (23457, 60, 127), (23461, 75, 127), (23322, 80, 127), (23331, 84, 127)]"
The policy makes a statement about how data from children is treated.,10,"[(20763, 4, 103), (21470, 72, 96), (22071, 72, 103), (21472, 74, 96), (22073, 74, 103), (21473, 75, 96), (22074, 75, 103), (23299, 72, 127), (23304, 74, 127), (23458, 75, 127)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",9,"[(21477, 78, 96), (22078, 78, 103), (21478, 79, 96), (22081, 79, 103), (21479, 80, 96), (22083, 80, 103), (23314, 78, 127), (23318, 79, 127), (23321, 80, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",7,"[(22082, 79, 103), (21485, 85, 96), (22088, 85, 103), (23459, 75, 127), (23312, 77, 127), (23319, 79, 127), (23333, 85, 127)]"
The site collects your unspecified information for service operations or security. Collection happens in an unspecified way.,6,"[(20830, 22, 103), (20834, 26, 103), (21406, 26, 96), (21410, 28, 96), (23105, 26, 127), (23402, 28, 127)]"
The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way.,6,"[(20832, 24, 103), (21404, 24, 96), (21405, 25, 96), (21415, 28, 96), (23088, 24, 127), (23401, 28, 127)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",6,"[(20762, 4, 103), (21364, 4, 96), (20764, 5, 103), (21365, 5, 96), (22799, 4, 127), (22800, 5, 127)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,5,"[(20831, 23, 103), (21403, 23, 96), (21411, 28, 96), (23077, 23, 127), (23398, 28, 127)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,5,"[(21395, 16, 96), (21407, 27, 96), (23078, 23, 127), (23400, 28, 127), (23403, 28, 127)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens in an unspecified way.,5,"[(20827, 19, 103), (20828, 20, 103), (21400, 20, 96), (22829, 20, 127), (23399, 28, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",5,"[(21863, 47, 103), (22075, 76, 103), (22077, 77, 103), (22087, 84, 103), (23307, 76, 127)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,5,"[(21398, 19, 96), (20829, 21, 103), (21401, 21, 96), (21402, 22, 96), (21414, 28, 96)]"
Data is accessible to employees/third parties on a need-to-know basis.,5,"[(21475, 76, 96), (22076, 76, 103), (22818, 14, 127), (23220, 56, 127), (23310, 76, 127)]"
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way.,4,"[(20824, 17, 103), (21399, 19, 96), (21413, 28, 96), (23443, 46, 127)]"
An unspecified third party does receive unspecified information about you for legal requirements.,4,"[(21458, 63, 96), (21459, 64, 96), (21463, 67, 96), (23259, 65, 127)]"
A specific security measure not covered above.,4,"[(22086, 83, 103), (23190, 47, 127), (23309, 76, 127), (23313, 77, 127)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",4,"[(20806, 8, 103), (21474, 76, 96), (23347, 8, 127), (23308, 76, 127)]"
"You can make no specified choices about the use of unspecified information by a third party, which collects or receives it for an unspecified purpose.",3,"[(23424, 29, 127), (23427, 29, 127), (23320, 79, 127)]"
An unspecified third party does receive unspecified information about you for service operations or security.,3,"[(21462, 67, 96), (23253, 64, 127), (23290, 67, 127)]"
Another part of the company or institution does receive unspecified information about you for an unspecified purpose.,3,"[(20822, 15, 103), (21394, 15, 96), (22822, 15, 127)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of unspecified information by an unspecified party for an unspecified purpose.,3,"[(21426, 38, 96), (21429, 41, 96), (21430, 42, 96)]"
An unnamed third party does receive your unspecified personal information for an unspecified purpose.,3,"[(21915, 62, 103), (23232, 57, 127), (23294, 69, 127)]"
A named third party does receive unspecified information about you for legal requirements.,3,"[(21946, 67, 103), (23251, 63, 127), (23291, 67, 127)]"
"You can opt in for the use of contact information by the site, which uses it for marketing purposes.",3,"[(21866, 50, 103), (21868, 51, 103), (21869, 52, 103)]"
The site collects your contact information for marketing purposes. Collection happens in an unspecified way.,3,"[(21396, 17, 96), (23389, 17, 127), (23442, 46, 127)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",3,"[(21467, 70, 96), (23123, 30, 127), (23296, 70, 127)]"
Another part of the company or institution does do something unspecified with unspecified information about you for an unspecified purpose.,3,"[(23087, 23, 127), (23416, 28, 127), (23419, 28, 127)]"
