"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",17,"[(7742, 1, 96), (8756, 1, 103), (23722, 1, 123), (23723, 2, 123), (8759, 3, 103), (7755, 9, 96), (7759, 12, 96), (7761, 14, 96), (7762, 15, 96), (8773, 15, 103), (23756, 18, 123), (8777, 20, 103), (8778, 21, 103), (7775, 28, 96), (8787, 28, 103), (23768, 28, 123), (7776, 29, 96)]"
The text does not fit into our label scheme.,14,"[(23721, 0, 123), (8769, 12, 103), (23744, 14, 123), (23745, 15, 123), (7763, 16, 96), (23754, 16, 123), (7766, 19, 96), (7767, 20, 96), (23758, 20, 123), (7768, 21, 96), (23759, 21, 123), (7777, 30, 96), (7778, 31, 96), (7779, 32, 96)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",11,"[(7749, 5, 96), (8761, 5, 103), (23732, 5, 123), (23734, 6, 123), (7753, 7, 96), (8764, 7, 103), (23736, 7, 123), (23737, 8, 123), (8776, 19, 103), (8788, 29, 103), (23769, 29, 123)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",6,"[(7764, 17, 96), (8772, 17, 103), (23755, 17, 123), (7765, 18, 96), (8775, 18, 103), (23757, 19, 123)]"
The policy makes a statement about how data from children is treated.,6,"[(7773, 26, 96), (8785, 26, 103), (23766, 26, 123), (7774, 27, 96), (8786, 27, 103), (23767, 27, 123)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",5,"[(8755, 0, 103), (23720, 0, 123), (7752, 6, 96), (8763, 6, 103), (23735, 6, 123)]"
A specific security measure not covered above.,3,"[(7754, 8, 96), (23770, 30, 123), (23771, 31, 123)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",3,"[(7780, 33, 96), (8791, 33, 103), (23773, 33, 123)]"
An unnamed third party does not track on the first party website or app unspecified information about you for an unspecified purpose.,3,"[(7772, 25, 96), (8784, 25, 103), (23765, 25, 123)]"
Data is accessible to employees/third parties on a need-to-know basis.,3,"[(7751, 6, 96), (8762, 6, 103), (23733, 6, 123)]"
"The company/organization has a privacy or security program/organization in place addressing, for example, how to protect data against unauthorized access or privacy training for employees.",3,"[(8765, 8, 103), (8789, 30, 103), (8790, 32, 103)]"
The website reads and adheres to the user's Do Not Track preference.,3,"[(7771, 24, 96), (8783, 24, 103), (23764, 24, 123)]"
The site collects your unspecified information for a basic service or feature. Collection happens on the website.,2,"[(23728, 2, 123), (23731, 4, 123)]"
The text describes a specific data practice that is not covered by our label scheme.,2,"[(7741, 0, 96), (23772, 32, 123)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,2,"[(8770, 13, 103), (23743, 13, 123)]"
The site collects your computer information for a basic service or feature. Collection happens when you implicitly provide information on the website. You can configure your privacy with browser settings for the use of your information.,1,"[(7756, 9, 96)]"
"When a change is made to the privacy policy that significantly affects data practices, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(7769, 22, 96)]"
The site collects your financial information for a basic service or feature. Collection happens in the mobile app.,1,"[(23727, 2, 123)]"
"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(7743, 2, 96)]"
An unnamed third party does not do something outside of our label scheme with unspecified information about you for an unspecified purpose.,1,"[(8771, 14, 103)]"
"Users with accounts can edit their information, within the scope of unspecified user information.",1,"[(23762, 23, 123)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens on the website.,1,"[(8760, 4, 103)]"
The site collects your contact information for a basic service or feature. Collection happens on the website.,1,"[(23724, 2, 123)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you implicitly provide information on the website. You can choose not to use the service or feature for the use of your information.,1,"[(7748, 4, 96)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by an unspecified party for an unspecified purpose.,1,"[(8768, 11, 103)]"
"A user can edit their information, within the scope of unspecified user information.",1,"[(23761, 23, 123)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you implicitly provide information in an unspecified way.,1,"[(7757, 10, 96)]"
The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens in an unspecified way.,1,"[(8767, 10, 103)]"
"The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(7744, 2, 96)]"
"The site collects your cookies or tracking elements for a basic service or feature. Collection happens on the website, and your data is aggregated or anonymized. You can configure your privacy with browser settings for the collection and use of your information.",1,"[(23738, 9, 123)]"
