"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",27,"[(9959, 3, 121), (10049, 35, 121), (10056, 38, 121), (10060, 39, 121), (10063, 40, 121), (10066, 41, 121), (10081, 52, 121), (10120, 73, 121), (9481, 3, 116), (9486, 7, 116), (9512, 10, 116), (10410, 35, 116), (10422, 37, 116), (10431, 39, 116), (10438, 40, 116), (10671, 41, 116), (10697, 47, 116), (10707, 52, 116), (10712, 54, 116), (10759, 65, 116), (10773, 70, 116), (10784, 72, 116), (10786, 73, 116), (9853, 7, 117), (12008, 35, 117), (12057, 52, 117), (12132, 73, 117)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",27,"[(9955, 0, 121), (9956, 1, 121), (9957, 2, 121), (9969, 10, 121), (9992, 14, 121), (10005, 17, 121), (10086, 56, 121), (10093, 60, 121), (10098, 62, 121), (9463, 0, 116), (9466, 2, 116), (10715, 56, 116), (10730, 59, 116), (10732, 60, 116), (10742, 62, 116), (10751, 64, 116), (9846, 0, 117), (9847, 1, 117), (9848, 2, 117), (9849, 3, 117), (9850, 4, 117), (9852, 6, 117), (9854, 8, 117), (9855, 9, 117), (9856, 10, 117), (12007, 34, 117), (12067, 56, 117)]"
The policy makes a statement about how data from children is treated.,24,"[(9993, 14, 121), (10031, 28, 121), (10046, 33, 121), (10057, 38, 121), (10064, 41, 121), (10110, 69, 121), (9479, 3, 116), (9533, 14, 116), (10378, 28, 116), (10407, 33, 116), (10411, 36, 116), (10421, 37, 116), (10424, 38, 116), (10667, 41, 116), (10769, 69, 116), (10775, 70, 116), (9861, 14, 117), (9879, 28, 117), (12006, 33, 117), (12012, 36, 117), (12013, 37, 117), (12019, 38, 117), (12032, 41, 117), (12117, 69, 117)]"
The text describes a specific data practice that is not covered by our label scheme.,16,"[(9960, 4, 121), (9964, 6, 121), (10003, 17, 121), (10026, 25, 121), (10070, 43, 121), (9483, 4, 116), (9487, 7, 116), (10367, 25, 116), (10699, 47, 116), (10722, 58, 116), (10744, 62, 116), (10745, 62, 116), (10753, 64, 116), (10762, 66, 116), (10776, 70, 116), (10782, 71, 116)]"
The text does not fit into our label scheme.,11,"[(9958, 3, 121), (9963, 5, 121), (9966, 7, 121), (10082, 53, 121), (10102, 64, 121), (10118, 72, 121), (9482, 2, 116), (9480, 3, 116), (9510, 10, 116), (12044, 45, 117), (12100, 64, 117)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",6,"[(10077, 49, 121), (10703, 49, 116), (10704, 50, 116), (10709, 53, 116), (12054, 49, 117), (12055, 50, 117)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,5,"[(9490, 10, 116), (9492, 10, 116), (9534, 15, 116), (10352, 17, 116), (9874, 24, 117)]"
You can choose not to use a service or feature to avoid the use of unspecified information by an unspecified party for an unspecified purpose.,5,"[(9967, 8, 121), (9968, 9, 121), (10108, 68, 121), (9488, 8, 116), (9489, 9, 116)]"
A specific security measure not covered above.,5,"[(10079, 50, 121), (10083, 54, 121), (9851, 5, 117), (12061, 53, 117), (12062, 54, 117)]"
"A user can edit their information, within the scope of information the company has learned about the user.",5,"[(9494, 10, 116), (9498, 10, 116), (10416, 37, 116), (10420, 37, 116), (10429, 38, 116)]"
