"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",32,"[(10938, 0, 121), (10940, 1, 121), (11415, 9, 121), (11417, 10, 121), (11418, 11, 121), (11953, 12, 121), (11954, 13, 121), (12955, 31, 121), (13022, 51, 121), (12757, 0, 117), (12758, 1, 117), (12759, 2, 117), (12783, 10, 117), (12784, 11, 117), (12785, 12, 117), (12786, 13, 117), (12796, 19, 117), (12812, 31, 117), (12824, 37, 117), (12852, 65, 117), (11112, 0, 118), (11113, 1, 118), (11114, 2, 118), (11732, 9, 118), (11734, 9, 118), (11398, 10, 118), (11399, 11, 118), (11400, 12, 118), (11401, 13, 118), (11855, 30, 118), (11821, 31, 118), (11822, 32, 118)]"
The text describes a specific data practice that is not covered by our label scheme.,16,"[(12916, 17, 121), (13051, 61, 121), (13064, 65, 121), (11118, 3, 118), (11739, 16, 118), (11748, 17, 118), (11754, 18, 118), (11864, 30, 118), (11865, 30, 118), (11830, 33, 118), (11831, 35, 118), (11780, 52, 118), (11789, 56, 118), (11810, 61, 118), (11815, 62, 118), (11526, 69, 118)]"
The text does not fit into our label scheme.,14,"[(10941, 2, 121), (12954, 30, 121), (13055, 61, 121), (13058, 62, 121), (13059, 62, 121), (11752, 18, 118), (11863, 30, 118), (11827, 33, 118), (11854, 34, 118), (11793, 57, 118), (11819, 62, 118), (11820, 63, 118), (11512, 65, 118), (11524, 67, 118)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",13,"[(10946, 3, 121), (11416, 9, 121), (11955, 14, 121), (13066, 66, 121), (12782, 9, 117), (12787, 14, 117), (11116, 3, 118), (11727, 8, 118), (11735, 9, 118), (11402, 14, 118), (11816, 62, 118), (11518, 66, 118), (11525, 69, 118)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,12,"[(13001, 39, 121), (13011, 46, 121), (13012, 47, 121), (13013, 48, 121), (12833, 46, 117), (12834, 47, 117), (12835, 48, 117), (11395, 6, 118), (11492, 39, 118), (11539, 46, 118), (11543, 47, 118), (11548, 48, 118)]"
An unspecified third party does do something unspecified with your activities on the website or app for an unspecified purpose.,12,"[(12925, 20, 121), (12927, 21, 121), (12930, 22, 121), (12933, 23, 121), (12937, 25, 121), (12945, 28, 121), (11450, 20, 118), (11455, 20, 118), (11452, 21, 118), (11460, 22, 118), (11469, 23, 118), (11477, 25, 118)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,10,"[(12924, 20, 121), (12926, 21, 121), (12932, 23, 121), (12936, 25, 121), (12944, 28, 121), (12960, 32, 121), (11713, 5, 118), (11449, 20, 118), (11454, 20, 118), (11825, 32, 118)]"
The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way.,8,"[(13000, 38, 121), (13003, 40, 121), (13006, 43, 121), (12823, 36, 117), (12825, 38, 117), (12827, 40, 117), (11389, 6, 118), (11837, 36, 118)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens in an unspecified way.,7,"[(13005, 42, 121), (12828, 41, 117), (12829, 42, 117), (11493, 39, 118), (11500, 40, 118), (11501, 40, 118), (11503, 41, 118)]"
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way.,6,"[(13004, 41, 121), (13007, 44, 121), (12831, 44, 117), (11393, 6, 118), (11838, 36, 118), (11531, 44, 118)]"
The policy makes a statement about how data from children is treated.,6,"[(10948, 4, 121), (11956, 15, 121), (12761, 4, 117), (12788, 15, 117), (11119, 4, 118), (11403, 15, 118)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",6,"[(10945, 3, 121), (13072, 69, 121), (12760, 3, 117), (12856, 69, 117), (11115, 3, 118), (11527, 69, 118)]"
The site collects your computer information for an unspecified purpose. Collection happens in an unspecified way.,6,"[(12762, 5, 117), (12806, 27, 117), (11706, 5, 118), (11458, 22, 118), (11459, 22, 118), (11482, 27, 118)]"
The site collects your website activities for an unspecified purpose. Collection happens in an unspecified way.,6,"[(12928, 22, 121), (12764, 5, 117), (11451, 21, 118), (11453, 21, 118), (11457, 22, 118), (11465, 23, 118)]"
The site collects your unspecified information for advertising. Collection happens in an unspecified way.,5,"[(13009, 45, 121), (12830, 43, 117), (12832, 45, 117), (11839, 36, 118), (11535, 45, 118)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",5,"[(13067, 67, 121), (12781, 9, 117), (12854, 67, 117), (11733, 9, 118), (11519, 67, 118)]"
An unspecified third party does do something unspecified with unspecified information about you for analytics or research.,4,"[(11496, 39, 118), (11540, 46, 118), (11547, 47, 118), (11549, 48, 118)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,4,"[(10954, 5, 121), (12948, 29, 121), (11716, 5, 118), (11486, 29, 118)]"
An unspecified third party does do something unspecified with your IP address or device IDs for an unspecified purpose.,4,"[(12931, 22, 121), (12935, 24, 121), (12941, 26, 121), (11472, 24, 118)]"
The site collects your unspecified information for legal requirements. Collection happens in an unspecified way.,3,"[(13014, 49, 121), (12836, 49, 117), (11550, 49, 118)]"
The site collects your location information for an unspecified purpose. Collection happens in an unspecified way.,3,"[(12763, 5, 117), (12805, 26, 117), (11709, 5, 118)]"
The site collects your unspecified information for service operations or security. Collection happens in an unspecified way.,3,"[(13015, 49, 121), (11495, 39, 118), (11552, 49, 118)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens in an unspecified way.,3,"[(12929, 22, 121), (12934, 24, 121), (11471, 24, 118)]"
"You can opt out (via a link) from the use of contact information by the site, which uses it for marketing purposes.",3,"[(12778, 8, 117), (11728, 8, 118), (11805, 60, 118)]"
