"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",11,"[(11311, 1, 116), (11589, 27, 116), (11600, 30, 116), (12634, 0, 117), (12635, 1, 117), (12693, 27, 117), (12701, 31, 117), (10531, 0, 118), (10532, 1, 118), (10566, 27, 118), (10562, 30, 118)]"
The policy makes a statement about how data from children is treated.,9,"[(11580, 21, 116), (11581, 22, 116), (11582, 23, 116), (12685, 21, 117), (12686, 22, 117), (12687, 23, 117), (10553, 21, 118), (10554, 22, 118), (10555, 23, 118)]"
The text does not fit into our label scheme.,9,"[(11530, 9, 116), (11557, 13, 116), (11563, 13, 116), (11568, 16, 116), (11572, 18, 116), (11586, 25, 116), (11599, 31, 116), (10616, 16, 118), (10558, 25, 118)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",4,"[(11330, 6, 116), (11570, 17, 116), (10580, 6, 118), (10552, 17, 118)]"
The site collects your unspecified information for service operations or security. Collection happens in an unspecified way.,4,"[(11514, 8, 116), (11522, 9, 116), (10588, 9, 118), (10593, 9, 118)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,4,"[(11319, 4, 116), (11517, 8, 116), (10587, 9, 118), (10592, 9, 118)]"
The site collects your unspecified information for a basic service or feature. Collection happens by some means outside of our label scheme.,3,"[(11317, 4, 116), (11520, 9, 116), (11591, 28, 116)]"
A user's cookies and tracking elements is retained for a stated period of time to fulfill an unspecified purpose.,3,"[(11328, 6, 116), (12651, 6, 117), (10582, 6, 118)]"
An unnamed third party does receive your activities on the website or app for analytics or research. The data is aggregated or anonymized.,3,"[(11551, 12, 116), (12664, 12, 117), (10606, 12, 118)]"
The site collects your website activities for advertising. Collection happens in an unspecified way.,3,"[(11534, 10, 116), (11538, 10, 116), (12661, 10, 117)]"
"You can use privacy configuration settings (in the website or app) to control the use of unspecified information by the site, which uses it for advertising.",2,"[(10556, 25, 118), (10557, 25, 118)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,2,"[(11515, 8, 116), (11523, 9, 116)]"
The site collects your cookies or tracking elements for advertising. Collection happens on other websites.,2,"[(11584, 24, 116), (12689, 24, 117)]"
The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way.,2,"[(12656, 8, 117), (12660, 9, 117)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens in an unspecified way.,2,"[(11315, 3, 116), (10533, 3, 118)]"
The site collects your cookies or tracking elements for a basic service or feature. Collection happens on the website.,2,"[(12640, 2, 117), (12643, 4, 117)]"
The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way.,2,"[(11516, 8, 116), (11528, 9, 116)]"
The site collects your unspecified information for analytics or research. Collection happens by other parts of the company or affiliates.,2,"[(10589, 9, 118), (10594, 9, 118)]"
A user's IP address and device IDs is retained for a stated period of time to fulfill an unspecified purpose.,2,"[(12648, 6, 117), (10581, 6, 118)]"
"You can use privacy configuration settings (in the website or app) to control the use of contact information by the site, which uses it for marketing purposes.",2,"[(11588, 26, 116), (10598, 26, 118)]"
The site collects your unspecified information for personalization or customization. Collection happens by other parts of the company or affiliates.,2,"[(10595, 9, 118), (10596, 9, 118)]"
The site collects your location information for an additional (non-basic) service or feature. Collection happens by a named service or third party.,2,"[(11577, 19, 116), (11578, 20, 116)]"
Another part of the company or institution does receive unspecified information about you for service operations or security.,2,"[(11545, 11, 116), (10550, 11, 118)]"
"You can make a choice about your privacy not described by our label scheme the use of contact information by the site, which uses it for marketing purposes.",2,"[(11587, 26, 116), (10597, 26, 118)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens on the website.,2,"[(11312, 2, 116), (12647, 5, 117)]"
A user's activities on the website or app is retained for an unspecified duration to fulfill an unspecified purpose.,2,"[(11567, 15, 116), (10614, 15, 118)]"
Another part of the company or institution does receive unspecified information about you for legal requirements.,2,"[(11542, 11, 116), (10549, 11, 118)]"
"The site collects your contact information for an unspecified purpose. Collection happens in an unspecified way for users with accounts, and your data is identifiable.",1,"[(10578, 6, 118)]"
The site collects your website activities for a basic service or feature. Collection happens when you implicitly provide information by other parts of the company or affiliates.,1,"[(10551, 17, 118)]"
"You can use privacy configuration settings (in the website or app) to control the use of demographic information by the site, which uses it for advertising.",1,"[(11597, 29, 116)]"
The site collects your website activities for personalization or customization. Collection happens in an unspecified way.,1,"[(11533, 10, 116)]"
An unnamed third party does not collect on the first party website or app your unspecified personal information for an unspecified purpose.,1,"[(10535, 3, 118)]"
The site collects your unspecified information for service operations or security. Collection happens when you explicitly provide information by other websites.,1,"[(10573, 4, 118)]"
An unnamed third party does receive your unspecified personal information for service operations or security. You can opt in for data collection.,1,"[(12663, 11, 117)]"
The site collects your website activities for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,1,"[(11323, 5, 116)]"
The site does not collect your contact information for advertising. Collection happens by other parts of the company or affiliates. You can opt out using the provided link for the use of your information.,1,"[(10560, 29, 118)]"
The site collects your cookies or tracking elements for service operations or security. Collection happens when you implicitly provide information by an unnamed service or third party for users with accounts. You can configure your privacy with browser settings for the collection of your information.,1,"[(10626, 2, 118)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,1,"[(11327, 5, 116)]"
An unnamed third party does receive your activities on the website or app for a purpose outside of our label scheme.,1,"[(11560, 13, 116)]"
"The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information in an unspecified way, and your data is identifiable.",1,"[(10601, 24, 118)]"
