"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",22,"[(16222, 0, 96), (16223, 1, 96), (14013, 2, 103), (16224, 2, 96), (16225, 3, 96), (16226, 4, 96), (14017, 5, 103), (17783, 7, 96), (17807, 16, 96), (18833, 45, 96), (18853, 59, 96), (18854, 60, 96), (18858, 62, 96), (21875, 1, 129), (21876, 2, 129), (21877, 3, 129), (21895, 7, 129), (22115, 16, 129), (22590, 33, 129), (22699, 47, 129), (22643, 55, 129), (22633, 56, 129)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,12,"[(14107, 17, 103), (18733, 17, 96), (14108, 18, 103), (18735, 18, 96), (18738, 20, 96), (18739, 21, 96), (18740, 22, 96), (22117, 18, 129), (22119, 20, 129), (22120, 21, 129), (22121, 22, 129), (22126, 27, 129)]"
The site collects your unspecified information for service operations or security. Collection happens in an unspecified way.,10,"[(14113, 22, 103), (14114, 23, 103), (18741, 23, 96), (14115, 24, 103), (18742, 24, 96), (14116, 25, 103), (18743, 25, 96), (22122, 23, 129), (22123, 24, 129), (22124, 25, 129)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",10,"[(14985, 50, 103), (18840, 50, 96), (15001, 63, 103), (18859, 63, 96), (15002, 64, 103), (18860, 64, 96), (22577, 32, 129), (22719, 50, 129), (22609, 63, 129), (22608, 64, 129)]"
The text describes a specific data practice that is not covered by our label scheme.,10,"[(14012, 1, 103), (14127, 31, 103), (18809, 31, 96), (18849, 56, 96), (14995, 59, 103), (22607, 34, 129), (22718, 50, 129), (22661, 52, 129), (22651, 54, 129), (22626, 59, 129)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",9,"[(14977, 43, 103), (18830, 43, 96), (14993, 57, 103), (18850, 57, 96), (14994, 58, 103), (18851, 58, 96), (22655, 43, 129), (22631, 57, 129), (22627, 58, 129)]"
The policy makes a statement about how data from children is treated.,8,"[(14973, 41, 103), (18828, 41, 96), (14975, 42, 103), (18829, 42, 96), (14976, 43, 103), (22658, 41, 129), (22660, 42, 129), (22656, 43, 129)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens in an unspecified way.,7,"[(14111, 20, 103), (14112, 21, 103), (14118, 27, 103), (14126, 30, 103), (18808, 30, 96), (22116, 17, 129), (22133, 30, 129)]"
The text does not fit into our label scheme.,7,"[(21908, 10, 129), (22578, 32, 129), (22709, 35, 129), (22716, 38, 129), (22704, 44, 129), (22701, 45, 129), (22621, 60, 129)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",7,"[(14014, 4, 103), (18843, 52, 96), (14990, 53, 103), (18844, 53, 96), (14991, 54, 103), (15003, 64, 103), (22652, 53, 129)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",6,"[(14139, 34, 103), (14979, 44, 103), (18832, 44, 96), (14980, 45, 103), (14997, 60, 103), (22702, 44, 129)]"
The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way.,5,"[(14016, 5, 103), (16227, 5, 96), (18736, 19, 96), (21882, 5, 129), (22118, 19, 129)]"
Data is accessible to employees/third parties on a need-to-know basis.,5,"[(14138, 34, 103), (14978, 44, 103), (18831, 44, 96), (18839, 50, 96), (22703, 44, 129)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens in an unspecified way.,4,"[(14034, 11, 103), (17790, 11, 96), (21910, 11, 129), (22103, 12, 129)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,3,"[(14117, 26, 103), (18744, 26, 96), (22125, 26, 129)]"
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way.,3,"[(18734, 17, 96), (18745, 27, 96), (22127, 28, 129)]"
The site collects your location information for an unspecified purpose. Collection happens in an unspecified way.,3,"[(14035, 11, 103), (17791, 11, 96), (21911, 11, 129)]"
You can make no specified choices about the use of cookies and tracking elements by an unspecified party for advertising.,3,"[(14983, 48, 103), (22717, 38, 129), (22698, 48, 129)]"
The site collects your computer information for an unspecified purpose. Collection happens in an unspecified way.,3,"[(14033, 11, 103), (17789, 11, 96), (21909, 11, 129)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified when visiting the website. Users' choices regarding policy changes are not mentioned or are unclear.",3,"[(14999, 61, 103), (18855, 61, 96), (22612, 61, 129)]"
A named third party does receive unspecified information about you for targeted advertising.,2,"[(14142, 37, 103), (22711, 37, 129)]"
A user's information of a type not covered by our label scheme is retained for an unspecified duration to fulfill an unspecified purpose.,2,"[(21881, 4, 129), (22109, 14, 129)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,2,"[(21884, 6, 129), (22102, 12, 129)]"
A named third party does receive your unspecified personal information for service operations or security.,2,"[(14971, 39, 103), (22707, 39, 129)]"
The website ignores Do Not Track headers and the user's Do Not Track preference.,2,"[(18852, 58, 96), (22628, 58, 129)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",2,"[(18838, 49, 96), (22694, 51, 129)]"
"A user can delete their account (although the company or organization may continue to keep some data), within the scope of information explicitly provided by the user.",2,"[(18842, 51, 96), (22692, 51, 129)]"
The site collects your unspecified information for a purpose outside of our label scheme. Collection happens in an unspecified way.,2,"[(16228, 5, 96), (21883, 5, 129)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified in an unspecified manner. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(18857, 61, 96), (22618, 61, 129)]"
The site collects your unspecified information for an unspecified purpose. Collection happens on the website.,2,"[(14025, 7, 103), (14026, 7, 103)]"
