"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",11,"[(4329, 0, 95), (13524, 0, 123), (4330, 1, 95), (5351, 2, 103), (5375, 3, 103), (4337, 5, 95), (6000, 8, 103), (13804, 19, 123), (4398, 30, 95), (13968, 30, 123), (4412, 35, 95)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,8,"[(4374, 15, 95), (6320, 15, 103), (13776, 15, 123), (4376, 16, 95), (6323, 16, 103), (13779, 16, 123), (4404, 34, 95), (7466, 34, 103)]"
The policy makes a statement about how data from children is treated.,6,"[(13582, 5, 123), (13588, 5, 123), (4414, 37, 95), (7472, 37, 103), (13985, 37, 123), (4415, 38, 95)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",6,"[(13600, 5, 123), (13983, 36, 123), (13986, 38, 123), (4417, 40, 95), (7475, 40, 103), (13990, 40, 123)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,6,"[(4363, 9, 95), (13706, 9, 123), (4364, 10, 95), (6042, 10, 103), (13770, 12, 123), (4400, 31, 95)]"
The text does not fit into our label scheme.,6,"[(4633, 1, 103), (5876, 5, 103), (4397, 29, 95), (13953, 32, 123), (13980, 35, 123), (13989, 39, 123)]"
The site collects your unspecified information for advertising. Collection happens in an unspecified way.,5,"[(6052, 11, 103), (13774, 13, 123), (4402, 33, 95), (4405, 34, 95), (7467, 34, 103)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",5,"[(13579, 5, 123), (13587, 5, 123), (4413, 36, 95), (7470, 36, 103), (13981, 36, 123)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",4,"[(4332, 3, 95), (13581, 5, 123), (13589, 5, 123), (4416, 39, 95)]"
A specific security measure not covered above.,3,"[(4396, 29, 95), (7460, 29, 103), (13949, 29, 123)]"
The site collects your unspecified information for service operations or security. Collection happens in an unspecified way.,3,"[(4375, 15, 95), (6319, 15, 103), (13778, 15, 123)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,3,"[(13593, 5, 123), (13705, 8, 123), (4406, 34, 95)]"
The policy makes a statement about data from a demographic outside of our label scheme.,3,"[(4333, 3, 95), (13987, 38, 123), (7474, 39, 103)]"
The site collects your user profile for a basic service or feature. Collection happens in an unspecified way.,2,"[(13707, 10, 123), (13710, 11, 123)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users have no options regarding the change.",2,"[(13509, 1, 123), (5879, 4, 103)]"
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way.,2,"[(6033, 9, 103), (13773, 13, 123)]"
You can choose not to use a service or feature to avoid the use of unspecified information by an unspecified party for an unspecified purpose.,2,"[(5352, 2, 103), (13523, 2, 123)]"
"You can opt in for the use of contact information by the site, which uses it for an unspecified purpose.",2,"[(4379, 18, 95), (13803, 18, 123)]"
Security measures are not mentioned or unclear.,2,"[(13584, 5, 123), (13586, 5, 123)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(13702, 7, 123), (13703, 7, 123)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",2,"[(4395, 28, 95), (13948, 28, 123)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens in an unspecified way.,2,"[(7462, 31, 103), (13951, 31, 123)]"
"A user can access, edit, or delete personal information in an unspecified manner, within the scope of unspecified user information.",2,"[(13597, 5, 123), (13598, 5, 123)]"
An unnamed third party does receive unspecified information about you for mergers or acquisitions.,2,"[(4389, 23, 95), (13826, 23, 123)]"
An unnamed third party does receive your contact information for a basic service or feature.,2,"[(13805, 20, 123), (13819, 21, 123)]"
"The site collects your demographic information for an unspecified purpose. Collection happens when you explicitly provide information on the website, and your data is aggregated or anonymized.",2,"[(13700, 7, 123), (13701, 7, 123)]"
The site collects your location information for legal requirements. Collection happens in an unspecified way.,1,"[(13933, 24, 123)]"
"The site collects your location information for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable.",1,"[(13944, 26, 123)]"
An unnamed third party does track on the first party website or app unspecified information about you for analytics or research.,1,"[(4408, 34, 95)]"
An unnamed third party does do something unspecified with unspecified information about you for a purpose outside of our label scheme.,1,"[(7469, 35, 103)]"
An unnamed third party does receive your user profile for a basic service or feature.,1,"[(13813, 21, 123)]"
The site collects your unspecified information for legal requirements. Collection happens in an unspecified way.,1,"[(13777, 15, 123)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way. You can choose not to use the service or feature for the collection of your information.,1,"[(4359, 7, 95)]"
An unspecified third party does do something unspecified with unspecified information about you for an unspecified purpose.,1,"[(13594, 5, 123)]"
An unnamed third party does receive your IP address or device IDs for a basic service or feature.,1,"[(13814, 21, 123)]"
A third party outside of our label scheme does do something unspecified with your unspecified personal information for service operations or security.,1,"[(6574, 24, 103)]"
"A user can view their information, within the scope of information the company has learned about the user.",1,"[(13982, 36, 123)]"
"The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable.",1,"[(6607, 26, 103)]"
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens in the mobile app, and your data is identifiable.",1,"[(4371, 14, 95)]"
"A user with an account can use privacy configuration settings (in the website or app) to control the use of contact information by the site, which uses it for a basic service or feature.",1,"[(13781, 17, 123)]"
"The site collects your generic personal information for marketing purposes. Collection happens in the mobile app, and your data is identifiable. You can choose not to use the service or feature for the collection and use of your information.",1,"[(4351, 6, 95)]"
"A user can edit their information, within the scope of unspecified user information.",1,"[(7476, 27, 103)]"
"The site collects your contact information for marketing purposes. Collection happens on the website, and your data is identifiable.",1,"[(13694, 6, 123)]"
An unnamed third party does track on the first party website or app your cookies or tracking elements for targeted advertising.,1,"[(13977, 34, 123)]"
"The site collects your location information for marketing purposes. Collection happens in the mobile app, and your data is identifiable. You can opt in for data collection.",1,"[(13697, 6, 123)]"
"The site collects an information type outside of our label scheme for a purpose outside of our label scheme. Collection happens by some means outside of our label scheme, and your data is aggregated or anonymized.",1,"[(6602, 25, 103)]"
An unnamed third party does receive your unspecified personal information for legal requirements.,1,"[(13809, 20, 123)]"
An unspecified third party does do something outside of our label scheme with unspecified information about you for a purpose outside of our label scheme. The data is aggregated or anonymized.,1,"[(6601, 25, 103)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens in an unspecified way.,1,"[(13596, 5, 123)]"
"You can opt out (via a link) from the use of unspecified information by the site, which collects it for an unspecified purpose.",1,"[(13947, 27, 123)]"
The site collects your cookies or tracking elements for advertising. Collection happens by an unnamed service or third party.,1,"[(13955, 33, 123)]"
An unnamed third party does receive your contact information for an additional (non-basic) service or feature.,1,"[(13820, 21, 123)]"
An unnamed third party does receive your location information for a basic service or feature.,1,"[(13812, 21, 123)]"
"The site collects your website activities for an unspecified purpose. Collection happens when you explicitly provide information on the website, and your data is aggregated or anonymized.",1,"[(13704, 7, 123)]"
"The site collects your contact information for a basic service or feature. Collection happens on the website for users with accounts, and your data is identifiable. You can choose not to use the service or feature for the collection and use of your information.",1,"[(4345, 6, 95)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in the mobile app.,1,"[(13775, 14, 123)]"
"When a change of an unspecified nature is made to the privacy policy, users receive no notification. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(4334, 4, 95)]"
"The site collects your generic personal information for marketing purposes. Collection happens on the website, and your data is identifiable. You can choose not to use the service or feature for the collection and use of your information.",1,"[(4347, 6, 95)]"
An unnamed third party does not receive unspecified information about you for an unspecified purpose. The data is personally identifiable.,1,"[(4384, 19, 95)]"
The site collects your generic personal information for marketing purposes. Collection happens by some means outside of our label scheme.,1,"[(6312, 6, 103)]"
"The site collects your contact information for a basic service or feature. Collection happens in an unspecified way, and your data is identifiable. You can configure your privacy with user settings provided by the site for the use of your information.",1,"[(4378, 17, 95)]"
"The site collects your computer information for an unspecified purpose. Collection happens when you explicitly provide information on the website, and your data is aggregated or anonymized.",1,"[(13698, 7, 123)]"
An unnamed third party does do something unspecified with unspecified information about you for mergers or acquisitions.,1,"[(6490, 23, 103)]"
"The site collects your user profile for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable.",1,"[(13945, 26, 123)]"
"The site collects your location information for an unspecified purpose. Collection happens in the mobile app, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(4350, 6, 95)]"
An unnamed third party does receive your IP address or device IDs for an additional (non-basic) service or feature.,1,"[(13818, 21, 123)]"
An unnamed third party does receive unspecified information about you for targeted advertising.,1,"[(4403, 33, 95)]"
The site collects your contact information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(6076, 12, 103)]"
"A user can access, edit, or delete personal information in an unspecified manner, within the scope of information the company has learned about the user.",1,"[(4394, 27, 95)]"
An unnamed third party does do something unspecified with unspecified information about you for targeted advertising.,1,"[(4410, 34, 95)]"
"The site collects your cookies or tracking elements for an unspecified purpose. Collection happens in an unspecified way, and your data's identifiability is not covered by our label scheme.",1,"[(4358, 7, 95)]"
"The site collects your contact information for a basic service or feature. Collection happens in an unspecified way, and your data is identifiable. You can opt out using the provided link for the use of your information.",1,"[(4377, 17, 95)]"
"The site collects your website activities for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(13939, 25, 123)]"
An unnamed third party does receive your user profile for legal requirements.,1,"[(13806, 20, 123)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by an unspecified party for an unspecified purpose.,1,"[(7464, 32, 103)]"
"The site collects your location information for advertising. Collection happens in an unspecified way, and your data is identifiable. You can configure your privacy with browser settings.",1,"[(6315, 6, 103)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens in an unspecified way.,1,"[(7463, 31, 103)]"
The site collects your IP address or device IDs for service operations or security. Collection happens in an unspecified way.,1,"[(13938, 24, 123)]"
An unnamed third party does receive your IP address or device IDs for legal requirements.,1,"[(13807, 20, 123)]"
The site collects your contact information for legal requirements. Collection happens in an unspecified way.,1,"[(13931, 24, 123)]"
"The site collects your demographic information for an unspecified purpose. Collection happens in an unspecified way, and your data's identifiability is not covered by our label scheme.",1,"[(4353, 7, 95)]"
The site collects your contact information for marketing purposes. Collection happens by some means outside of our label scheme. You can configure your privacy with user settings provided by the site.,1,"[(6324, 17, 103)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens in an unspecified way.,1,"[(4365, 10, 95)]"
"The site collects your contact information for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable.",1,"[(13943, 26, 123)]"
"The site collects your IP address or device IDs for marketing purposes. Collection happens on the website, and your data is identifiable.",1,"[(13692, 6, 123)]"
An unnamed third party does receive unspecified information about you for a basic service or feature. The data is personally identifiable.,1,"[(4383, 20, 95)]"
The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way.,1,"[(7468, 34, 103)]"
The site collects your unspecified information for a basic service or feature. Collection happens on the website.,1,"[(4399, 31, 95)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in the mobile app.,1,"[(13516, 2, 123)]"
"A type of user outside of our label scheme can delete their account (with the company or organization removing all data), within the scope of information the company has learned about the user.",1,"[(7473, 38, 103)]"
The public does see unspecified information about you for an unspecified purpose.,1,"[(13821, 21, 123)]"
"The site collects your cookies or tracking elements for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(5999, 7, 103)]"
A third party outside of our label scheme does do something unspecified with information about you not covered by our label scheme for marketing purposes.,1,"[(6313, 6, 103)]"
"The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way, and your data is aggregated or anonymized.",1,"[(5996, 7, 103)]"
The site collects your IP address or device IDs for marketing purposes. Collection happens in an unspecified way.,1,"[(6311, 6, 103)]"
"You can opt in for the use of contact information by the site, which uses it for an additional (non-basic) service or feature.",1,"[(6326, 18, 103)]"
An unnamed third party does receive your location information for an additional (non-basic) service or feature.,1,"[(13816, 21, 123)]"
The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way.,1,"[(13709, 11, 123)]"
The site collects your IP address or device IDs for legal requirements. Collection happens in an unspecified way.,1,"[(13935, 24, 123)]"
The site collects your unspecified information for a purpose outside of our label scheme. Collection happens in an unspecified way.,1,"[(4360, 8, 95)]"
You can opt in for the use of location information by an unspecified party for marketing purposes.,1,"[(7459, 6, 103)]"
An unnamed third party does receive unspecified information about you for a purpose outside of our label scheme. The identifiability of the data is not covered by our label scheme.,1,"[(4392, 25, 95)]"
The site collects an information type outside of our label scheme for marketing purposes. Collection happens in an unspecified way.,1,"[(4366, 11, 95)]"
An unnamed third party does receive your location information for a basic service or feature. The data is personally identifiable.,1,"[(13823, 22, 123)]"
An unnamed third party does receive unspecified information about you for legal requirements. The data is personally identifiable.,1,"[(4390, 24, 95)]"
An unnamed third party does do something unspecified with unspecified information about you for an unspecified purpose.,1,"[(4411, 34, 95)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of unspecified information by an unspecified party for an unspecified purpose.,1,"[(4401, 32, 95)]"
The site collects your location information for service operations or security. Collection happens in an unspecified way.,1,"[(13936, 24, 123)]"
A named third party does receive your unspecified personal information for a purpose outside of our label scheme.,1,"[(6330, 20, 103)]"
"When a change of an unspecified nature is made to the privacy policy, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(13771, 12, 123)]"
"The site collects your contact information for a basic service or feature. Collection happens in an unspecified way, and your data is identifiable.",1,"[(4367, 12, 95)]"
"The site collects your IP address or device IDs for an unspecified purpose. Collection happens in the mobile app, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(4349, 6, 95)]"
