"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",12,"[(16324, 0, 129), (16325, 1, 129), (17905, 0, 132), (17906, 1, 132), (17907, 2, 132), (17912, 5, 132), (17950, 37, 132), (17951, 38, 132), (17952, 39, 132), (15503, 0, 127), (15504, 1, 127), (15505, 2, 127)]"
The text does not fit into our label scheme.,11,"[(16326, 2, 129), (16362, 38, 129), (16361, 39, 129), (17937, 26, 132), (15525, 9, 127), (15537, 15, 127), (15544, 18, 127), (15590, 25, 127), (15900, 30, 127), (15579, 38, 127), (15580, 39, 127)]"
The policy makes a statement about how data from children is treated.,6,"[(16365, 35, 129), (16364, 36, 129), (17948, 35, 132), (17949, 36, 132), (15576, 35, 127), (15577, 36, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,6,"[(16334, 5, 129), (16379, 25, 129), (16380, 26, 129), (16369, 32, 129), (17918, 9, 132), (15586, 20, 127)]"
"The site collects your IP address or device IDs for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",4,"[(16329, 3, 129), (16347, 13, 129), (17922, 13, 132), (15529, 13, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",3,"[(16366, 34, 129), (17947, 34, 132), (15575, 34, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",3,"[(16367, 33, 129), (17946, 33, 132), (15574, 33, 127)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens on the website.,3,"[(17942, 29, 132), (17943, 30, 132), (17944, 31, 132)]"
"The site collects your computer information for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",3,"[(16348, 13, 129), (17923, 13, 132), (15530, 13, 127)]"
"The site collects your demographic information for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized.",2,"[(16384, 28, 129), (15568, 28, 127)]"
The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way. You can opt in for data collection for the collection of your information.,2,"[(15526, 10, 127), (15527, 11, 127)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by an unspecified party for an unspecified purpose.,2,"[(16352, 15, 129), (17925, 15, 132)]"
The site collects your generic personal information for a purpose outside of our label scheme. Collection happens on the website. You can opt in for data collection for the collection of your information.,2,"[(16343, 10, 129), (16344, 11, 129)]"
"The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",2,"[(16351, 14, 129), (15532, 14, 127)]"
An unspecified third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,2,"[(16378, 24, 129), (15560, 24, 127)]"
"The site collects your location information for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized.",2,"[(16385, 28, 129), (15570, 28, 127)]"
"You can opt in for the use of unspecified information by the site, which collects it for an unspecified purpose.",2,"[(15512, 4, 127), (15523, 9, 127)]"
"The site collects your website activities for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",2,"[(16350, 13, 129), (15531, 13, 127)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens in an unspecified way.,2,"[(16388, 29, 129), (16389, 30, 129)]"
An unspecified third party does receive your unspecified personal information for legal requirements. The data is personally identifiable.,2,"[(16377, 24, 129), (15559, 24, 127)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens on the website.,2,"[(17913, 6, 132), (17917, 8, 132)]"
The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens on the website. You can opt in for data collection.,2,"[(17919, 10, 132), (17920, 11, 132)]"
"The site collects your IP address or device IDs for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized.",2,"[(16383, 28, 129), (15566, 28, 127)]"
"The site collects your location information for personalization or customization. Collection happens in an unspecified way, and your data is aggregated or anonymized.",2,"[(16386, 28, 129), (15569, 28, 127)]"
"The site collects your generic personal information for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",2,"[(16345, 12, 129), (17921, 12, 132)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens on the website.,2,"[(17909, 3, 132), (17924, 14, 132)]"
"The site collects your financial information for an unspecified purpose. Collection happens on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(16333, 4, 129)]"
A named third party does receive your unspecified personal information for a basic service or feature. The data is personally identifiable.,1,"[(16375, 22, 129)]"
A named third party does see unspecified information about you for an unspecified purpose. The data is personally identifiable.,1,"[(15551, 21, 127)]"
The site collects your contact information for service operations or security. Collection happens when you explicitly provide information in an unspecified way.,1,"[(15582, 20, 127)]"
The site collects your financial information for a basic service or feature. Collection happens on the website. You can opt in for data collection for the collection of your information.,1,"[(16338, 7, 129)]"
The public does see unspecified information about you for an additional (non-basic) service or feature. You can opt in for data collection.,1,"[(17936, 25, 132)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users have no options regarding the change.",1,"[(16363, 37, 129)]"
The public does see unspecified information about you for an additional (non-basic) service or feature. You can opt in for data collection for the collection or sharing of your information.,1,"[(15587, 25, 127)]"
"The site collects your IP address or device IDs for an additional (non-basic) service or feature. Collection happens on the website for a user type outside of our label scheme, and your data is aggregated or anonymized.",1,"[(15508, 3, 127)]"
A user's financial information is retained for an unspecified duration to fulfill an unspecified purpose.,1,"[(16340, 7, 129)]"
The site collects your cookies or tracking elements for a purpose outside of our label scheme. Collection happens in an unspecified way.,1,"[(16391, 31, 129)]"
A third party outside of our label scheme does not receive your unspecified personal information for a purpose outside of our label scheme. The data is personally identifiable. You can opt in for data collection for the use of your information.,1,"[(16353, 16, 129)]"
"A user without an account can opt out (via a link) from the use of unspecified information by the site, which uses it for an unspecified purpose.",1,"[(16370, 32, 129)]"
"You can opt in for the use of contact information by the site, which collects it for an unspecified purpose.",1,"[(15513, 4, 127)]"
The site collects your IP address or device IDs for analytics or research. Collection happens on the website.,1,"[(17941, 28, 132)]"
The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with browser settings for the use of your information.,1,"[(15898, 30, 127)]"
An unnamed third party does receive your unspecified personal information for legal requirements.,1,"[(17935, 24, 132)]"
"The site collects an information type outside of our label scheme for a purpose outside of our label scheme. Collection happens on the website, and your data is identifiable. You can configure your privacy using a method outside our label scheme for the collection of your information.",1,"[(16342, 9, 129)]"
A named third party does do something unspecified with your cookies or tracking elements for a basic service or feature.,1,"[(15591, 31, 127)]"
The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information in an unspecified way.,1,"[(15584, 20, 127)]"
The site collects your contact information for analytics or research. Collection happens in an unspecified way.,1,"[(16372, 20, 129)]"
A named third party does see unspecified information about you for a basic service or feature. The data is personally identifiable.,1,"[(15552, 21, 127)]"
A third party outside of our label scheme does not receive unspecified information about you for an unspecified purpose. The data is personally identifiable.,1,"[(15540, 16, 127)]"
"The site collects your generic personal information for an unspecified purpose. Collection happens on the website, and your data is identifiable.",1,"[(16327, 3, 129)]"
The site collects your financial information for a basic service or feature. Collection happens on the website.,1,"[(16336, 6, 129)]"
"You can make no specified choices about the use of contact information by the site, which uses it for a basic service or feature.",1,"[(15562, 27, 127)]"
The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens when you implicitly provide information in an unspecified way.,1,"[(15571, 29, 127)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature.,1,"[(17932, 21, 132)]"
"You can opt out (by contacting the company) from the use of contact information by a third party, which collects or receives it for an unspecified purpose.",1,"[(15556, 23, 127)]"
The site does not collect your financial information for an unspecified purpose. Collection happens on the website. You can opt in for data collection.,1,"[(17911, 4, 132)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens on the website.,1,"[(17908, 3, 132)]"
The site does not collect your contact information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(15535, 14, 127)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens on the website. You can opt in for data collection.,1,"[(17915, 7, 132)]"
An unnamed third party does receive your contact information for marketing purposes. You can opt out by contacting the company.,1,"[(17934, 23, 132)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts. You can opt in for data collection for the collection of your information.,1,"[(15517, 5, 127)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",1,"[(17945, 32, 132)]"
"The site collects your contact information for an unspecified purpose. Collection happens on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(16332, 4, 129)]"
The site collects your contact information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,1,"[(15581, 20, 127)]"
"The site collects an information type outside of our label scheme for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(16382, 28, 129)]"
The site collects your contact information for analytics or research. Collection happens when you explicitly provide information in an unspecified way.,1,"[(15583, 20, 127)]"
A named third party does do something unspecified with your contact information for service operations or security. This applies to a user type outside of our label scheme.,1,"[(15547, 19, 127)]"
A named third party does receive your unspecified personal information for an additional (non-basic) service or feature.,1,"[(17933, 22, 132)]"
"You can opt in for the use of contact information by the site, which collects it for an additional (non-basic) service or feature.",1,"[(15524, 9, 127)]"
The site collects your IP address or device IDs for personalization or customization. Collection happens on the website.,1,"[(17939, 28, 132)]"
An unnamed third party does receive unspecified information about you for a basic service or feature. The data is personally identifiable.,1,"[(15554, 22, 127)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens in an unspecified way.,1,"[(16387, 29, 129)]"
A named third party does receive your contact information for an unspecified purpose. You can opt out by contacting the company for the use of your information.,1,"[(16376, 23, 129)]"
"The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens on the website for a user type outside of our label scheme, and your data is aggregated or anonymized.",1,"[(15509, 3, 127)]"
"You can make a choice about your privacy not described by our label scheme the use of unspecified information by the site, which uses it for an unspecified purpose.",1,"[(16381, 27, 129)]"
"The site collects your unspecified information for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(15564, 28, 127)]"
A user's contact information is retained for an unspecified duration to fulfill an unspecified purpose.,1,"[(16339, 7, 129)]"
"The site collects your IP address or device IDs for personalization or customization. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(15565, 28, 127)]"
A user's generic personal information is retained for an unspecified duration to perform analytics or research.,1,"[(16346, 12, 129)]"
"The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(16349, 13, 129)]"
"You can opt out (via a link) from the use of generic personal information by the site, which collects it for a purpose outside of our label scheme.",1,"[(16359, 18, 129)]"
Another part of the company or institution does receive unspecified information about you for a basic service or feature. The data is personally identifiable.,1,"[(15555, 22, 127)]"
"The site does not collect your unspecified information for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(15510, 4, 127)]"
"When a change is made to the privacy policy that significantly affects data practices, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(15578, 37, 127)]"
"You can opt out (via a link) from the use of generic personal information by the site, which uses it for a purpose outside of our label scheme.",1,"[(16358, 18, 129)]"
"You can opt out (via a link) from the use of generic personal information by the site, which collects it for an unspecified purpose.",1,"[(17928, 18, 132)]"
The site collects your contact information for marketing purposes. Collection happens in an unspecified way.,1,"[(16373, 20, 129)]"
"The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(15563, 28, 127)]"
"You can opt in for the use of financial information by the site, which collects it for an unspecified purpose.",1,"[(15514, 4, 127)]"
"The site collects your cookies or tracking elements for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(16330, 3, 129)]"
The site collects your contact information for a basic service or feature. Collection happens on the website.,1,"[(16335, 6, 129)]"
The site collects your financial information for an additional (non-basic) service or feature. Collection happens on the website.,1,"[(17914, 6, 132)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way for users with accounts.,1,"[(15561, 26, 127)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,1,"[(17931, 20, 132)]"
"The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on other websites, and your data is aggregated or anonymized.",1,"[(15899, 30, 127)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website for a user type outside of our label scheme. You can opt in for data collection for the collection of your information.,1,"[(15520, 7, 127)]"
"The site collects your unspecified information for an unspecified purpose. Collection happens on the website for a user type outside of our label scheme, and your data is aggregated or anonymized.",1,"[(15507, 3, 127)]"
The site collects your contact information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,1,"[(15522, 8, 127)]"
The site collects your financial information for an additional (non-basic) service or feature. Collection happens on the website. You can opt in for data collection.,1,"[(17916, 7, 132)]"
An unnamed third party does receive unspecified information about you for a basic service or feature.,1,"[(17930, 19, 132)]"
The public does see unspecified information about you for marketing purposes. You can opt in for data collection for the collection or sharing of your information.,1,"[(15589, 25, 127)]"
The site collects your generic personal information for marketing purposes. Collection happens on the website.,1,"[(17927, 17, 132)]"
The public does see your user profile for an additional (non-basic) service or feature. You can opt in for data collection for the collection or sharing of your information.,1,"[(15588, 25, 127)]"
"The site collects your cookies or tracking elements for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(16390, 30, 129)]"
Data is accessible to employees/third parties on a need-to-know basis.,1,"[(15553, 21, 127)]"
"The site collects your unspecified information for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(16328, 3, 129)]"
"You can opt out (via a link) from the use of generic personal information by the site, which uses it for an unspecified purpose.",1,"[(17929, 18, 132)]"
The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens when you implicitly provide information on the website. You can make a choice about the use of your information.,1,"[(15897, 30, 127)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,1,"[(17926, 16, 132)]"
"The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(16331, 4, 129)]"
The site collects your contact information for a basic service or feature. Collection happens in an unspecified way.,1,"[(16371, 20, 129)]"
The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information on the website for a user type outside of our label scheme. You can opt in for data collection for the collection of your information.,1,"[(15521, 7, 127)]"
The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information on the website. You can opt in for data collection for the collection of your information.,1,"[(15519, 6, 127)]"
"Users with accounts can edit their information, within the scope of unspecified user information.",1,"[(15903, 32, 127)]"
The site collects your demographic information for personalization or customization. Collection happens on the website.,1,"[(17940, 28, 132)]"
"The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable.",1,"[(15543, 17, 127)]"
"The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you implicitly provide information on the website for a user type outside of our label scheme, and your data is aggregated or anonymized.",1,"[(15528, 12, 127)]"
"A user can edit their information, within the scope of user information outside of our label scheme.",1,"[(16368, 32, 129)]"
An unnamed third party does not receive unspecified information about you for an unspecified purpose. The data is personally identifiable. You can opt in for data collection for the collection or sharing of your information.,1,"[(15538, 16, 127)]"
A named third party does do something unspecified with your cookies or tracking elements for an additional (non-basic) service or feature.,1,"[(15592, 31, 127)]"
