"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",9,"[(4606, 1, 96), (7873, 1, 103), (4616, 6, 96), (4645, 9, 96), (4669, 19, 96), (4677, 23, 96), (17760, 23, 123), (4678, 24, 96), (17761, 24, 123)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",6,"[(16736, 1, 123), (7943, 10, 103), (4676, 22, 96), (7964, 22, 103), (17758, 22, 123), (7965, 23, 103)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",6,"[(4680, 26, 96), (7969, 26, 103), (17763, 26, 123), (4681, 27, 96), (7970, 27, 103), (17765, 27, 123)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",5,"[(17753, 20, 123), (4679, 25, 96), (7968, 25, 103), (17762, 25, 123), (17766, 27, 123)]"
The site collects your IP address or device IDs for analytics or research. Collection happens in an unspecified way.,3,"[(4643, 8, 96), (7892, 8, 103), (17719, 8, 123)]"
The site collects your unspecified information for an unspecified purpose. Collection happens on the website.,3,"[(16734, 1, 123), (7875, 3, 103), (16744, 3, 123)]"
The text does not fit into our label scheme.,3,"[(4605, 0, 96), (7939, 0, 103), (17750, 18, 123)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",3,"[(15895, 0, 123), (7874, 2, 103), (16737, 2, 123)]"
The site collects your unspecified information for personalization or customization. Collection happens on the website.,2,"[(7944, 11, 103), (17727, 11, 123)]"
The site collects your unspecified information for legal requirements. Collection happens in an unspecified way.,2,"[(7955, 15, 103), (7956, 16, 103)]"
The text describes a specific data practice that is not covered by our label scheme.,2,"[(4668, 18, 96), (4673, 20, 96)]"
An unspecified third party does receive unspecified information about you for service operations or security.,2,"[(4663, 15, 96), (4665, 16, 96)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by an unspecified party for a basic service or feature.,2,"[(7963, 21, 103), (17757, 21, 123)]"
An unnamed third party does receive your activities on the website or app for personalization or customization.,2,"[(4659, 14, 96), (7951, 14, 103)]"
An unspecified third party does receive unspecified information about you for legal requirements.,2,"[(4662, 15, 96), (4664, 16, 96)]"
A named third party does receive your financial information for a basic service or feature.,2,"[(7942, 10, 103), (17739, 15, 123)]"
An unnamed third party does receive unspecified information about you for service operations or security.,2,"[(17744, 15, 123), (17746, 16, 123)]"
"A user can edit their information, within the scope of unspecified user information.",2,"[(7960, 18, 103), (17748, 18, 123)]"
An unnamed third party does receive unspecified information about you for legal requirements.,2,"[(17743, 15, 123), (17745, 16, 123)]"
The site collects your website activities for personalization or customization. Collection happens in an unspecified way.,1,"[(7950, 14, 103)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts.,1,"[(17570, 4, 123)]"
The site collects your user profile for an unspecified purpose. Collection happens when you explicitly provide information by other websites. You can choose not to use the service or feature for the collection of your information.,1,"[(4618, 6, 96)]"
The site does not collect your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website.,1,"[(17573, 4, 123)]"
The site collects your generic personal information for advertising. Collection happens in an unspecified way.,1,"[(7948, 13, 103)]"
"You can make a choice about your privacy not described by our label scheme the use of unspecified information by the site, which collects it for an unspecified purpose.",1,"[(16738, 2, 123)]"
The site collects your IP address or device IDs for a basic service or feature. Collection happens in an unspecified way.,1,"[(4644, 8, 96)]"
An unspecified third party does receive your user profile for a purpose outside of our label scheme. You can choose not to use the service or feature for the use of your information.,1,"[(4653, 12, 96)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information on the website. You can configure your privacy with browser settings.,1,"[(7961, 19, 103)]"
"You can opt out (via a link) from the use of cookies and tracking elements by a third party, which uses it for advertising.",1,"[(7958, 17, 103)]"
A named third party does receive your unspecified personal information for a basic service or feature.,1,"[(17740, 15, 123)]"
The site collects your unspecified information for a purpose outside of our label scheme. Collection happens on the website.,1,"[(7946, 12, 103)]"
An unnamed third party does receive your cookies or tracking elements for targeted advertising. The data is aggregated or anonymized. You can opt out using the provided link.,1,"[(7957, 17, 103)]"
"You can choose not to use a service or feature to avoid the use of unspecified information by the site, which collects it for an unspecified purpose.",1,"[(4607, 2, 96)]"
The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information on the website.,1,"[(7941, 10, 103)]"
The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts.,1,"[(16746, 4, 123)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified in a manner outside of our label scheme. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(4609, 2, 96)]"
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(4611, 4, 96)]"
"You can choose not to use a service or feature to avoid the use of unspecified information by the site, which uses it for an unspecified purpose.",1,"[(4608, 2, 96)]"
The site collects your financial information for service operations or security. Collection happens when you explicitly provide information in an unspecified way.,1,"[(7952, 15, 103)]"
"A user type outside of our label scheme can opt in for the use of generic personal information by the site, which collects it for an unspecified purpose.",1,"[(7882, 6, 103)]"
An unnamed third party does receive information about you not covered by our label scheme for a purpose outside of our label scheme.,1,"[(7947, 12, 103)]"
The site does not collect your financial information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(17722, 10, 123)]"
"The site collects your unspecified information for advertising. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1,"[(4650, 11, 96)]"
The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens by a named service or third party.,1,"[(17577, 6, 123)]"
An unspecified third party does receive your contact information for a basic service or feature. The data is personally identifiable. You can choose not to use the service or feature for the use of your information.,1,"[(4656, 12, 96)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,1,"[(16743, 3, 123)]"
The site collects your user profile for an unspecified purpose. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the use of your information.,1,"[(4615, 5, 96)]"
The site collects your contact information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,1,"[(7878, 4, 103)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website for users with accounts.,1,"[(17589, 7, 123)]"
The site collects your website activities for a purpose outside of our label scheme. Collection happens when you explicitly provide information by some means outside of our label scheme.,1,"[(7879, 5, 103)]"
"The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1,"[(4652, 11, 96)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in the mobile app.,1,"[(16740, 1, 123)]"
An unnamed third party does collect on the first party website or app your activities on the website or app for analytics or research. The identifiability of the data is not covered by our label scheme.,1,"[(4658, 13, 96)]"
"The site collects your unspecified information for personalization or customization. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1,"[(4649, 11, 96)]"
A named third party does do something unspecified with unspecified information about you for targeted advertising. The data is aggregated or anonymized.,1,"[(17735, 13, 123)]"
An unnamed third party does collect on the first party website or app information about you not covered by our label scheme for targeted advertising. The identifiability of the data is not covered by our label scheme. You can configure your privacy with third-party user settings for the use of your information.,1,"[(4666, 17, 96)]"
The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens on the website.,1,"[(7876, 3, 103)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens in an unspecified way.,1,"[(7940, 9, 103)]"
An unnamed third party does not receive unspecified information about you for a basic service or feature.,1,"[(17738, 15, 123)]"
"You can make a choice about your privacy not described by our label scheme the use of unspecified information by the site, which uses it for an unspecified purpose.",1,"[(16739, 2, 123)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website.,1,"[(17730, 11, 123)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(7889, 7, 103)]"
