"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",17,"[(20421, 0, 129), (20422, 1, 129), (20458, 22, 129), (20451, 39, 129), (20449, 41, 129), (20092, 0, 131), (20093, 1, 131), (20112, 6, 131), (20133, 14, 131), (20372, 39, 131), (20374, 41, 131), (20603, 0, 132), (20604, 1, 132), (20605, 2, 132), (20622, 14, 132), (20710, 22, 132), (20726, 39, 132)]"
The text describes a specific data practice that is not covered by our label scheme.,15,"[(20423, 2, 129), (20442, 10, 129), (20454, 18, 129), (20455, 19, 129), (20460, 23, 129), (20464, 27, 129), (20465, 28, 129), (20486, 37, 129), (20095, 2, 131), (20110, 5, 131), (20121, 8, 131), (20123, 10, 131), (20346, 28, 131), (20353, 29, 131), (20363, 34, 131)]"
The text does not fit into our label scheme.,8,"[(20446, 14, 129), (20488, 38, 129), (20125, 10, 131), (20132, 13, 131), (20139, 19, 131), (20345, 27, 131), (20707, 19, 132), (20715, 27, 132)]"
A named third party does track on the first party website or app your cookies or tracking elements for targeted advertising.,5,"[(20119, 8, 131), (20126, 11, 131), (20373, 40, 131), (20616, 11, 132), (20727, 40, 132)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",4,"[(20466, 31, 129), (20468, 32, 129), (20357, 31, 131), (20719, 31, 132)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",4,"[(20448, 42, 129), (20375, 42, 131), (20728, 41, 132), (20729, 42, 132)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",4,"[(20467, 32, 129), (20358, 32, 131), (20359, 33, 131), (20720, 32, 132)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens on the website.,3,"[(20105, 5, 131), (20114, 7, 131), (20118, 7, 131)]"
A named third party does do something unspecified with your activities on the website or app for targeted advertising.,3,"[(20441, 10, 129), (20487, 38, 129), (20371, 38, 131)]"
An unspecified third party does receive your unspecified personal information for legal requirements.,3,"[(20456, 20, 129), (20140, 20, 131), (20708, 20, 132)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users must agree before their data is treated according to the new privacy policy.",2,"[(20369, 37, 131), (20724, 37, 132)]"
The company/organization trains its employees/third parties in applicable privacy and security practices to protect user data.,2,"[(20477, 33, 129), (20362, 33, 131)]"
The site collects your unspecified information for personalization or customization. Collection happens by an unnamed service or third party.,2,"[(20433, 5, 129), (20108, 5, 131)]"
A named third party does track on the first party website or app your activities on the website or app for targeted advertising.,2,"[(20614, 9, 132), (20725, 38, 132)]"
The site collects your unspecified information for an unspecified purpose. Collection happens on the website.,2,"[(20424, 2, 129), (20096, 2, 131)]"
"Data is stored securely, e.g. in an encrypted format or database.",2,"[(20476, 33, 129), (20361, 33, 131)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens on the website.,2,"[(20131, 13, 131), (20621, 13, 132)]"
