"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",29,"[(4950, 0, 84), (6767, 0, 82), (4951, 1, 84), (5998, 1, 88), (6768, 1, 82), (4952, 2, 84), (6770, 2, 82), (4954, 4, 84), (6005, 4, 88), (6773, 4, 82), (4955, 5, 84), (6006, 5, 88), (6774, 5, 82), (4956, 6, 84), (6008, 6, 88), (6776, 6, 82), (4962, 8, 84), (6778, 8, 82), (4963, 9, 84), (6784, 9, 82), (4970, 13, 84), (6792, 13, 82), (5054, 21, 84), (5057, 23, 84), (6851, 23, 82), (5059, 25, 84), (6825, 46, 82), (5112, 53, 84), (6806, 56, 82)]"
The text describes a specific data practice that is not covered by our label scheme.,21,"[(6771, 3, 82), (4960, 8, 84), (6010, 8, 88), (6014, 9, 88), (6117, 24, 88), (6853, 24, 82), (6119, 25, 88), (6854, 25, 82), (6882, 37, 82), (6883, 38, 82), (5088, 39, 84), (6176, 41, 88), (6178, 42, 88), (6182, 44, 88), (5111, 52, 84), (6817, 52, 82), (5994, 53, 88), (6816, 53, 82), (6810, 59, 82), (6174, 60, 88), (6811, 60, 82)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",10,"[(6003, 3, 88), (6772, 3, 82), (6830, 48, 82), (6165, 50, 88), (6824, 50, 82), (5987, 57, 88), (6808, 57, 82), (5122, 61, 84), (5989, 61, 88), (6812, 61, 82)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",6,"[(5117, 56, 84), (6175, 56, 88), (6805, 56, 82), (5118, 57, 84), (5986, 57, 88), (6807, 57, 82)]"
The text does not fit into our label scheme.,6,"[(5087, 38, 84), (6155, 38, 88), (5089, 40, 84), (5119, 58, 84), (5120, 59, 84), (5121, 60, 84)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",5,"[(4961, 8, 84), (6779, 8, 82), (5116, 55, 84), (5992, 55, 88), (6814, 55, 82)]"
The policy makes a statement about how data from children is treated.,5,"[(5056, 22, 84), (6084, 22, 88), (5113, 54, 84), (5993, 54, 88), (6815, 54, 82)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",5,"[(6001, 2, 88), (6769, 2, 82), (4959, 7, 84), (5988, 58, 88), (6809, 58, 82)]"
"The policy makes a statement about how data from European users is treated (e.g., Safe Harbor provisions).",4,"[(6775, 5, 82), (4958, 7, 84), (6009, 7, 88), (6777, 7, 82)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens in an unspecified way.,4,"[(4981, 15, 84), (6803, 15, 82), (5065, 31, 84), (6861, 31, 82)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(5115, 55, 84), (5990, 55, 88), (6813, 55, 82)]"
An unnamed third party does receive unspecified information about you for an additional (non-basic) service or feature.,2,"[(4965, 10, 84), (6154, 37, 88)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,2,"[(5084, 36, 84), (6881, 36, 82)]"
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way.,2,"[(5080, 36, 84), (6878, 36, 82)]"
The site collects your computer information for service operations or security. Collection happens when you implicitly provide information in an unspecified way.,2,"[(5067, 32, 84), (6864, 32, 82)]"
The site collects your computer information for analytics or research. Collection happens when you implicitly provide information in an unspecified way.,2,"[(5068, 32, 84), (6866, 32, 82)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website.,2,"[(6794, 12, 82), (6146, 36, 88)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens in an unspecified way.,2,"[(4969, 12, 84), (6856, 27, 82)]"
A named third party does track on the first party website or app your IP address or device IDs for analytics or research.,2,"[(5073, 33, 84), (6872, 33, 82)]"
The site collects your computer information for marketing purposes. Collection happens when you implicitly provide information in an unspecified way.,2,"[(5066, 32, 84), (6862, 32, 82)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature.,2,"[(6785, 10, 82), (6897, 44, 82)]"
The site collects your contact information for an unspecified purpose. Collection happens in an unspecified way.,2,"[(4974, 15, 84), (6799, 15, 82)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens in an unspecified way.,2,"[(5083, 36, 84), (6880, 36, 82)]"
An unnamed third party does collect on the first party website or app unspecified information about you for a basic service or feature.,2,"[(6179, 43, 88), (6894, 43, 82)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,2,"[(5081, 36, 84), (6879, 36, 82)]"
The site collects your website activities for an unspecified purpose. Collection happens in an unspecified way.,2,"[(6804, 15, 82), (6828, 49, 82)]"
The site collects your financial information for an unspecified purpose. Collection happens in an unspecified way.,2,"[(4978, 15, 84), (6800, 15, 82)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,2,"[(5061, 27, 84), (5064, 30, 84)]"
