The text describes a specific data practice that is not covered by our label scheme.,22,"[(18627, 0, 129), (18666, 4, 129), (18686, 11, 129), (18691, 14, 129), (18651, 20, 129), (18649, 21, 129), (18648, 22, 129), (17469, 0, 131), (17484, 4, 131), (17511, 14, 131), (17524, 20, 131), (17525, 21, 131), (17527, 23, 131), (17816, 11, 127), (17820, 12, 127), (17718, 14, 127), (17843, 18, 127), (17847, 19, 127), (17853, 20, 127), (17854, 21, 127), (17856, 22, 127), (17717, 23, 127)]"
The text does not fit into our label scheme.,13,"[(18676, 6, 129), (18652, 19, 129), (18647, 23, 129), (18639, 29, 129), (18631, 34, 129), (17523, 19, 131), (17526, 22, 131), (17547, 34, 131), (17810, 4, 127), (17823, 13, 127), (17851, 20, 127), (17855, 21, 127), (17708, 27, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",11,"[(18633, 33, 129), (18630, 35, 129), (17467, 0, 131), (17546, 33, 131), (17548, 34, 131), (17549, 35, 131), (17691, 9, 127), (17712, 28, 127), (17701, 33, 127), (17702, 34, 127), (17699, 35, 127)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",7,"[(18626, 0, 129), (18641, 27, 129), (17468, 0, 131), (17529, 24, 131), (17538, 27, 131), (17669, 0, 127), (17703, 32, 127)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",6,"[(18638, 29, 129), (18636, 30, 129), (17541, 29, 131), (17542, 30, 131), (17706, 29, 127), (17707, 30, 127)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",4,"[(18690, 13, 129), (18640, 28, 129), (17539, 28, 131), (17710, 28, 127)]"
You can opt in for the use of unspecified information by an unspecified party for marketing purposes.,3,"[(18681, 9, 129), (18684, 10, 129), (18687, 11, 129)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",3,"[(18637, 29, 129), (17540, 29, 131), (17705, 29, 127)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,3,"[(18669, 5, 129), (17685, 5, 127), (17833, 15, 127)]"
The policy makes a statement about how data from children is treated.,3,"[(18635, 31, 129), (17543, 31, 131), (17704, 31, 127)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.,3,"[(18629, 1, 129), (17672, 1, 127), (17677, 3, 127)]"
The site collects your unspecified information for an unspecified purpose. Collection happens on the website.,3,"[(17477, 2, 131), (17481, 3, 131), (17535, 26, 131)]"
An unnamed third party does receive your IP address or device IDs for service operations or security.,2,"[(17496, 7, 131), (17687, 7, 127)]"
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way.,2,"[(18672, 5, 129), (17684, 5, 127)]"
Another part of the company or institution does receive unspecified information about you for service operations or security.,2,"[(17517, 16, 131), (17835, 16, 127)]"
The site collects your unspecified information for service operations or security. Collection happens in an unspecified way.,2,"[(18668, 5, 129), (17681, 5, 127)]"
An unspecified third party does receive unspecified information about you for service operations or security.,2,"[(18656, 17, 129), (17841, 17, 127)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,2,"[(18665, 3, 129), (17682, 5, 127)]"
The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,2,"[(18628, 1, 129), (17470, 1, 131)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens by some means outside of our label scheme.,2,"[(18645, 24, 129), (17528, 24, 131)]"
An unspecified third party does receive unspecified information about you for legal requirements.,2,"[(17519, 17, 131), (17840, 17, 127)]"
The site collects your cookies or tracking elements for a purpose outside of our label scheme. Collection happens by some means outside of our label scheme.,2,"[(17530, 24, 131), (17532, 26, 131)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,2,"[(18671, 5, 129), (17683, 5, 127)]"
An unnamed third party does receive unspecified information about you for service operations or security.,2,"[(17495, 7, 131), (17686, 7, 127)]"
The site collects your website activities for an unspecified purpose. Collection happens on the website.,2,"[(17479, 3, 131), (17537, 26, 131)]"
A named third party does do something outside of our label scheme with unspecified information about you for mergers or acquisitions.,2,"[(18653, 18, 129), (17520, 18, 131)]"
An unnamed third party does receive unspecified information about you for analytics or research. The data is aggregated or anonymized.,2,"[(17522, 18, 131), (17844, 18, 127)]"
"A user with an account can opt in for the use of contact information by a third party, which uses it for a purpose outside of our label scheme.",2,"[(17499, 9, 131), (17689, 9, 127)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(18632, 33, 129), (17545, 33, 131)]"
Data is accessible to employees/third parties on a need-to-know basis.,2,"[(17839, 16, 127), (17850, 20, 127)]"
