"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",7,"[(19988, 0, 96), (15277, 1, 103), (20018, 2, 96), (20041, 14, 96), (20044, 17, 96), (22935, 0, 129), (22936, 1, 129)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",5,"[(15293, 7, 103), (15312, 16, 103), (20043, 16, 96), (22954, 7, 129), (22932, 16, 129)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",4,"[(15296, 8, 103), (15305, 12, 103), (20039, 12, 96), (22963, 12, 129)]"
"The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",3,"[(15282, 3, 103), (20021, 3, 96), (22943, 3, 129)]"
The text does not fit into our label scheme.,3,"[(22939, 2, 129), (22959, 9, 129), (22931, 17, 129)]"
"The site collects your computer information for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",3,"[(15281, 3, 103), (20020, 3, 96), (22942, 3, 129)]"
The policy makes a statement about how data from children is treated.,3,"[(15311, 15, 103), (20042, 15, 96), (22933, 15, 129)]"
The text describes a specific data practice that is not covered by our label scheme.,3,"[(15279, 2, 103), (15310, 14, 103), (22968, 14, 129)]"
Data is accessible to employees/third parties on a need-to-know basis.,3,"[(15307, 13, 103), (20040, 13, 96), (22966, 13, 129)]"
A named third party does receive unspecified information about you for legal requirements.,3,"[(15301, 10, 103), (15303, 10, 103), (22960, 10, 129)]"
"The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",3,"[(15280, 3, 103), (20019, 3, 96), (22940, 3, 129)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(15304, 12, 103), (20038, 12, 96), (22964, 12, 129)]"
"The company/organization has a privacy or security program/organization in place addressing, for example, how to protect data against unauthorized access or privacy training for employees.",2,"[(15308, 13, 103), (22967, 13, 129)]"
