The text describes a specific data practice that is not covered by our label scheme.,16,"[(19902, 2, 103), (19939, 22, 103), (22433, 2, 127), (22576, 8, 127), (22453, 9, 127), (22456, 10, 127), (22466, 12, 127), (22477, 16, 127), (22488, 20, 127), (22498, 22, 127), (22524, 30, 127), (22530, 35, 127), (22585, 40, 127), (22540, 41, 127), (22603, 48, 127), (22560, 50, 127)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",14,"[(21201, 0, 96), (19901, 1, 103), (21202, 1, 96), (21203, 2, 96), (21216, 7, 96), (21217, 8, 96), (21218, 9, 96), (21228, 14, 96), (21240, 22, 96), (21241, 23, 96), (21251, 28, 96), (21265, 36, 96), (22431, 0, 127), (22432, 1, 127)]"
The policy makes a statement about how data from children is treated.,12,"[(20561, 46, 103), (21278, 46, 96), (20563, 47, 103), (21279, 47, 96), (20565, 48, 103), (21280, 48, 96), (20567, 49, 103), (21281, 49, 96), (22548, 46, 127), (22549, 47, 127), (22596, 48, 127), (22554, 49, 127)]"
The text does not fit into our label scheme.,8,"[(22575, 7, 127), (22454, 9, 127), (22478, 16, 127), (22499, 23, 127), (22517, 28, 127), (22581, 34, 127), (22541, 41, 127), (22545, 44, 127)]"
The site collects your unspecified information for advertising. Collection happens in an unspecified way.,4,"[(21245, 25, 96), (19952, 26, 103), (21246, 26, 96), (22509, 26, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",4,"[(20542, 35, 103), (21264, 35, 96), (22533, 35, 127), (22559, 50, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",4,"[(20553, 41, 103), (20558, 44, 103), (21275, 44, 96), (22544, 44, 127)]"
An unspecified third party does receive your unspecified personal information for legal requirements.,4,"[(20539, 34, 103), (20559, 45, 103), (22580, 34, 127), (22546, 45, 127)]"
"You can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.",3,"[(21263, 35, 96), (21266, 37, 96), (21267, 38, 96)]"
Data is accessible to employees/third parties on a need-to-know basis.,3,"[(19968, 33, 103), (22448, 5, 127), (22527, 33, 127)]"
The site collects your contact information for marketing purposes. Collection happens in an unspecified way.,3,"[(19911, 5, 103), (22443, 5, 127), (22515, 28, 127)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",3,"[(20569, 50, 103), (21282, 50, 96), (22557, 50, 127)]"
"You can make no specified choices about the use of contact information by the site, which uses it for marketing purposes.",3,"[(22529, 35, 127), (22534, 37, 127), (22535, 38, 127)]"
The site collects your IP address or device IDs for analytics or research. Collection happens in an unspecified way.,2,"[(19932, 17, 103), (22481, 17, 127)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(21284, 51, 96), (22564, 51, 127)]"
The site collects your financial information for a basic service or feature. Collection happens in an unspecified way.,2,"[(19908, 5, 103), (22445, 5, 127)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified in a manner outside of our label scheme. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(22556, 49, 127), (22563, 51, 127)]"
The site collects your financial information for marketing purposes. Collection happens in an unspecified way.,2,"[(19910, 5, 103), (22446, 5, 127)]"
The site collects your IP address or device IDs for service operations or security. Collection happens in an unspecified way.,2,"[(19930, 17, 103), (22479, 17, 127)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website. You can opt in for data collection for the collection of your information.,2,"[(21271, 42, 96), (22593, 42, 127)]"
The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way.,2,"[(21247, 26, 96), (22510, 26, 127)]"
The website ignores Do Not Track headers and the user's Do Not Track preference.,2,"[(19926, 14, 103), (22474, 14, 127)]"
The site collects your demographic information for advertising. Collection happens in an unspecified way.,2,"[(21249, 27, 96), (22506, 25, 127)]"
A named third party does receive unspecified information about you for an unspecified purpose.,2,"[(19963, 32, 103), (22526, 32, 127)]"
The site collects your location information for advertising. Collection happens in the mobile app.,2,"[(21237, 20, 96), (22484, 20, 127)]"
"The site collects your computer information for an unspecified purpose. Collection happens in an unspecified way, and your data's identifiability is not covered by our label scheme.",2,"[(19923, 13, 103), (21227, 13, 96)]"
The site collects your contact information for a basic service or feature. Collection happens in an unspecified way.,2,"[(19907, 5, 103), (22442, 5, 127)]"
An unnamed third party does receive unspecified information about you for mergers or acquisitions.,2,"[(21255, 31, 96), (22525, 31, 127)]"
An unnamed third party does receive your survey data for an unspecified purpose. The data is aggregated or anonymized.,2,"[(22461, 11, 127), (22539, 39, 127)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,2,"[(19933, 18, 103), (22482, 18, 127)]"
The site collects your IP address or device IDs for advertising. Collection happens in the mobile app.,2,"[(21238, 20, 96), (22485, 20, 127)]"
An unnamed third party does receive your financial information for a basic service or feature.,2,"[(19912, 5, 103), (21214, 5, 96)]"
"The site collects your location information for an unspecified purpose. Collection happens in an unspecified way, and your data's identifiability is not covered by our label scheme.",2,"[(19922, 13, 103), (21226, 13, 96)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",2,"[(21274, 43, 96), (22543, 43, 127)]"
"When a minor change is made to the privacy policy that does not significantly affect data practices, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(22561, 49, 127), (22562, 51, 127)]"
"The site collects your IP address or device IDs for an unspecified purpose. Collection happens in an unspecified way, and your data's identifiability is not covered by our label scheme.",2,"[(19921, 13, 103), (21225, 13, 96)]"
An unspecified third party does receive your unspecified personal information for service operations or security.,2,"[(20560, 45, 103), (22547, 45, 127)]"
An unnamed third party does not receive your contact information for an unspecified purpose.,2,"[(21272, 42, 96), (22595, 42, 127)]"
The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way for a user type outside of our label scheme. You can opt in for data collection for the collection of your information.,1,"[(22601, 48, 127)]"
A named third party does receive unspecified information about you for marketing purposes.,1,"[(19966, 33, 103)]"
"The site collects your website activities for an additional (non-basic) service or feature. Collection happens when you implicitly provide information on the website for users with accounts, and your data is aggregated or anonymized. You can opt in for data collection for the collection of your information.",1,"[(22572, 7, 127)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way. You can choose not to use the service or feature for the use of your information.,1,"[(21242, 24, 96)]"
An unnamed third party does not do something outside of our label scheme with something that uniquely identifies you for an unspecified purpose. This applies to a user type outside of our label scheme. You can opt in for data collection for the use of your information.,1,"[(19960, 29, 103)]"
An unnamed third party does collect on the first party website or app unspecified information about you for an unspecified purpose. The identifiability of the data is not covered by our label scheme.,1,"[(21208, 3, 96)]"
The site collects your survey data for an unspecified purpose. Collection happens when you explicitly provide information by some means outside of our label scheme. You can opt in for data collection for the collection of your information.,1,"[(22458, 11, 127)]"
The site collects your user profile for advertising. Collection happens by some means outside of our label scheme.,1,"[(19956, 27, 103)]"
A named third party does receive unspecified information about you for mergers or acquisitions.,1,"[(19962, 31, 103)]"
The site does not collect your social media data for an additional (non-basic) service or feature. Collection happens on the website. You can configure your privacy with third-party user settings.,1,"[(19915, 8, 103)]"
The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the collection of your information.,1,"[(21204, 3, 96)]"
An unnamed third party does track on the first party website or app unspecified information about you for service operations or security. The data is aggregated or anonymized.,1,"[(22493, 21, 127)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,1,"[(21244, 25, 96)]"
A named third party does do something unspecified with your unspecified personal information for a basic service or feature. This applies to a user type outside of our label scheme. You can opt in for data collection for the collection or sharing of your information.,1,"[(22552, 47, 127)]"
A named third party does track on the first party website or app your cookies or tracking elements for targeted advertising. The data is aggregated or anonymized.,1,"[(22495, 21, 127)]"
"You can opt in for the use of cookies and tracking elements by a third party, which collects or receives it for an unspecified purpose.",1,"[(22500, 23, 127)]"
"When a change is made to the privacy policy that significantly affects data practices, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(21283, 51, 96)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way for a user type outside of our label scheme.,1,"[(19905, 4, 103)]"
Other users does see your user profile for a purpose outside of our label scheme. You can opt in for data collection for the collection or sharing and use of your information.,1,"[(19913, 6, 103)]"
The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,1,"[(19904, 3, 103)]"
An unnamed third party does track on the first party website or app unspecified information about you for targeted advertising. The identifiability of the data is not covered by our label scheme.,1,"[(21239, 21, 96)]"
A named third party does receive unspecified information about you for targeted advertising.,1,"[(19965, 33, 103)]"
The site does not collect your generic personal information for an unspecified purpose. Collection happens in an unspecified way for a user type outside of our label scheme.,1,"[(22550, 46, 127)]"
A specific security measure not covered above.,1,"[(19969, 33, 103)]"
The site collects your IP address or device IDs for advertising. Collection happens when you implicitly provide information on the website.,1,"[(21233, 17, 96)]"
The site does not collect your contact information for a purpose outside of our label scheme. Collection happens when you explicitly provide information on the website. You can opt in for data collection for the collection of your information.,1,"[(22594, 42, 127)]"
The site collects your unspecified information for service operations or security. Collection happens in an unspecified way.,1,"[(22501, 24, 127)]"
The site collects your computer information for personalization or customization. Collection happens in an unspecified way.,1,"[(22511, 26, 127)]"
"The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme.",1,"[(21224, 12, 96)]"
"The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized.",1,"[(22465, 12, 127)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens in an unspecified way. You can opt in for data collection for the collection of your information.,1,"[(22471, 14, 127)]"
An unspecified third party does receive unspecified information about you for service operations or security.,1,"[(21277, 45, 96)]"
An unnamed third party does track on the first party website or app your cookies or tracking elements for targeted advertising. The data is aggregated or anonymized.,1,"[(22489, 21, 127)]"
An unnamed third party does receive your financial information for an unspecified purpose.,1,"[(22450, 5, 127)]"
