"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",12,"[(21083, 0, 96), (18726, 1, 103), (21084, 1, 96), (21085, 2, 96), (21097, 7, 96), (21099, 9, 96), (21106, 11, 96), (21117, 15, 96), (21118, 16, 96), (21821, 0, 127), (21822, 1, 127), (21823, 2, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",6,"[(18760, 8, 103), (21098, 8, 96), (21824, 2, 127), (21851, 8, 127), (21971, 17, 127), (21987, 19, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",5,"[(18783, 17, 103), (18785, 17, 103), (21119, 17, 96), (21857, 15, 127), (21968, 17, 127)]"
A specific security measure not covered above.,4,"[(18780, 16, 103), (21120, 17, 96), (21850, 7, 127), (21969, 17, 127)]"
The text does not fit into our label scheme.,4,"[(21858, 15, 127), (21963, 16, 127), (21972, 17, 127), (21860, 20, 127)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",3,"[(18787, 19, 103), (21125, 19, 96), (21984, 19, 127)]"
The site collects your computer information for an unspecified purpose. Collection happens on the website.,3,"[(18728, 3, 103), (21086, 3, 96), (18755, 5, 103)]"
The text describes a specific data practice that is not covered by our label scheme.,3,"[(18762, 9, 103), (21927, 9, 127), (21979, 18, 127)]"
Data is accessible to employees/third parties on a need-to-know basis.,3,"[(18782, 17, 103), (18784, 17, 103), (21970, 17, 127)]"
The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way.,2,"[(18766, 10, 103), (21932, 10, 127)]"
The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way.,2,"[(18763, 10, 103), (21929, 10, 127)]"
"A user can view their information, within the scope of information explicitly provided by the user.",2,"[(21124, 19, 96), (21981, 19, 127)]"
The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(21094, 5, 96), (21843, 5, 127)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website.,2,"[(21093, 5, 96), (21841, 5, 127)]"
The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way.,2,"[(18765, 10, 103), (21931, 10, 127)]"
An unnamed third party does receive unspecified information about you for mergers or acquisitions. The data is personally identifiable.,2,"[(21111, 14, 96), (21952, 14, 127)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,2,"[(21100, 10, 96), (21107, 12, 96)]"
The site collects your contact information for an unspecified purpose. Collection happens on the website.,2,"[(18729, 3, 103), (21087, 3, 96)]"
"The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable.",2,"[(18768, 10, 103), (21105, 10, 96)]"
The site collects your contact information for personalization or customization. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with browser settings for the collection of your information.,1,"[(21835, 4, 127)]"
"The site collects an information type outside of our label scheme for service operations or security. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(18767, 10, 103)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(21939, 12, 127)]"
"The site collects your website activities for analytics or research. Collection happens on the website, and your data is identifiable.",1,"[(18757, 6, 103)]"
An unnamed third party does do something outside of our label scheme with your unspecified personal information for an unspecified purpose.,1,"[(21964, 16, 127)]"
"You can opt in for the use of contact information by the site, which collects it for an additional (non-basic) service or feature.",1,"[(21853, 11, 127)]"
A named third party does receive your computer information for marketing purposes. The data is aggregated or anonymized.,1,"[(21856, 13, 127)]"
"You can opt out (by contacting the company) from the use of generic personal information by a third party, which collects or receives it for a basic service or feature.",1,"[(21975, 18, 127)]"
The site collects your user profile for personalization or customization. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with browser settings for the collection of your information.,1,"[(21837, 4, 127)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified when visiting the website. Users have no options regarding the change.",1,"[(21859, 20, 127)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,1,"[(21102, 10, 96)]"
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way.,1,"[(21101, 10, 96)]"
The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information on the website.,1,"[(21846, 6, 127)]"
"The site collects an information type outside of our label scheme for service operations or security. Collection happens on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(21095, 6, 96)]"
"The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(21938, 10, 127)]"
A named third party does receive information about you not covered by our label scheme for mergers or acquisitions. The identifiability of the data is not covered by our label scheme.,1,"[(18776, 14, 103)]"
"The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way, and your data is identifiable.",1,"[(21926, 3, 127)]"
The site collects your unspecified information for a purpose outside of our label scheme. Collection happens on the website.,1,"[(18727, 2, 103)]"
"The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized.",1,"[(21925, 3, 127)]"
An unnamed third party does receive unspecified information about you for marketing purposes. The identifiability of the data is not covered by our label scheme.,1,"[(21110, 14, 96)]"
"The site collects an information type outside of our label scheme for analytics or research. Collection happens on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(21096, 6, 96)]"
"When a change of an unspecified nature is made to the privacy policy, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(21941, 12, 127)]"
A named third party does receive unspecified information about you for legal requirements. The data is aggregated or anonymized.,1,"[(21958, 14, 127)]"
An unnamed third party does receive unspecified information about you for marketing purposes. The data is personally identifiable.,1,"[(21109, 14, 96)]"
The site collects your demographic information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,1,"[(21922, 3, 127)]"
"The site collects your website activities for an unspecified purpose. Collection happens when you explicitly provide information on the website, and your data is aggregated or anonymized.",1,"[(21090, 3, 96)]"
"The site collects your computer information for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(21935, 10, 127)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with browser settings for the collection of your information.,1,"[(21834, 4, 127)]"
"A user with an account can opt out (by contacting the company) from the use of generic personal information by the site, which collects it for a basic service or feature.",1,"[(21976, 18, 127)]"
A named third party does see unspecified information about you for legal requirements. The data is aggregated or anonymized.,1,"[(21957, 14, 127)]"
The site collects your website activities for personalization or customization. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with browser settings for the collection of your information.,1,"[(21838, 4, 127)]"
"The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(21104, 10, 96)]"
An unnamed third party does receive information about you not covered by our label scheme for targeted advertising. This applies to a user type outside of our label scheme. The data is personally identifiable.,1,"[(18774, 14, 103)]"
An unnamed third party does receive unspecified information about you for mergers or acquisitions. The data is aggregated or anonymized.,1,"[(21954, 14, 127)]"
The site collects your IP address or device IDs for an unspecified purpose. Collection happens on the website.,1,"[(18754, 5, 103)]"
A named third party does receive unspecified information about you for legal requirements. The data is personally identifiable.,1,"[(21956, 14, 127)]"
"You can opt out (by contacting the company) from the use of contact information by the site, which uses it for marketing purposes.",1,"[(21980, 18, 127)]"
A named third party does do something unspecified with your financial information for a basic service or feature. You can opt in for data collection for the collection or sharing of your information.,1,"[(21849, 7, 127)]"
An unnamed third party does receive unspecified information about you for an unspecified purpose. The data is aggregated or anonymized. You can opt in for data collection for the collection or sharing of your information.,1,"[(21950, 14, 127)]"
The site collects your contact information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(21916, 3, 127)]"
"When a change of an unspecified nature is made to the privacy policy, users are notified in an unspecified manner. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(18771, 12, 103)]"
"A user's financial information is retained for a duration not covered by our label scheme to perform a requested service, and then it is deleted..",1,"[(18759, 7, 103)]"
An unnamed third party does do something outside of our label scheme with unspecified information about you for an unspecified purpose.,1,"[(21965, 16, 127)]"
"A user with an account can opt out (by contacting the company) from the use of generic personal information by the site, which uses it for a basic service or feature.",1,"[(21977, 18, 127)]"
The site collects your survey data for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,1,"[(21924, 3, 127)]"
An unnamed third party does receive unspecified information about you for mergers or acquisitions. The identifiability of the data is not covered by our label scheme.,1,"[(21112, 14, 96)]"
The site collects your user profile for personalization or customization. Collection happens when you implicitly provide information on the website. You can configure your privacy with browser settings for the collection of your information.,1,"[(21092, 4, 96)]"
An unnamed third party does receive your computer information for an unspecified purpose. The data is aggregated or anonymized.,1,"[(21855, 13, 127)]"
The site does not collect your contact information for an additional (non-basic) service or feature. Collection happens by some means outside of our label scheme. You can opt in for data collection for the collection of your information.,1,"[(21854, 11, 127)]"
A named third party does receive unspecified information about you for service operations or security. The data is aggregated or anonymized.,1,"[(21962, 14, 127)]"
The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way.,1,"[(21103, 10, 96)]"
"When a change of a variety outside of our label scheme is made to the privacy policy, users are notified when visiting the website. Users have no options regarding the change.",1,"[(18788, 20, 103)]"
An unnamed third party does see unspecified information about you for mergers or acquisitions. The data is personally identifiable.,1,"[(21951, 14, 127)]"
"The site collects your user profile for an unspecified purpose. Collection happens when you explicitly provide information on the website, and your data is aggregated or anonymized.",1,"[(18732, 3, 103)]"
An unnamed third party does see unspecified information about you for mergers or acquisitions. The data is aggregated or anonymized.,1,"[(21953, 14, 127)]"
An unspecified third party does do something outside of our label scheme with unspecified information about you for an unspecified purpose.,1,"[(21967, 16, 127)]"
"A user with an account can opt out (by contacting the company) from the use of generic personal information by a third party, which collects or receives it for a basic service or feature.",1,"[(21978, 18, 127)]"
"You can opt out (by contacting the company) from the use of information of a type not covered by our label scheme by a third party, which collects or receives it for an unspecified purpose.",1,"[(21123, 18, 96)]"
An unnamed third party does receive unspecified information about you for legal requirements. The data is personally identifiable.,1,"[(21113, 14, 96)]"
The site collects your user profile for personalization or customization. Collection happens on the website. You can configure your privacy with browser settings for the collection of your information.,1,"[(18752, 4, 103)]"
You can opt in for the use of contact information by an unspecified party for an additional (non-basic) service or feature.,1,"[(18769, 11, 103)]"
The public does see information about you not covered by our label scheme for an unspecified purpose.,1,"[(18761, 8, 103)]"
The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information on the website.,1,"[(21089, 3, 96)]"
The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(21928, 10, 127)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(21842, 5, 127)]"
Privacy practices and security measures of the first party or third party are reviewed/audited by internal or external reviewers/auditors.,1,"[(18779, 15, 103)]"
"The site collects your generic personal information for marketing purposes. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(21937, 10, 127)]"
"The site collects your website activities for an unspecified purpose. Collection happens when you explicitly provide information on the website, and your data's identifiability is not covered by our label scheme.",1,"[(21091, 3, 96)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by the site, which collects it for personalization or customization.",1,"[(21840, 4, 127)]"
A named third party does do something outside of our label scheme with your financial information for a basic service or feature.,1,"[(18758, 7, 103)]"
The site collects your user profile for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,1,"[(21923, 3, 127)]"
A named third party does receive information about you not covered by our label scheme for marketing purposes. The data is aggregated or anonymized.,1,"[(18772, 13, 103)]"
An unnamed third party does receive unspecified information about you for marketing purposes. The data is aggregated or anonymized.,1,"[(21108, 13, 96)]"
"You can opt out (by contacting the company) from the use of generic personal information by the site, which uses it for a basic service or feature.",1,"[(21974, 18, 127)]"
"You can make a choice about your privacy not described by our label scheme the use of generic personal information by the site, which collects it for an additional (non-basic) service or feature.",1,"[(18786, 18, 103)]"
The public does see your user profile for an additional (non-basic) service or feature. You can opt in for data collection for the collection or sharing of your information.,1,"[(21852, 8, 127)]"
An unnamed third party does receive unspecified information about you for service operations or security. The identifiability of the data is not covered by our label scheme.,1,"[(21116, 14, 96)]"
A named third party does receive information about you not covered by our label scheme for legal requirements. The data is personally identifiable.,1,"[(18777, 14, 103)]"
The site collects your website activities for an unspecified purpose. Collection happens on the website.,1,"[(18756, 5, 103)]"
"Users with accounts can view their information, within the scope of information explicitly provided by the user.",1,"[(21982, 19, 127)]"
"You can opt out (by contacting the company) from the use of generic personal information by the site, which collects it for a basic service or feature.",1,"[(21973, 18, 127)]"
"A user can view their information, within the scope of transactional data (e.g., online activity, purchases).",1,"[(21983, 19, 127)]"
"You can opt out (by contacting the company) from the use of information of a type not covered by our label scheme by the site, which collects it for an unspecified purpose.",1,"[(21121, 18, 96)]"
The site collects your contact information for service operations or security. Collection happens in an unspecified way.,1,"[(21942, 12, 127)]"
A named third party does see unspecified information about you for legal requirements. The data is personally identifiable.,1,"[(21955, 14, 127)]"
An unnamed third party does receive unspecified information about you for service operations or security. The data is personally identifiable.,1,"[(21115, 14, 96)]"
A named third party does receive information about you not covered by our label scheme for mergers or acquisitions. The data is personally identifiable.,1,"[(18775, 14, 103)]"
A named third party does receive information about you not covered by our label scheme for legal requirements. The identifiability of the data is not covered by our label scheme.,1,"[(18778, 14, 103)]"
An unnamed third party does receive unspecified information about you for legal requirements. The identifiability of the data is not covered by our label scheme.,1,"[(21114, 14, 96)]"
The site collects your contact information for an unspecified purpose. Collection happens by some means outside of our label scheme.,1,"[(21920, 3, 127)]"
"A user can edit their information, within the scope of transactional data (e.g., online activity, purchases).",1,"[(21986, 19, 127)]"
The site collects your unspecified information for personalization or customization. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with browser settings for the collection of your information.,1,"[(21839, 4, 127)]"
