"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",6,"[(5123, 0, 84), (6192, 0, 88), (6898, 0, 82), (6900, 1, 82), (5153, 19, 84), (6902, 19, 82)]"
The text does not fit into our label scheme.,4,"[(5128, 3, 84), (5143, 12, 84), (5144, 13, 84), (5145, 14, 84)]"
"The policy makes a statement about how data from European users is treated (e.g., Safe Harbor provisions).",4,"[(6201, 3, 88), (5148, 16, 84), (6223, 16, 88), (6908, 16, 82)]"
The policy makes a statement about how data from children is treated.,3,"[(5138, 9, 84), (6194, 9, 88), (6924, 9, 82)]"
"When a change of an unspecified nature is made to the privacy policy, users are notified in an unspecified manner. Users' choices regarding policy changes are not mentioned or are unclear.",3,"[(5124, 1, 84), (6899, 1, 82), (6901, 19, 82)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",3,"[(5152, 18, 84), (6195, 18, 88), (6903, 18, 82)]"
The text describes a specific data practice that is not covered by our label scheme.,3,"[(6208, 6, 88), (5135, 7, 84), (6211, 7, 88)]"
"A user can edit their information, within the scope of unspecified user information.",2,"[(5150, 17, 84), (6905, 17, 82)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens when you implicitly provide information on the website.,2,"[(5139, 10, 84), (6216, 10, 88)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by an unspecified party for an unspecified purpose.,2,"[(5142, 11, 84), (6925, 11, 82)]"
An unnamed third party does receive unspecified information about you for an unspecified purpose. The data is aggregated or anonymized.,2,"[(6200, 2, 88), (6915, 2, 82)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(6193, 1, 88), (6196, 19, 88)]"
"The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way, and your data is identifiable.",2,"[(5129, 4, 84), (6919, 4, 82)]"
"A user can view their information, within the scope of unspecified user information.",2,"[(5149, 17, 84), (6904, 17, 82)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature. The data is personally identifiable.,2,"[(6205, 4, 88), (6920, 4, 82)]"
"The site collects your generic personal information for analytics or research. Collection happens in an unspecified way, and your data's identifiability is not covered by our label scheme.",1,"[(5126, 2, 84)]"
The site collects your contact information for an unspecified purpose. Collection happens in an unspecified way for users with accounts.,1,"[(5134, 6, 84)]"
"A user can access, edit, or delete personal information in an unspecified manner, within the scope of unspecified user information.",1,"[(6906, 17, 82)]"
"The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable. You can opt in for data collection.",1,"[(5133, 5, 84)]"
"The site collects your generic personal information for a basic service or feature. Collection happens on the website, and your data is identifiable.",1,"[(6203, 4, 88)]"
"The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can opt in for data collection.",1,"[(6917, 3, 82)]"
"You can make no specified choices about the use of contact information by the site, which uses it for marketing purposes.",1,"[(6910, 15, 82)]"
The public does see your unspecified personal information for an additional (non-basic) service or feature. The data is personally identifiable.,1,"[(6911, 14, 82)]"
"The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way, and your data is identifiable.",1,"[(5130, 4, 84)]"
"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts, and your data is identifiable. You can opt in for data collection.",1,"[(6209, 6, 88)]"
The site collects your computer information for a basic service or feature. Collection happens when you implicitly provide information on the website.,1,"[(6220, 13, 88)]"
"The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts, and your data is identifiable.",1,"[(6197, 2, 88)]"
An unnamed third party does receive unspecified information about you for an unspecified purpose. The identifiability of the data is not covered by our label scheme.,1,"[(5127, 2, 84)]"
The site collects your cookies or tracking elements for a basic service or feature. Collection happens in an unspecified way.,1,"[(6934, 10, 82)]"
"The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens in an unspecified way, and your data is identifiable. You can opt in for data collection.",1,"[(6923, 5, 82)]"
"The site collects your unspecified information for a basic service or feature. Collection happens on the website for users with accounts, and your data is identifiable.",1,"[(6912, 2, 82)]"
"You can opt out (via a link) from the use of contact information by the site, which uses it for marketing purposes.",1,"[(6221, 15, 88)]"
Other users does see your contact information for an unspecified purpose. This applies to users with accounts. The data is personally identifiable. You can configure your privacy with user settings provided by the site.,1,"[(6210, 6, 88)]"
An unspecified third party does receive unspecified information about you for mergers or acquisitions. The data is personally identifiable.,1,"[(6930, 8, 82)]"
An unnamed third party does do something unspecified with your activities on the website or app for analytics or research.,1,"[(5141, 10, 84)]"
"The site collects your generic personal information for analytics or research. Collection happens in an unspecified way, and your data is identifiable.",1,"[(6918, 4, 82)]"
"The site collects your user profile for a basic service or feature. Collection happens when you implicitly provide information on the website, and your data is identifiable.",1,"[(6219, 13, 88)]"
An unspecified third party does track on the first party website or app your activities on the website or app for analytics or research.,1,"[(6931, 10, 82)]"
An unspecified third party does receive your unspecified personal information for mergers or acquisitions. The data is personally identifiable.,1,"[(5137, 8, 84)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,1,"[(6937, 12, 82)]"
A named third party does receive your unspecified personal information for a basic service or feature. The data is personally identifiable.,1,"[(5131, 4, 84)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",1,"[(6222, 16, 88)]"
"The site collects your generic personal information for marketing purposes. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection.",1,"[(6206, 5, 88)]"
"A user can deactivate their account, within the scope of information the company has learned about the user.",1,"[(6226, 17, 88)]"
The site collects your financial information for analytics or research. Collection happens in an unspecified way.,1,"[(6938, 13, 82)]"
"The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1,"[(6202, 3, 88)]"
An unspecified third party does track on the first party website or app your cookies or tracking elements for analytics or research.,1,"[(6932, 10, 82)]"
"You can opt out (via a link) from the use of unspecified information by the site, which uses it for marketing purposes.",1,"[(5146, 15, 84)]"
An unnamed third party does not receive your unspecified personal information for marketing purposes. The data is personally identifiable. You can opt in for data collection.,1,"[(6207, 5, 88)]"
"The site collects your generic personal information for analytics or research. Collection happens on the website, and your data is identifiable.",1,"[(6204, 4, 88)]"
The site collects your IP address or device IDs for service operations or security. Collection happens in an unspecified way.,1,"[(6936, 10, 82)]"
