"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",12,"[(9754, 0, 121), (9383, 0, 116), (9406, 7, 116), (9442, 21, 116), (9810, 0, 117), (9817, 7, 117), (9827, 16, 117), (9834, 21, 117), (9835, 22, 117), (9836, 23, 117), (9837, 24, 117), (9838, 25, 117)]"
The text does not fit into our label scheme.,7,"[(9916, 12, 121), (9918, 13, 121), (9930, 21, 121), (9931, 22, 121), (9932, 23, 121), (9934, 24, 121), (9449, 24, 116)]"
The text describes a specific data practice that is not covered by our label scheme.,6,"[(9441, 20, 116), (9446, 22, 116), (9448, 23, 116), (9450, 25, 116), (9839, 26, 117), (9840, 27, 117)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",5,"[(9926, 18, 121), (9949, 29, 121), (9455, 29, 116), (9831, 18, 117), (9843, 29, 117)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",4,"[(9952, 31, 121), (9460, 30, 116), (9462, 31, 116), (9845, 31, 117)]"
The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens when you explicitly provide information on the website.,4,"[(9933, 21, 121), (9935, 25, 121), (9938, 26, 121), (9444, 21, 116)]"
The policy makes a statement about how data from children is treated.,3,"[(9948, 28, 121), (9454, 28, 116), (9842, 28, 117)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.,2,"[(9760, 4, 121), (9397, 4, 116)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature.,2,"[(9925, 18, 121), (9830, 18, 117)]"
"The site collects an information type outside of our label scheme for analytics or research. Collection happens by some means outside of our label scheme, and your data is aggregated or anonymized.",2,"[(9910, 8, 121), (9911, 9, 121)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by an unspecified party for an unspecified purpose.,2,"[(9425, 14, 116), (9825, 14, 117)]"
A third party outside of our label scheme does receive your unspecified personal information for legal requirements.,2,"[(9927, 19, 121), (9832, 19, 117)]"
"A user can edit their information, within the scope of unspecified user information.",2,"[(9458, 30, 116), (9844, 30, 117)]"
"The company/organization has a privacy or security program/organization in place addressing, for example, how to protect data against unauthorized access or privacy training for employees.",2,"[(9923, 17, 121), (9456, 29, 116)]"
The site collects your contact information for a purpose outside of our label scheme. Collection happens when you explicitly provide information in an unspecified way.,2,"[(9759, 4, 121), (9398, 4, 116)]"
"The site collects your computer information for an unspecified purpose. Collection happens on other websites, and your data is aggregated or anonymized.",1,"[(9819, 8, 117)]"
"The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized.",1,"[(9407, 8, 116)]"
A user's activities on the website or app is retained for an unspecified duration to perform analytics or research.,1,"[(9402, 5, 116)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by an unspecified party for a purpose outside of our label scheme.,1,"[(9424, 14, 116)]"
The site collects your cookies or tracking elements for a basic service or feature. Collection happens when you explicitly provide information by some means outside of our label scheme.,1,"[(9418, 10, 116)]"
The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information by some means outside of our label scheme for users with accounts. You can configure your privacy using a method outside our label scheme for the collection of your information.,1,"[(9756, 2, 121)]"
You can choose not to use a service or feature to avoid the use of cookies and tracking elements by an unspecified party for a basic service or feature.,1,"[(9426, 14, 116)]"
You can choose not to use a service or feature to avoid the use of generic personal information by an unspecified party for a purpose outside of our label scheme.,1,"[(9386, 2, 116)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by the site, which collects it for a basic service or feature.",1,"[(9919, 14, 121)]"
A named third party does do something outside of our label scheme with your cookies or tracking elements for analytics or research. The data is aggregated or anonymized.,1,"[(9915, 12, 121)]"
"The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable.",1,"[(9404, 6, 116)]"
Another part of the company or institution does track on the first party website or app unspecified information about you for an additional (non-basic) service or feature.,1,"[(9436, 18, 116)]"
The site does not collect something that uniquely identifies you for analytics or research. Collection happens when you explicitly provide information on the website.,1,"[(9412, 9, 116)]"
"The site collects your generic personal information for a purpose outside of our label scheme. Collection happens on the website, and your data's identifiability is not covered by our label scheme.",1,"[(9920, 15, 121)]"
Another part of the company or institution does track on the first party website or app your unspecified personal information for an unspecified purpose.,1,"[(9437, 18, 116)]"
The site collects your cookies or tracking elements for a basic service or feature. Collection happens on the website. You can choose not to use the service or feature.,1,"[(9415, 10, 116)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens in an unspecified way.,1,"[(9414, 10, 116)]"
An unnamed third party does do something outside of our label scheme with your cookies or tracking elements for an unspecified purpose.,1,"[(9914, 11, 121)]"
"The site collects your unspecified information for a purpose outside of our label scheme. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(9428, 15, 116)]"
"The site collects your unspecified information for analytics or research. Collection happens when you explicitly provide information in an unspecified way, and your data is aggregated or anonymized.",1,"[(9390, 3, 116)]"
A named third party does track on the first party website or app your cookies or tracking elements for analytics or research.,1,"[(9422, 12, 116)]"
"The site collects your computer information for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(9818, 8, 117)]"
The site collects an information type outside of our label scheme for a purpose outside of our label scheme. Collection happens when you explicitly provide information on the website.,1,"[(9943, 27, 121)]"
The site collects an information type outside of our label scheme for a purpose outside of our label scheme. Collection happens on the website.,1,"[(9453, 27, 116)]"
"The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized.",1,"[(9408, 8, 116)]"
The site collects your website activities for service operations or security. Collection happens when you implicitly provide information by some means outside of our label scheme.,1,"[(9924, 17, 121)]"
A user's activities on the website or app is retained for a limited (but unspecified) period of time to perform analytics or research.,1,"[(9403, 5, 116)]"
You can make a choice about your privacy not described by our label scheme the use of cookies and tracking elements by an unspecified party for an additional (non-basic) service or feature.,1,"[(9913, 10, 121)]"
You can make a choice about your privacy not described by our label scheme the use of generic personal information by an unspecified party for an unspecified purpose.,1,"[(9384, 1, 116)]"
The site collects your cookies or tracking elements for a purpose outside of our label scheme. Collection happens when you implicitly provide information by some means outside of our label scheme.,1,"[(9909, 7, 121)]"
The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information on the website for a user type outside of our label scheme. You can opt out by contacting the company.,1,"[(9461, 30, 116)]"
The site collects your cookies or tracking elements for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts.,1,"[(9416, 10, 116)]"
The site collects your cookies or tracking elements for a basic service or feature. Collection happens on the website for users with accounts.,1,"[(9821, 10, 117)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,1,"[(9443, 21, 116)]"
A named third party does receive unspecified information about you for service operations or security.,1,"[(9433, 17, 116)]"
The site collects your contact information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,1,"[(9396, 4, 116)]"
"You can opt in for the use of generic personal information by a third party, which collects or receives it for an unspecified purpose.",1,"[(9922, 16, 121)]"
The site does not collect an information type outside of our label scheme for a basic service or feature. Collection happens by some means outside of our label scheme for users with accounts. You can choose not to use the service or feature.,1,"[(9419, 10, 116)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way. You can choose not to use the service or feature.,1,"[(9399, 4, 116)]"
Another part of the company or institution does track on the first party website or app unspecified information about you for a purpose outside of our label scheme.,1,"[(9434, 18, 116)]"
An unspecified third party does do something unspecified with information about you not covered by our label scheme for an unspecified purpose.,1,"[(9937, 25, 121)]"
