"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",3,"[(15273, 0, 96), (24616, 0, 127), (24617, 1, 127)]"
An unnamed third party does not do something outside of our label scheme with your unspecified personal information for an unspecified purpose. The data is personally identifiable.,2,"[(15276, 1, 96), (24618, 1, 127)]"
"You can opt out (via a link) from the use of contact information by the site, which collects it for an unspecified purpose.",2,"[(13756, 2, 103), (24620, 2, 127)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,2,"[(15275, 1, 96), (24619, 1, 127)]"
"You can opt out (via a link) from the use of contact information by the site, which uses it for an unspecified purpose.",1,"[(15300, 2, 96)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",1,"[(24621, 2, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",1,"[(13753, 1, 103)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose. This applies to a user type outside of our label scheme. The data is personally identifiable.,1,"[(13755, 1, 103)]"
"The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable.",1,"[(15274, 1, 96)]"
"You can opt out (by contacting the company) from the use of unspecified information by the site, which uses it for an unspecified purpose.",1,"[(15302, 2, 96)]"
You can opt out (by contacting the company) from the use of unspecified information by an unspecified party for an unspecified purpose.,1,"[(13757, 2, 103)]"
"The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable.",1,"[(13754, 1, 103)]"
