"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",14,"[(2150, 0, 84), (2950, 0, 82), (2154, 1, 84), (3012, 1, 88), (3157, 1, 82), (2155, 2, 84), (2951, 2, 82), (3014, 2, 88), (3158, 3, 82), (2163, 4, 84), (3159, 4, 82), (2164, 5, 84), (3305, 17, 82), (2391, 26, 84)]"
The policy makes a statement about how data from children is treated.,11,"[(2165, 6, 84), (3088, 6, 88), (3162, 6, 82), (2167, 7, 84), (3089, 7, 88), (3165, 7, 82), (2168, 8, 84), (3090, 8, 88), (3169, 8, 82), (2169, 9, 84), (3093, 9, 88)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",8,"[(3168, 8, 82), (3247, 23, 88), (3312, 23, 82), (3245, 24, 88), (3317, 24, 82), (2393, 28, 84), (2952, 28, 82), (3120, 28, 88)]"
The text describes a specific data practice that is not covered by our label scheme.,4,"[(3016, 3, 88), (3022, 4, 88), (2388, 24, 84), (2392, 27, 84)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",3,"[(2349, 14, 84), (3117, 14, 88), (3300, 14, 82)]"
The website ignores Do Not Track headers and the user's Do Not Track preference.,3,"[(2389, 25, 84), (2956, 25, 82), (3118, 25, 88)]"
Data is accessible to employees/third parties on a need-to-know basis.,3,"[(2348, 14, 84), (3116, 14, 88), (3301, 14, 82)]"
A named third party does receive your unspecified personal information for marketing purposes. The data is personally identifiable.,3,"[(3238, 16, 88), (3304, 16, 82), (2370, 20, 84)]"
A named third party does receive your unspecified personal information for a basic service or feature. The data is personally identifiable.,2,"[(2371, 20, 84), (3309, 20, 82)]"
"Users with accounts can edit their information, within the scope of unspecified user information.",2,"[(2379, 23, 84), (3315, 23, 82)]"
An unspecified third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,2,"[(2356, 18, 84), (3307, 18, 82)]"
An unnamed third party does not receive unspecified information about you for marketing purposes. You can opt in for data collection.,2,"[(2376, 22, 84), (3244, 22, 88)]"
"Users with accounts can view their information, within the scope of unspecified user information.",2,"[(2378, 23, 84), (3314, 23, 82)]"
An unnamed third party does receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,2,"[(2354, 17, 84), (2373, 21, 84)]"
An unspecified third party does receive your unspecified personal information for mergers or acquisitions. The data is personally identifiable.,2,"[(2357, 19, 84), (3308, 19, 82)]"
"Users with accounts can delete their account (although the company or organization may continue to keep some data), within the scope of unspecified user information.",2,"[(2380, 23, 84), (3316, 23, 82)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",2,"[(2953, 27, 82), (3119, 27, 88)]"
An unspecified third party does receive your unspecified personal information for legal requirements. The data is personally identifiable.,2,"[(2355, 18, 84), (3306, 18, 82)]"
The site collects your cookies or tracking elements for service operations or security. Collection happens when you implicitly provide information on other websites.,1,"[(3111, 13, 88)]"
A named third party does receive your unspecified personal information for an additional (non-basic) service or feature. The data is personally identifiable. You can make a choice about the collection or sharing and use of your information.,1,"[(3310, 21, 82)]"
The public does see your unspecified personal information for an additional (non-basic) service or feature.,1,"[(3161, 5, 82)]"
The site collects your generic personal information for an unspecified purpose. Collection happens on the mobile website.,1,"[(3269, 1, 82)]"
"The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature.",1,"[(2337, 11, 84)]"
"The site collects your cookies or tracking elements for personalization or customization. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized. You can configure your privacy with browser settings.",1,"[(3106, 12, 88)]"
An unnamed third party does not receive your unspecified personal information for marketing purposes. You can opt in for data collection for the use of your information.,1,"[(3311, 22, 82)]"
"The site collects your financial information for personalization or customization. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1,"[(2175, 10, 84)]"
