The policy makes a statement about how data from children is treated.,8,"[(14850, 21, 129), (14851, 22, 129), (14218, 21, 131), (14219, 22, 131), (16012, 21, 132), (16013, 22, 132), (20174, 21, 127), (20175, 22, 127)]"
The text does not fit into our label scheme.,7,"[(14828, 8, 129), (14848, 19, 129), (14187, 6, 131), (15952, 7, 132), (15953, 8, 132), (20013, 8, 127), (20172, 19, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,6,"[(14827, 7, 129), (14833, 10, 129), (14847, 18, 129), (14188, 7, 131), (14189, 8, 131), (14193, 10, 131)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",5,"[(14849, 20, 129), (14172, 0, 131), (14217, 20, 131), (16010, 20, 132), (20173, 20, 127)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",4,"[(14854, 23, 129), (14222, 23, 131), (16017, 23, 132), (20177, 23, 127)]"
The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way.,4,"[(14815, 2, 129), (14175, 2, 131), (14198, 12, 131), (19995, 2, 127)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified when visiting the website. Users' choices regarding policy changes are not mentioned or are unclear.",4,"[(14853, 23, 129), (14221, 23, 131), (16016, 23, 132), (20176, 23, 127)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",4,"[(14811, 0, 129), (14171, 0, 131), (15940, 0, 132), (19990, 0, 127)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,3,"[(14199, 13, 131), (14202, 14, 131), (20155, 13, 127)]"
"Users with accounts can delete their account (with the company or organization removing all data), within the scope of information the company has learned about the user.",3,"[(14855, 24, 129), (14223, 24, 131), (20179, 24, 127)]"
A named third party does not receive your contact information for targeted advertising.,3,"[(14841, 15, 129), (15986, 15, 132), (20162, 15, 127)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,2,"[(14174, 1, 131), (20150, 11, 127)]"
The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way.,2,"[(14812, 1, 129), (14173, 1, 131)]"
The site collects your location information for personalization or customization. Collection happens in an unspecified way.,2,"[(15972, 12, 132), (20153, 12, 127)]"
An unnamed third party does receive unspecified information about you for service operations or security.,2,"[(14207, 16, 131), (20163, 16, 127)]"
Data is accessible to employees/third parties on a need-to-know basis.,2,"[(20007, 5, 127), (20164, 16, 127)]"
The site collects your contact information for a basic service or feature. Collection happens in an unspecified way.,2,"[(14200, 13, 131), (20157, 13, 127)]"
An unnamed third party does track on the first party website or app your IP address or device IDs for an unspecified purpose.,2,"[(16008, 19, 132), (20169, 19, 127)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website.,2,"[(14176, 3, 131), (15944, 3, 132)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(14220, 23, 131), (20178, 23, 127)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(14814, 1, 129)]"
The site collects your website activities for personalization or customization. Collection happens in an unspecified way.,1,"[(19996, 2, 127)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens on the website.,1,"[(15981, 14, 132)]"
The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens in an unspecified way.,1,"[(14837, 11, 129)]"
The site collects your unspecified information for legal requirements. Collection happens in an unspecified way.,1,"[(14211, 17, 131)]"
