"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",11,"[(2840, 0, 84), (3616, 0, 82), (4069, 0, 88), (2841, 1, 84), (2843, 2, 84), (3620, 2, 82), (2903, 21, 84), (4118, 21, 88), (2909, 26, 84), (2910, 27, 84), (2914, 30, 84)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",8,"[(3684, 17, 82), (4113, 17, 88), (3666, 23, 82), (3628, 31, 82), (3622, 32, 82), (2919, 34, 84), (3623, 34, 82), (4132, 34, 88)]"
The text describes a specific data practice that is not covered by our label scheme.,5,"[(3617, 1, 82), (4070, 1, 88), (2850, 4, 84), (4097, 11, 88), (3629, 30, 82)]"
"The site collects your location information for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",4,"[(2845, 3, 84), (4078, 3, 88), (2854, 5, 84), (4085, 5, 88)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",4,"[(3686, 16, 82), (2911, 28, 84), (3634, 28, 82), (4126, 28, 88)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",4,"[(3636, 26, 82), (4124, 26, 88), (3635, 27, 82), (4125, 27, 88)]"
"The site collects your demographic information for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",4,"[(2846, 3, 84), (4079, 3, 88), (2851, 5, 84), (4082, 5, 88)]"
An unnamed third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,3,"[(3678, 16, 82), (2898, 19, 84), (3689, 19, 82)]"
The policy makes a statement about how data from children is treated.,3,"[(2915, 31, 84), (3627, 31, 82), (4129, 31, 88)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",3,"[(2916, 32, 84), (3621, 32, 82), (4130, 32, 88)]"
An unnamed third party does receive your unspecified personal information for legal requirements. The data is personally identifiable.,3,"[(2897, 19, 84), (3688, 19, 82), (4116, 19, 88)]"
The site collects your unspecified information for personalization or customization. Collection happens on the website.,2,"[(2885, 13, 84), (4104, 13, 88)]"
"You can opt out (by contacting the company) from the use of generic personal information by a third party, which collects or receives it for advertising.",2,"[(2906, 23, 84), (4121, 23, 88)]"
A named third party does track on the first party website or app your cookies or tracking elements for targeted advertising.,2,"[(2869, 10, 84), (2877, 11, 84)]"
You can opt out (by contacting the company) from the use of unspecified information by an unspecified party for marketing purposes.,2,"[(3697, 25, 82), (4123, 25, 88)]"
"The site collects your IP address or device IDs for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",2,"[(2853, 5, 84), (4084, 5, 88)]"
The site collects your unspecified information for marketing purposes. Collection happens on the website.,2,"[(2884, 13, 84), (4106, 13, 88)]"
The site collects your unspecified information for a basic service or feature. Collection happens on the website.,2,"[(2883, 13, 84), (4105, 13, 88)]"
The site collects your unspecified information for analytics or research. Collection happens on the website.,2,"[(2889, 13, 84), (4109, 13, 88)]"
The site collects your unspecified information for advertising. Collection happens on the website.,2,"[(2886, 13, 84), (4107, 13, 88)]"
"The site collects your website activities for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",2,"[(4080, 3, 88), (2856, 5, 84)]"
A named third party does track on the first party website or app your activities on the website or app for targeted advertising.,2,"[(2876, 10, 84), (2881, 11, 84)]"
"You can opt out (by contacting the company) from the use of generic personal information by a third party, which collects or receives it for marketing purposes.",2,"[(2905, 23, 84), (4120, 23, 88)]"
"The site collects your computer information for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",2,"[(2852, 5, 84), (4083, 5, 88)]"
Do Not Track headers are mentioned but it is unclear if the company adheres to the user's Do Not Track preference.,2,"[(3660, 12, 82), (4102, 12, 88)]"
The site collects your unspecified information for service operations or security. Collection happens on the website.,2,"[(2888, 13, 84), (4108, 13, 88)]"
"You can use third party privacy settings to control the use of unspecified information by a third party, which uses it for advertising.",2,"[(2907, 24, 84), (4122, 24, 88)]"
A named third party does not receive your contact information for an unspecified purpose. The data is personally identifiable. You can opt in for data collection.,2,"[(2868, 9, 84), (3659, 10, 82)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",2,"[(3626, 33, 82), (4131, 33, 88)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature. The data is personally identifiable.,2,"[(2893, 16, 84), (3682, 16, 82)]"
An unnamed third party does receive your unspecified personal information for analytics or research. The data is aggregated or anonymized.,2,"[(2899, 20, 84), (3690, 20, 82)]"
"You can choose not to use a service or feature to avoid the use of generic personal information by the site, which collects it for an unspecified purpose.",2,"[(2904, 22, 84), (4119, 22, 88)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(4093, 9, 88)]"
An unnamed third party does collect on the first party website or app your cookies or tracking elements for targeted advertising. The data is aggregated or anonymized.,1,"[(4095, 10, 88)]"
An unspecified third party does receive your activities on the website or app for an additional (non-basic) service or feature.,1,"[(3650, 6, 82)]"
"When a change of a variety outside of our label scheme is made to the privacy policy, users are notified in a manner outside of our label scheme. Users must agree before their data is treated according to the new privacy policy.",1,"[(3619, 2, 82)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens when you implicitly provide information on the website. You can configure your privacy with third-party user settings.,1,"[(2865, 8, 84)]"
"The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1,"[(4081, 4, 88)]"
The site collects your generic personal information for advertising. Collection happens in an unspecified way.,1,"[(3672, 13, 82)]"
"A user's unspecified information is retained for a limited (but unspecified) period of time to meet legal or law enforcement requirements, and then it is deleted..",1,"[(3633, 29, 82)]"
An unnamed third party does do something unspecified with your IP address or device IDs for targeted advertising.,1,"[(3661, 11, 82)]"
"When a change of an unspecified nature is made to the privacy policy, users receive no notification. Users have no options regarding the change.",1,"[(2842, 2, 84)]"
A user's unspecified information is retained for an unspecified duration to fulfill an unspecified purpose.,1,"[(4127, 29, 88)]"
The site collects your IP address or device IDs for advertising. Collection happens in an unspecified way.,1,"[(3652, 7, 82)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information on the website. You can configure your privacy with browser settings.,1,"[(2864, 8, 84)]"
"The site collects your unspecified information for an unspecified purpose. Collection happens on the website, and your data is identifiable.",1,"[(2847, 3, 84)]"
The site collects your IP address or device IDs for advertising. Collection happens when you implicitly provide information on the website.,1,"[(4090, 7, 88)]"
"A user's unspecified information is retained for a limited (but unspecified) period of time to perform a requested service, and then it is deleted..",1,"[(3631, 29, 82)]"
An unnamed third party does track on the first party website or app your cookies or tracking elements for targeted advertising. The data is aggregated or anonymized.,1,"[(4096, 10, 88)]"
A named third party does receive your unspecified personal information for marketing purposes. The data is personally identifiable. You can opt out by contacting the company.,1,"[(3694, 23, 82)]"
An unnamed third party does receive your activities on the website or app for an unspecified purpose.,1,"[(2859, 6, 84)]"
Another part of the company or institution does receive unspecified information about you for an unspecified purpose.,1,"[(2890, 14, 84)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens by other websites.,1,"[(3655, 9, 82)]"
"You can opt in for the use of unique personal identifier by the site, which collects it for an unspecified purpose.",1,"[(3693, 22, 82)]"
"The site collects your computer information for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(3647, 5, 82)]"
"When a change of an unspecified nature is made to the privacy policy, users receive no notification. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(3618, 2, 82)]"
An unnamed third party does collect on the first party website or app your computer information for targeted advertising.,1,"[(4099, 11, 88)]"
"You can make a choice about your privacy not described by our label scheme the use of generic personal information by a third party, which collects or receives it for an unspecified purpose.",1,"[(3691, 21, 82)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,1,"[(2892, 15, 84)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens in an unspecified way. You can configure your privacy with browser settings.,1,"[(3654, 8, 82)]"
An unnamed third party does receive your unspecified personal information for marketing purposes. The data is personally identifiable.,1,"[(3680, 16, 82)]"
Another part of the company or institution does see your unspecified personal information for marketing purposes. The data is personally identifiable.,1,"[(4111, 16, 88)]"
An unnamed third party does do something unspecified with your computer information for targeted advertising.,1,"[(3662, 11, 82)]"
An unnamed third party does do something unspecified with your cookies or tracking elements for targeted advertising.,1,"[(3665, 11, 82)]"
An unnamed third party does receive your activities on the website or app for personalization or customization. The data is aggregated or anonymized.,1,"[(2901, 20, 84)]"
The site collects your location information for an unspecified purpose. Collection happens on the website.,1,"[(2863, 7, 84)]"
An unnamed third party does collect on the first party website or app your location information for targeted advertising.,1,"[(4100, 11, 88)]"
The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way.,1,"[(3668, 13, 82)]"
The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way.,1,"[(3671, 13, 82)]"
"The site collects your IP address or device IDs for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(3645, 5, 82)]"
Another part of the company or institution does see your unspecified personal information for service operations or security. The data is personally identifiable.,1,"[(4110, 16, 88)]"
"The site collects your financial information for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(2855, 5, 84)]"
The site collects your location information for advertising. Collection happens on the website.,1,"[(2862, 7, 84)]"
An unnamed third party does receive your unspecified personal information for analytics or research. The data is personally identifiable.,1,"[(3681, 16, 82)]"
You can opt out (via a link) from the use of unspecified information by an unspecified party for advertising.,1,"[(3696, 24, 82)]"
An unnamed third party does do something unspecified with your activities on the website or app for targeted advertising.,1,"[(3663, 11, 82)]"
A named third party does track on the first party website or app your computer information for targeted advertising.,1,"[(2879, 11, 84)]"
"The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(3630, 30, 82)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens on the website. You can configure your privacy with browser settings.,1,"[(4092, 8, 88)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable. You can opt in for data collection.,1,"[(3656, 9, 82)]"
Other users does receive your activities on the website or app for an unspecified purpose. The data is personally identifiable. You can opt in for data collection.,1,"[(4089, 6, 88)]"
The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way.,1,"[(3667, 13, 82)]"
A named third party does track on the first party website or app your location information for targeted advertising.,1,"[(2880, 11, 84)]"
The website ignores Do Not Track headers and the user's Do Not Track preference.,1,"[(2882, 12, 84)]"
"The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can opt in for data collection.",1,"[(3692, 22, 82)]"
"The site collects your location information for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(3646, 5, 82)]"
"You can opt out (by contacting the company) from the use of unspecified information by the site, which uses it for an unspecified purpose.",1,"[(2908, 25, 84)]"
"A user can view their information, within the scope of unspecified user information.",1,"[(2920, 35, 84)]"
An unspecified third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,1,"[(3675, 15, 82)]"
An unnamed third party does receive unspecified information about you for mergers or acquisitions. The data is personally identifiable.,1,"[(4115, 18, 88)]"
An unnamed third party does not receive your contact information for marketing purposes. You can opt out by contacting the company.,1,"[(3687, 17, 82)]"
"The site collects your contact information for a basic service or feature. Collection happens in an unspecified way, and your data is identifiable.",1,"[(3640, 3, 82)]"
"The site collects your generic personal information for analytics or research. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable.",1,"[(3642, 4, 82)]"
An unnamed third party does receive your location information for targeted advertising. The data is personally identifiable. You can opt out by contacting the company for the use of your information.,1,"[(2895, 17, 84)]"
A user's unspecified information is retained for a limited (but unspecified) period of time to fulfill a purpose not covered by our label scheme.,1,"[(3632, 29, 82)]"
A named third party does not receive your cookies or tracking elements for an unspecified purpose. The data is personally identifiable. You can opt in for data collection.,1,"[(2867, 9, 84)]"
An unnamed third party does receive information about you not covered by our label scheme for an unspecified purpose.,1,"[(4088, 6, 88)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(4086, 5, 88)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens on the website.,1,"[(2887, 13, 84)]"
"The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection.",1,"[(4128, 30, 88)]"
The site collects your generic personal information for service operations or security. Collection happens in an unspecified way.,1,"[(3670, 13, 82)]"
An unnamed third party does receive your unspecified personal information for an additional (non-basic) service or feature. The data is personally identifiable.,1,"[(3679, 16, 82)]"
The site collects your location information for advertising. Collection happens when you implicitly provide information on the website.,1,"[(4091, 7, 88)]"
An unnamed third party does do something unspecified with your location information for targeted advertising.,1,"[(3664, 11, 82)]"
An unnamed third party does collect on the first party website or app your IP address or device IDs for targeted advertising.,1,"[(4098, 11, 88)]"
A named third party does not collect on the first party website or app your contact information for an unspecified purpose. You can opt in for data collection.,1,"[(2873, 10, 84)]"
"Users with accounts can view their information, within the scope of unspecified user information.",1,"[(2917, 33, 84)]"
An unnamed third party does receive your unspecified personal information for mergers or acquisitions. The data is personally identifiable.,1,"[(2896, 18, 84)]"
"When a change of an unspecified nature is made to the privacy policy, users receive no notification. Users can participate in a process to influence the change.",1,"[(4071, 2, 88)]"
"A user can delete their account (although the company or organization may continue to keep some data), within the scope of unspecified user information.",1,"[(2922, 35, 84)]"
"The site collects your website activities for a basic service or feature. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1,"[(3638, 3, 82)]"
"The site collects your unspecified information for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(2844, 3, 84)]"
An unnamed third party does not receive your cookies or tracking elements for an unspecified purpose. The data is personally identifiable. You can opt in for data collection.,1,"[(4094, 9, 88)]"
