"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",10,"[(4461, 0, 96), (14160, 0, 123), (4462, 1, 96), (7500, 1, 103), (14161, 1, 123), (4463, 2, 96), (4481, 7, 96), (14271, 7, 123), (4483, 8, 96), (14291, 11, 123)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",4,"[(14282, 9, 123), (4495, 14, 96), (7526, 14, 103), (14296, 14, 123)]"
"When a change is made to the privacy policy that significantly affects data practices, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",3,"[(4491, 13, 96), (7524, 13, 103), (14294, 13, 123)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(4487, 11, 96), (7518, 11, 103), (14289, 11, 123)]"
The policy makes a statement about how data from children is treated.,3,"[(4480, 6, 96), (7510, 6, 103), (14269, 6, 123)]"
The site collects your unspecified information for legal requirements. Collection happens in an unspecified way.,2,"[(7516, 10, 103), (14283, 10, 123)]"
"The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",2,"[(4476, 5, 96), (14267, 5, 123)]"
The text does not fit into our label scheme.,2,"[(14252, 2, 123), (14275, 8, 123)]"
"The site collects your computer information for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",2,"[(4479, 5, 96), (14268, 5, 123)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(4492, 13, 96), (7525, 13, 103)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",2,"[(7519, 11, 103), (14288, 11, 123)]"
An unnamed third party does receive unspecified information about you for legal requirements.,2,"[(4485, 10, 96), (14285, 10, 123)]"
A specific security measure not covered above.,2,"[(7520, 11, 103), (14290, 11, 123)]"
The site collects your financial information for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts.,2,"[(7502, 2, 103), (14245, 2, 123)]"
"The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",2,"[(4477, 5, 96), (14266, 5, 123)]"
A third party outside of our label scheme does not do something outside of our label scheme with unspecified information about you for an unspecified purpose.,1,"[(4468, 2, 96)]"
The site does not collect your unspecified information for an unspecified purpose. Collection happens on the website.,1,"[(14261, 3, 123)]"
The site collects your financial information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website. You can opt in for data collection for the collection of your information.,1,"[(4466, 2, 96)]"
The site does not collect your demographic information for a purpose outside of our label scheme. Collection happens on the website for users without accounts.,1,"[(7503, 3, 103)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts.,1,"[(14246, 2, 123)]"
"You can make a choice about your privacy not described by our label scheme the use of financial information by the site, which uses it for an additional (non-basic) service or feature.",1,"[(4490, 12, 96)]"
The site collects your contact information for an unspecified purpose. Collection happens when you explicitly provide information by some means outside of our label scheme for users with accounts.,1,"[(14263, 4, 123)]"
"The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens on the website, and your data is aggregated or anonymized. You can configure your privacy with browser settings for the collection and use of your information.",1,"[(14277, 7, 123)]"
The site does not collect your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information on the website for users with accounts.,1,"[(14167, 2, 123)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information on the website. You can opt in for data collection for the collection of your information.,1,"[(4471, 3, 96)]"
"A user with an account can make a choice about your privacy not described by our label scheme the use of contact information by the site, which uses it for marketing purposes.",1,"[(7523, 12, 103)]"
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can choose not to use the service or feature for the use of your information.",1,"[(4489, 12, 96)]"
The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information in an unspecified way for a user type outside of our label scheme. You can make a choice about the use of your information.,1,"[(7521, 12, 103)]"
The site does not collect your demographic information for an unspecified purpose. Collection happens on the website for users without accounts.,1,"[(7504, 3, 103)]"
The site collects your financial information for an unspecified purpose. Collection happens when you explicitly provide information by some means outside of our label scheme for users with accounts.,1,"[(14264, 4, 123)]"
"You can make no specified choices about the use of activities on the website or app by a third party, which uses it for advertising.",1,"[(7515, 9, 103)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,1,"[(14256, 3, 123)]"
A named third party does receive unspecified information about you for a basic service or feature. This applies to users without accounts.,1,"[(14251, 2, 123)]"
The site collects your contact information for an unspecified purpose. Collection happens on the website for users with accounts.,1,"[(7506, 4, 103)]"
A third party outside of our label scheme does not receive unspecified information about you for an unspecified purpose.,1,"[(4467, 2, 96)]"
The site does not collect your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,1,"[(4464, 2, 96)]"
"The site collects your financial information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(4475, 4, 96)]"
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(4474, 4, 96)]"
"The site does not collect your demographic information for an unspecified purpose. Collection happens on the website, and your data's identifiability is not covered by our label scheme.",1,"[(4473, 3, 96)]"
The site does not collect your unspecified information for an unspecified purpose. Collection happens on the website for a user type outside of our label scheme.,1,"[(14270, 6, 123)]"
The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information on the website for a user type outside of our label scheme.,1,"[(7501, 2, 103)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way. You can configure your privacy using a method outside our label scheme for the use of your information.,1,"[(14292, 12, 123)]"
An unnamed third party does receive unspecified information about you for a basic service or feature.,1,"[(4469, 2, 96)]"
"A user with an account can make no specified choices about the use of unspecified information by the site, which uses it for a basic service or feature.",1,"[(14293, 12, 123)]"
An unnamed third party does do something outside of our label scheme with unspecified information about you for a basic service or feature.,1,"[(4470, 2, 96)]"
The site does not collect your health information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(14260, 3, 123)]"
A named third party does receive unspecified information about you for a basic service or feature. This applies to users with accounts.,1,"[(14250, 2, 123)]"
"You can make no specified choices about the use of unspecified information by the site, which collects it for an additional (non-basic) service or feature.",1,"[(4482, 7, 96)]"
The site collects your unspecified information for service operations or security. Collection happens in an unspecified way.,1,"[(7517, 10, 103)]"
"The site collects an information type outside of our label scheme for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",1,"[(4478, 5, 96)]"
An unnamed third party does not receive unspecified information about you for an unspecified purpose. This applies to users without accounts.,1,"[(14249, 2, 123)]"
The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website. You can opt in for data collection for the collection of your information.,1,"[(4465, 2, 96)]"
"The site collects your IP address or device IDs for analytics or research. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(7508, 5, 103)]"
An unspecified third party does receive unspecified information about you for service operations or security.,1,"[(14286, 10, 123)]"
The site collects your financial information for an unspecified purpose. Collection happens on the website for users with accounts.,1,"[(7507, 4, 103)]"
The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens on the website for users with accounts.,1,"[(7511, 7, 103)]"
A named third party does receive unspecified information about you for legal requirements.,1,"[(14284, 10, 123)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website for users with accounts.,1,"[(14169, 2, 123)]"
A named third party does see your activities on the website or app for targeted advertising.,1,"[(7514, 9, 103)]"
The site does not collect your demographic information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(14258, 3, 123)]"
The site does not collect your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information on the website for users without accounts.,1,"[(14168, 2, 123)]"
"The site does not collect your health information for an unspecified purpose. Collection happens on the website, and your data's identifiability is not covered by our label scheme.",1,"[(4472, 3, 96)]"
The site does not collect your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(14254, 3, 123)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified in an unspecified manner. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(14295, 13, 123)]"
"When a minor change is made to the privacy policy that does not significantly affect data practices, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(4494, 13, 96)]"
A named third party does do something outside of our label scheme with unspecified information about you for targeted advertising. The identifiability of the data is not covered by our label scheme. You can configure your privacy using a method outside our label scheme for the use of your information.,1,"[(4484, 9, 96)]"
"A user type outside of our label scheme can make no specified choices about the use of contact information by the site, which uses it for marketing purposes.",1,"[(7522, 12, 103)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by an unspecified party for an additional (non-basic) service or feature.,1,"[(7512, 7, 103)]"
A named third party does do something outside of our label scheme with your activities on the website or app for targeted advertising.,1,"[(7513, 9, 103)]"
"Data is stored securely, e.g. in an encrypted format or database.",1,"[(4488, 11, 96)]"
"When a minor change is made to the privacy policy that does not significantly affect data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(4493, 13, 96)]"
"The site collects your website activities for analytics or research. Collection happens on the website, and your data is aggregated or anonymized.",1,"[(7509, 5, 103)]"
"A user with an account can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by the site, which collects it for an additional (non-basic) service or feature.",1,"[(14272, 7, 123)]"
An unnamed third party does not receive unspecified information about you for an unspecified purpose. This applies to users with accounts.,1,"[(14248, 2, 123)]"
A named third party does collect on the first party website or app your unspecified personal information for targeted advertising. You can opt out by contacting the company for the use of your information.,1,"[(14281, 9, 123)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website for users without accounts.,1,"[(14170, 2, 123)]"
