"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",20,"[(21008, 0, 96), (18131, 1, 103), (21009, 1, 96), (18132, 2, 103), (21010, 2, 96), (21011, 3, 96), (21013, 5, 96), (21038, 17, 96), (21039, 18, 96), (21066, 33, 96), (21067, 34, 96), (21068, 35, 96), (21069, 36, 96), (21070, 37, 96), (21080, 45, 96), (21623, 0, 127), (21794, 1, 127), (21624, 2, 127), (21628, 5, 127), (21648, 17, 127)]"
The text does not fit into our label scheme.,13,"[(21073, 40, 96), (21082, 47, 96), (21797, 1, 127), (21625, 3, 127), (21785, 18, 127), (21806, 26, 127), (21738, 31, 127), (21770, 33, 127), (21774, 34, 127), (21743, 35, 127), (21766, 36, 127), (21744, 37, 127), (21761, 45, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,8,"[(18111, 1, 103), (18710, 34, 103), (18725, 47, 103), (21795, 1, 127), (21646, 14, 127), (21663, 16, 127), (21772, 34, 127), (21763, 47, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",6,"[(18720, 44, 103), (18724, 46, 103), (21081, 46, 96), (21796, 1, 127), (21753, 44, 127), (21762, 46, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",5,"[(18700, 28, 103), (18712, 37, 103), (21076, 42, 96), (18719, 43, 103), (21077, 43, 96)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,4,"[(18135, 6, 103), (21047, 21, 96), (21629, 6, 127), (21719, 21, 127)]"
An unspecified third party does receive unspecified information about you for service operations or security.,3,"[(18321, 9, 103), (21018, 9, 96), (21632, 9, 127)]"
An unnamed third party does receive your unspecified personal information for an unspecified purpose.,3,"[(18319, 7, 103), (21016, 7, 96), (21630, 7, 127)]"
The site collects your website activities for an unspecified purpose. Collection happens on the website.,3,"[(18358, 22, 103), (21048, 22, 96), (21721, 22, 127)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",3,"[(18717, 42, 103), (21075, 42, 96), (21750, 42, 127)]"
"A user can view their information, within the scope of information the company has learned about the user.",2,"[(18721, 44, 103), (21755, 44, 127)]"
"The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",2,"[(21788, 13, 127), (21662, 16, 127)]"
"A user can view their information, within the scope of information explicitly provided by the user.",2,"[(21079, 44, 96), (21757, 44, 127)]"
An unspecified third party does receive unspecified information about you for legal requirements.,2,"[(18320, 8, 103), (21017, 8, 96)]"
The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information on the website.,2,"[(18697, 28, 103), (18701, 29, 103)]"
A specific security measure not covered above.,2,"[(21636, 10, 127), (21752, 43, 127)]"
"You can make no specified choices about the use of contact information by the site, which uses it for an unspecified purpose.",2,"[(18715, 40, 103), (21748, 40, 127)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users can decline the new policy by canceling their account, opting out, or through some other means.",2,"[(21074, 41, 96), (21749, 41, 127)]"
Data is accessible to employees/third parties on a need-to-know basis.,2,"[(21635, 10, 127), (21815, 28, 127)]"
An unnamed third party does receive your activities on the website or app for an unspecified purpose. The data is aggregated or anonymized.,2,"[(21050, 23, 96), (21726, 23, 127)]"
"The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",2,"[(21656, 16, 127), (21722, 23, 127)]"
The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information on the website. You can choose not to use the service or feature for the collection and use of your information.,2,"[(21060, 29, 96), (21062, 30, 96)]"
"The company/organization has a privacy or security program/organization in place addressing, for example, how to protect data against unauthorized access or privacy training for employees.",2,"[(18323, 10, 103), (18718, 42, 103)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(18134, 4, 103), (21626, 4, 127)]"
A named third party does receive your contact information for analytics or research.,2,"[(18322, 10, 103), (21633, 10, 127)]"
"The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme.",2,"[(21024, 13, 96), (21031, 16, 96)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature. The data is personally identifiable.,2,"[(21798, 26, 127), (21812, 28, 127)]"
The site collects your demographic information for an unspecified purpose. Collection happens on the website for users with accounts.,1,"[(18325, 11, 103)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the use of your information.,1,"[(18703, 30, 103)]"
The site collects your generic personal information for analytics or research. Collection happens by an unnamed service or third party.,1,"[(18357, 20, 103)]"
"You can opt in for the use of unspecified information by the site, which collects it for personalization or customization.",1,"[(21727, 24, 127)]"
An unnamed third party does track on the first party website or app your IP address or device IDs for analytics or research. The data is aggregated or anonymized.,1,"[(21790, 13, 127)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,1,"[(21811, 28, 127)]"
"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(21022, 12, 96)]"
"The site collects your computer information for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",1,"[(21657, 16, 127)]"
"The site collects your computer information for analytics or research. Collection happens when you implicitly provide information on other websites, and your data is aggregated or anonymized.",1,"[(18349, 16, 103)]"
