"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",20,"[(21127, 0, 96), (21128, 1, 96), (18789, 2, 103), (21129, 2, 96), (21130, 3, 96), (21132, 5, 96), (21133, 6, 96), (21158, 19, 96), (21159, 20, 96), (21174, 26, 96), (21184, 31, 96), (21988, 0, 127), (21990, 2, 127), (21991, 3, 127), (21992, 4, 127), (21994, 5, 127), (21995, 6, 127), (21996, 7, 127), (22016, 11, 127), (22378, 24, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",13,"[(18792, 4, 103), (18806, 14, 103), (21197, 37, 96), (19900, 40, 103), (21200, 40, 96), (21993, 4, 127), (22020, 14, 127), (22333, 15, 127), (22387, 28, 127), (22409, 36, 127), (22412, 37, 127), (22421, 39, 127), (22422, 40, 127)]"
The text does not fit into our label scheme.,10,"[(21989, 1, 127), (22006, 9, 127), (22353, 16, 127), (22386, 26, 127), (22394, 31, 127), (22403, 33, 127), (22404, 34, 127), (22406, 35, 127), (22418, 38, 127), (22419, 39, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,8,"[(21140, 10, 96), (19881, 31, 103), (19899, 39, 103), (22018, 13, 127), (22354, 19, 127), (22359, 21, 127), (22385, 26, 127), (22393, 31, 127)]"
The policy makes a statement about how data from children is treated.,6,"[(19890, 33, 103), (21189, 33, 96), (19891, 34, 103), (21190, 34, 96), (22402, 33, 127), (22405, 34, 127)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",6,"[(19897, 38, 103), (21198, 38, 96), (19898, 39, 103), (21199, 39, 96), (22416, 38, 127), (22420, 39, 127)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",6,"[(19822, 22, 103), (21164, 22, 96), (19887, 32, 103), (21185, 32, 96), (22371, 22, 127), (22399, 32, 127)]"
Privacy practices and security measures of the first party or third party are reviewed/audited by internal or external reviewers/auditors.,4,"[(18790, 4, 103), (19889, 32, 103), (21187, 32, 96), (22401, 32, 127)]"
Data is accessible to employees/third parties on a need-to-know basis.,4,"[(19888, 32, 103), (21186, 32, 96), (22379, 25, 127), (22400, 32, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",3,"[(19886, 32, 103), (21188, 32, 96), (22398, 32, 127)]"
The site collects your unspecified information for an unspecified purpose. Collection happens on the website.,3,"[(21134, 7, 96), (18803, 11, 103), (21141, 11, 96)]"
The site collects your financial information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,2,"[(18798, 8, 103), (21137, 8, 96)]"
An unnamed third party does receive your unspecified personal information for legal requirements.,2,"[(19880, 30, 103), (22391, 30, 127)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",2,"[(19894, 36, 103), (21193, 36, 96)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified when visiting the website. Users can decline the new policy by canceling their account, opting out, or through some other means.",2,"[(21191, 35, 96), (22407, 35, 127)]"
"The site collects your computer information for personalization or customization. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme. You can configure your privacy with browser settings for the collection of your information.",2,"[(19140, 18, 103), (21156, 18, 96)]"
"The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme. You can configure your privacy with browser settings for the collection of your information.",2,"[(19138, 18, 103), (21155, 18, 96)]"
"A user's unspecified information is retained for a limited (but unspecified) period of time to perform a requested service, and then it is deleted..",2,"[(19895, 37, 103), (22411, 37, 127)]"
A specific security measure not covered above.,2,"[(19835, 25, 103), (19836, 26, 103)]"
"The site collects your website activities for analytics or research. Collection happens on the website, and your data is aggregated or anonymized.",2,"[(21161, 21, 96), (22360, 21, 127)]"
"The site collects your unspecified information for marketing purposes. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",2,"[(21142, 12, 96), (21147, 16, 96)]"
An unnamed third party does receive your unspecified personal information for mergers or acquisitions. The data is personally identifiable.,2,"[(19879, 29, 103), (22430, 29, 127)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users can decline the new policy by canceling their account, opting out, or through some other means.",2,"[(21192, 35, 96), (22408, 35, 127)]"
The site collects your website activities for an unspecified purpose. Collection happens on the website.,2,"[(18799, 9, 103), (18801, 9, 103)]"
"Data is stored securely, e.g. in an encrypted format or database.",2,"[(19823, 22, 103), (22370, 22, 127)]"
An unnamed third party does receive your demographic information for an unspecified purpose. The data is aggregated or anonymized.,2,"[(21175, 27, 96), (22043, 27, 127)]"
An unnamed third party does receive your activities on the website or app for an unspecified purpose. The data is aggregated or anonymized.,2,"[(21176, 27, 96), (22045, 27, 127)]"
"You can opt out (by contacting the company) from the use of unspecified information by the site, which uses it for marketing purposes.",2,"[(21146, 15, 96), (21177, 28, 96)]"
"The site collects your website activities for advertising. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme. You can configure your privacy with browser settings for the collection of your information.",2,"[(19145, 18, 103), (21154, 18, 96)]"
The site collects your demographic information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,2,"[(18797, 8, 103), (21136, 8, 96)]"
The site collects your contact information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,2,"[(18795, 8, 103), (21135, 8, 96)]"
"The site collects your website activities for advertising. Collection happens on the website, and your data is aggregated or anonymized.",2,"[(21162, 21, 96), (22363, 21, 127)]"
"The site collects your unspecified information for analytics or research. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(21148, 17, 96)]"
"The site collects your user profile for an additional (non-basic) service or feature. Collection happens when you implicitly provide information on the website for users with accounts, and your data is aggregated or anonymized. You can configure your privacy with browser settings for the collection of your information.",1,"[(22032, 18, 127)]"
A named third party does receive your unspecified personal information for a basic service or feature. The data is personally identifiable.,1,"[(19831, 25, 103)]"
A named third party does receive your demographic information for an unspecified purpose. The data is aggregated or anonymized. You can configure your privacy using a method outside our label scheme for the collection or sharing of your information.,1,"[(19838, 27, 103)]"
A named third party does not receive your contact information for marketing purposes. You can opt out by contacting the company for the use of your information.,1,"[(22388, 28, 127)]"
"The site collects your cookies or tracking elements for marketing purposes. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",1,"[(22038, 20, 127)]"
A named third party does collect on the first party website or app unspecified information about you for a purpose outside of our label scheme. You can configure your privacy with third-party user settings.,1,"[(19128, 16, 103)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,1,"[(22017, 13, 127)]"
A named third party does receive unspecified information about you for an unspecified purpose. The data is aggregated or anonymized.,1,"[(22040, 27, 127)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(19893, 35, 103)]"
"The site collects your computer information for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized. You can configure your privacy with browser settings for the collection of your information.",1,"[(22023, 18, 127)]"
"A user's unspecified information is retained for a limited (but unspecified) period of time to meet legal or law enforcement requirements, and then it is deleted..",1,"[(19896, 37, 103)]"
The site collects your contact information for marketing purposes. Collection happens when you explicitly provide information on the website for users with accounts. You can opt in for data collection for the collection of your information.,1,"[(22331, 15, 127)]"
"A type of user outside of our label scheme can edit their information, within the scope of information explicitly provided by the user.",1,"[(22021, 14, 127)]"
The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,1,"[(22013, 10, 127)]"
An unnamed third party does track on the first party website or app your cookies or tracking elements for an additional (non-basic) service or feature.,1,"[(22355, 19, 127)]"
The site collects your contact information for an unspecified purpose. Collection happens when you explicitly provide information on the website. You can opt in for data collection for the collection of your information.,1,"[(21998, 8, 127)]"
"You can use privacy configuration settings (in the website or app) to control the use of unspecified information by the site, which uses it for marketing purposes.",1,"[(21179, 28, 96)]"
"The site collects your computer information for personalization or customization. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized. You can configure your privacy with browser settings for the collection of your information.",1,"[(22028, 18, 127)]"
A named third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,1,"[(22046, 27, 127)]"
"The site collects your unspecified information for analytics or research. Collection happens when you explicitly provide information in an unspecified way, and your data is aggregated or anonymized. You can opt in for data collection for the collection of your information.",1,"[(22374, 23, 127)]"
"The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information by an unnamed service or third party, and your data is aggregated or anonymized.",1,"[(22037, 20, 127)]"
"A user's unspecified information is retained for an unspecified duration to meet legal or law enforcement requirements, and then it is deleted..",1,"[(22413, 37, 127)]"
An unnamed third party does do something outside of our label scheme with your cookies or tracking elements for an unspecified purpose.,1,"[(22395, 31, 127)]"
The site collects your contact information for advertising. Collection happens when you explicitly provide information on the website for users with accounts. You can opt in for data collection for the collection of your information.,1,"[(22330, 15, 127)]"
"The site collects your IP address or device IDs for analytics or research. Collection happens in an unspecified way, and your data's identifiability is not covered by our label scheme.",1,"[(19157, 21, 103)]"
An unnamed third party does receive unspecified information about you for marketing purposes. The data is personally identifiable.,1,"[(21173, 25, 96)]"
"The site collects your website activities for personalization or customization. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme. You can configure your privacy with browser settings for the collection of your information.",1,"[(19144, 18, 103)]"
"The site collects your computer information for advertising. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme. You can configure your privacy with browser settings for the collection of your information.",1,"[(19141, 18, 103)]"
"The site collects your unspecified information for advertising. Collection happens when you explicitly provide information by some means outside of our label scheme, and your data is aggregated or anonymized.",1,"[(19827, 23, 103)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website.,1,"[(19819, 22, 103)]"
"The site collects your cookies or tracking elements for marketing purposes. Collection happens when you implicitly provide information by an unnamed service or third party, and your data is aggregated or anonymized.",1,"[(22039, 20, 127)]"
A named third party does collect on the first party website or app unspecified information about you for an additional (non-basic) service or feature.,1,"[(22352, 16, 127)]"
"You can make no specified choices about the use of generic personal information by a third party, which collects or receives it for marketing purposes.",1,"[(22417, 38, 127)]"
A named third party does receive your IP address or device IDs for analytics or research. The data is personally identifiable.,1,"[(19162, 21, 103)]"
"The site collects your generic personal information for a purpose outside of our label scheme. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection for the use of your information.",1,"[(22346, 16, 127)]"
"The site collects your survey data for analytics or research. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(22022, 17, 127)]"
