"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",33,"[(4682, 0, 96), (7971, 0, 103), (4683, 1, 96), (7973, 1, 103), (17770, 1, 123), (4684, 2, 96), (7974, 2, 103), (17772, 2, 123), (4685, 3, 96), (7975, 3, 103), (17773, 3, 123), (4686, 4, 96), (7976, 4, 103), (17774, 4, 123), (4687, 5, 96), (7977, 5, 103), (17775, 5, 123), (7978, 6, 103), (4692, 7, 96), (17780, 7, 123), (4693, 8, 96), (4694, 9, 96), (5033, 25, 96), (5043, 30, 96), (8038, 30, 103), (22068, 30, 123), (8055, 40, 103), (7432, 41, 96), (22148, 41, 123), (22167, 53, 123), (7451, 55, 96), (22171, 55, 123), (22174, 57, 123)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",17,"[(7980, 8, 103), (17781, 8, 123), (7989, 11, 103), (8025, 22, 103), (8029, 24, 103), (21603, 24, 123), (8033, 27, 103), (22050, 27, 123), (8054, 40, 103), (8056, 41, 103), (7438, 46, 96), (8061, 46, 103), (22153, 46, 123), (7442, 47, 96), (22157, 47, 123), (22160, 48, 123), (8065, 49, 103)]"
The text describes a specific data practice that is not covered by our label scheme.,9,"[(7972, 0, 103), (7979, 7, 103), (5008, 18, 96), (8006, 18, 103), (5032, 24, 96), (7445, 49, 96), (7448, 52, 96), (22166, 52, 123), (7449, 53, 96)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",9,"[(7450, 54, 96), (8070, 54, 103), (22170, 54, 123), (8071, 55, 103), (7452, 56, 96), (8072, 56, 103), (22172, 56, 123), (8075, 59, 103), (22178, 59, 123)]"
The text does not fit into our label scheme.,8,"[(17767, 0, 123), (18161, 18, 123), (22099, 34, 123), (22100, 35, 123), (22101, 36, 123), (8068, 52, 103), (22169, 53, 123), (7455, 59, 96)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",6,"[(7453, 57, 96), (8073, 57, 103), (22173, 57, 123), (7454, 58, 96), (8074, 58, 103), (22175, 58, 123)]"
The policy makes a statement about how data from children is treated.,5,"[(7446, 50, 96), (8066, 50, 103), (22164, 50, 123), (7447, 51, 96), (8067, 51, 103)]"
The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way.,4,"[(8012, 20, 103), (18169, 20, 123), (8016, 21, 103), (18174, 21, 123)]"
The site collects your generic personal information for service operations or security. Collection happens in an unspecified way.,4,"[(8013, 20, 103), (18168, 20, 123), (8018, 21, 103), (18175, 21, 123)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,4,"[(17768, 1, 123), (18072, 11, 123), (18073, 11, 123), (18137, 12, 123)]"
"The company/organization has a privacy or security program/organization in place addressing, for example, how to protect data against unauthorized access or privacy training for employees.",4,"[(7981, 9, 103), (7440, 47, 96), (8062, 47, 103), (22154, 47, 123)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,3,"[(17769, 1, 123), (18077, 11, 123), (18139, 12, 123)]"
"You can opt out (by contacting the company) from the use of contact information by the site, which uses it for marketing purposes.",3,"[(8040, 31, 103), (7424, 34, 96), (8047, 36, 103)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",3,"[(8042, 33, 103), (7431, 40, 96), (22147, 40, 123)]"
The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way.,3,"[(18167, 20, 123), (8015, 21, 103), (18179, 21, 123)]"
The site collects your unspecified information for analytics or research. Collection happens by an unnamed service or third party.,3,"[(7983, 10, 103), (8009, 19, 103), (18162, 19, 123)]"
The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way.,3,"[(18166, 20, 123), (8014, 21, 103), (18177, 21, 123)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens on the website.,3,"[(8004, 16, 103), (18158, 16, 123), (18159, 16, 123)]"
An unspecified third party does receive your unspecified personal information for legal requirements.,3,"[(5028, 22, 96), (5034, 26, 96), (8031, 26, 103)]"
The site collects your unspecified information for personalization or customization. Collection happens by an unnamed service or third party.,3,"[(7984, 10, 103), (8008, 19, 103), (18163, 19, 123)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified in an unspecified manner. Users' choices regarding policy changes are not mentioned or are unclear.",3,"[(7456, 60, 96), (8076, 60, 103), (7457, 61, 96)]"
