"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",14,"[(1240, 0, 82), (1424, 0, 84), (2281, 0, 88), (1242, 1, 82), (1428, 1, 84), (2284, 1, 88), (1247, 2, 82), (2285, 2, 88), (1441, 6, 84), (1493, 15, 84), (1780, 15, 82), (2484, 15, 88), (1514, 24, 84), (1519, 26, 84)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",8,"[(1623, 10, 82), (1233, 22, 82), (2499, 22, 88), (1221, 28, 82), (1521, 28, 84), (2304, 28, 88), (1223, 29, 82), (2307, 29, 88)]"
The text describes a specific data practice that is not covered by our label scheme.,7,"[(2397, 10, 88), (2488, 18, 88), (1231, 24, 82), (2501, 24, 88), (2503, 25, 88), (1224, 30, 82), (1524, 30, 84)]"
An unnamed third party does receive unspecified information about you for an unspecified purpose.,4,"[(1492, 14, 84), (1495, 16, 84), (1517, 25, 84), (2505, 25, 88)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",3,"[(1232, 23, 82), (1513, 23, 84), (2500, 23, 88)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information by an unnamed service or third party.,3,"[(2362, 4, 88), (1438, 5, 84), (2365, 5, 88)]"
The policy makes a statement about how data from children is treated.,3,"[(1228, 27, 82), (1520, 27, 84), (2302, 27, 88)]"
An unnamed third party does receive your unspecified personal information for a purpose outside of our label scheme.,3,"[(1784, 16, 82), (1239, 20, 82), (1793, 25, 82)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",3,"[(1222, 29, 82), (1522, 29, 84), (2306, 29, 88)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way.,3,"[(1440, 5, 84), (1450, 7, 84), (1489, 14, 84)]"
Another part of the company or institution does receive unspecified information about you for targeted advertising.,3,"[(1501, 17, 84), (2487, 17, 88), (2491, 20, 88)]"
An unnamed third party does receive your unspecified personal information for legal requirements.,2,"[(1790, 19, 82), (1237, 21, 82)]"
An unspecified third party does receive unspecified information about you for service operations or security.,2,"[(1507, 19, 84), (1510, 21, 84)]"
Another part of the company or institution does receive unspecified information about you for an unspecified purpose.,2,"[(1499, 17, 84), (2490, 20, 88)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,2,"[(1427, 1, 84), (1429, 2, 84)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",2,"[(1229, 26, 82), (2301, 26, 88)]"
"Users with accounts can view their information, within the scope of unspecified user information.",2,"[(1234, 22, 82), (1511, 22, 84)]"
"Users with accounts can edit their information, within the scope of unspecified user information.",2,"[(1235, 22, 82), (1512, 22, 84)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by an unspecified party for an unspecified purpose.,2,"[(1455, 9, 84), (1591, 9, 82)]"
"The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",2,"[(2294, 3, 88), (2455, 13, 88)]"
An unspecified third party does receive unspecified information about you for legal requirements.,2,"[(1506, 19, 84), (1509, 21, 84)]"
The site collects your generic personal information for an unspecified purpose. Collection happens by an unnamed service or third party.,2,"[(1381, 4, 82), (1486, 5, 82)]"
An unnamed third party does receive unspecified information about you for a basic service or feature.,2,"[(1494, 16, 84), (2485, 16, 88)]"
The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information by other parts of the company or affiliates.,2,"[(1439, 5, 84), (2364, 5, 88)]"
An unnamed third party does receive your unspecified personal information for service operations or security.,2,"[(1791, 19, 82), (1236, 21, 82)]"
The site collects your generic personal information for an unspecified purpose. Collection happens by other parts of the company or affiliates.,2,"[(1246, 1, 82), (1487, 5, 82)]"
The site collects your IP address or device IDs for advertising. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with third-party user settings.,1,"[(1472, 12, 84)]"
The public does see your unspecified personal information for an additional (non-basic) service or feature.,1,"[(1528, 6, 82)]"
The site collects your generic personal information for an unspecified purpose. Collection happens on the mobile website.,1,"[(1244, 1, 82)]"
"The site collects your IP address or device IDs for a basic service or feature. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized.",1,"[(1568, 8, 82)]"
The site collects your location information for advertising. Collection happens when you implicitly provide information on the mobile website. You can configure your privacy with browser settings for the collection of your information.,1,"[(2452, 12, 88)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",1,"[(1226, 31, 82)]"
You can make a choice about your privacy not described by our label scheme the use of cookies and tracking elements by an unspecified party for an unspecified purpose.,1,"[(1595, 9, 82)]"
You can use privacy configuration settings (in your browser or on your device) to control the use of unspecified information by an unspecified party for advertising.,1,"[(1629, 11, 82)]"
Another part of the company or institution does receive your unspecified personal information for a basic service or feature.,1,"[(1787, 17, 82)]"
"The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme.",1,"[(2384, 8, 88)]"
A named third party does receive your unspecified personal information for an additional (non-basic) service or feature.,1,"[(1788, 18, 82)]"
"The site collects your generic personal information for personalization or customization. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1,"[(2461, 13, 88)]"
A user's unspecified information is retained for an unspecified duration to fulfill an unspecified purpose.,1,"[(1379, 4, 82)]"
