"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",15,"[(18557, 0, 129), (18558, 1, 129), (18559, 2, 129), (18561, 3, 129), (18613, 19, 129), (16854, 0, 131), (16855, 1, 131), (16860, 3, 131), (16898, 18, 131), (18185, 0, 132), (18186, 1, 132), (18187, 2, 132), (18189, 4, 132), (18226, 32, 132), (18227, 33, 132)]"
The text does not fit into our label scheme.,10,"[(18560, 2, 129), (18562, 4, 129), (18586, 12, 129), (18594, 33, 129), (16857, 2, 131), (16901, 18, 131), (16902, 19, 131), (16910, 21, 131), (16915, 24, 131), (16925, 32, 131)]"
The text describes a specific data practice that is not covered by our label scheme.,8,"[(18588, 13, 129), (18614, 18, 129), (18609, 21, 129), (18603, 25, 129), (16861, 4, 131), (16866, 6, 131), (16897, 17, 131), (16900, 18, 131)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",6,"[(18600, 28, 129), (18599, 29, 129), (16856, 2, 131), (16920, 28, 131), (18221, 27, 132), (18222, 28, 132)]"
The policy makes a statement about how data from children is treated.,6,"[(18585, 11, 129), (18589, 14, 129), (16886, 11, 131), (16892, 14, 131), (18202, 11, 132), (18205, 14, 132)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",5,"[(18596, 31, 129), (18595, 32, 129), (16924, 31, 131), (18223, 29, 132), (18225, 31, 132)]"
An unspecified third party does receive unspecified information about you for legal requirements.,4,"[(18591, 16, 129), (16893, 15, 131), (16894, 16, 131), (18206, 15, 132)]"
"When a change is made to the privacy policy that significantly affects data practices, users are personally notified. Users' choices regarding policy changes are not mentioned or are unclear.",3,"[(18597, 30, 129), (16922, 30, 131), (18224, 30, 132)]"
An unspecified third party does receive unspecified information about you for service operations or security.,3,"[(18592, 16, 129), (16895, 16, 131), (18207, 16, 132)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,2,"[(18583, 10, 129), (16884, 10, 131)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature.,2,"[(16888, 12, 131), (18204, 13, 132)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",2,"[(16914, 23, 131), (18216, 23, 132)]"
The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way.,2,"[(18581, 10, 129), (16882, 10, 131)]"
The site collects your unspecified information for a purpose outside of our label scheme. Collection happens in an unspecified way.,2,"[(18584, 10, 129), (16885, 10, 131)]"
The site collects your generic personal information for an unspecified purpose. Collection happens by an unnamed service or third party.,2,"[(18565, 6, 129), (16859, 3, 131)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,2,"[(18582, 10, 129), (16883, 10, 131)]"
The site collects your computer information for an unspecified purpose. Collection happens on the website.,2,"[(18196, 9, 132), (18197, 9, 132)]"
Data is accessible to employees/third parties on a need-to-know basis.,2,"[(18601, 27, 129), (16919, 27, 131)]"
"You can opt out (via a link) from the use of contact information by the site, which uses it for marketing purposes.",2,"[(16916, 24, 131), (18217, 24, 132)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified when visiting the website. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(18598, 30, 129), (16923, 30, 131)]"
